model,series,alpha,n,violations,viol_rate,kupiec_p,christ_p,basel_tl,as_z2,as_p
Chronos-2,BET_ret,0.01,1994,769,0.3857,0.0,0.0,Red,,
Chronos-2,BET_ret,0.025,1994,786,0.3942,0.0,0.0,,205.8643,0.543
Chronos-2,BET_ret,0.05,1994,797,0.3997,0.0,0.0,,,
Chronos-2,EURRON_ret,0.01,2081,580,0.2787,0.0,0.0,Red,,
Chronos-2,EURRON_ret,0.025,2081,603,0.2898,0.0,0.0,,95.8192,0.531
Chronos-2,EURRON_ret,0.05,2081,627,0.3013,0.0,0.0,,,
Chronos-2,WIG20_ret,0.01,1997,753,0.3771,0.0,0.0,Red,,
Chronos-2,WIG20_ret,0.025,1997,767,0.3841,0.0,0.0,,63.1318,0.504
Chronos-2,WIG20_ret,0.05,1997,776,0.3886,0.0,0.0,,,
Chronos-2,EURPLN_ret,0.01,2083,800,0.3841,0.0,0.0,Red,,
Chronos-2,EURPLN_ret,0.025,2083,814,0.3908,0.0,0.0,,115.3656,0.546
Chronos-2,EURPLN_ret,0.05,2083,828,0.3975,0.0,0.0,,,
Chronos-2,PX_ret,0.01,2003,760,0.3794,0.0,0.0,Red,,
Chronos-2,PX_ret,0.025,2003,776,0.3874,0.0,0.0,,4064180.5423,0.577
Chronos-2,PX_ret,0.05,2003,794,0.3964,0.0,0.0,,,
Chronos-2,EURCZK_ret,0.01,2083,780,0.3745,0.0,0.0,Red,,
Chronos-2,EURCZK_ret,0.025,2083,791,0.3797,0.0,0.0,,73.4808,0.506
Chronos-2,EURCZK_ret,0.05,2083,799,0.3836,0.0,0.0,,,
Chronos-2,BUX_ret,0.01,1991,765,0.3842,0.0,0.0,Red,,
Chronos-2,BUX_ret,0.025,1991,776,0.3898,0.0,0.0,,138.5088,0.554
Chronos-2,BUX_ret,0.05,1991,790,0.3968,0.0,0.0,,,
Chronos-2,EURHUF_ret,0.01,2083,794,0.3812,0.0,0.0,Red,,
Chronos-2,EURHUF_ret,0.025,2083,807,0.3874,0.0,0.0,,96.2212,0.538
Chronos-2,EURHUF_ret,0.05,2083,823,0.3951,0.0,0.0,,,
Chronos-2,SOFIX_ret,0.01,1969,741,0.3763,0.0,0.0,Red,,
Chronos-2,SOFIX_ret,0.025,1969,750,0.3809,0.0,0.0,,94.8205,0.518
Chronos-2,SOFIX_ret,0.05,1969,764,0.388,0.0,0.0,,,
Chronos-2,USDBGN_ret,0.01,2081,786,0.3777,0.0,0.0,Red,,
Chronos-2,USDBGN_ret,0.025,2081,796,0.3825,0.0,0.0,,66.7447,0.468
Chronos-2,USDBGN_ret,0.05,2081,809,0.3888,0.0,0.0,,,
Moirai-2.0,BET_ret,0.01,1994,30,0.015,0.0247,0.0508,Green,,
Moirai-2.0,BET_ret,0.025,1994,92,0.0461,0.0,0.0,,2.7887,0.504
Moirai-2.0,BET_ret,0.05,1994,166,0.0832,0.0,0.0,,,
Moirai-2.0,EURRON_ret,0.01,2081,84,0.0404,0.0,0.0,Red,,
Moirai-2.0,EURRON_ret,0.025,2081,158,0.0759,0.0,0.0,,11.3988,0.54
Moirai-2.0,EURRON_ret,0.05,2081,229,0.11,0.0,0.0,,,
Moirai-2.0,WIG20_ret,0.01,1997,24,0.012,0.2628,0.0542,Yellow,,
Moirai-2.0,WIG20_ret,0.025,1997,53,0.0265,0.09,0.2113,,2.0495,0.51
Moirai-2.0,WIG20_ret,0.05,1997,132,0.0661,0.0,0.0,,,
Moirai-2.0,EURPLN_ret,0.01,2083,17,0.0082,0.2941,0.5014,Green,,
