date,y_true,var_01,var_025,var_05,es_025
2018-01-02,0.00507909,-0.01282762,-0.00931458,-0.00786330,-0.01186329
2018-01-03,0.00285662,-0.01291014,-0.00940315,-0.00796565,-0.01196276
2018-01-04,0.01677138,-0.01286952,-0.00936212,-0.00792371,-0.01192101
2018-01-05,0.00017191,-0.01305341,-0.00953602,-0.00807484,-0.01207689
2018-01-08,0.00325168,-0.01284735,-0.00933059,-0.00787084,-0.01187259
2018-01-09,-0.00401193,-0.01288812,-0.00936970,-0.00790615,-0.01190869
2018-01-10,-0.00249296,-0.01274651,-0.00896692,-0.00761718,-0.01160527
2018-01-11,0.00538607,-0.01280619,-0.00900199,-0.00762732,-0.01164575
2018-01-12,0.00101963,-0.01291483,-0.00912426,-0.00776340,-0.01176502
2018-01-15,0.00025249,-0.01284563,-0.00905372,-0.00769150,-0.01169477
2018-01-16,0.00524279,-0.01283632,-0.00904100,-0.00767533,-0.01168281
2018-01-17,0.00063661,-0.01291326,-0.00913865,-0.00779394,-0.01177590
2018-01-18,0.00306084,-0.01283307,-0.00904966,-0.00769606,-0.01168885
2018-01-19,0.00407550,-0.01287352,-0.00909469,-0.00774571,-0.01173287
2018-01-22,0.00813683,-0.01289331,-0.00910571,-0.00774787,-0.01174582
2018-01-23,0.00375354,-0.01294978,-0.00914255,-0.00776483,-0.01178697
2018-01-24,0.00132711,-0.01289788,-0.00906437,-0.00766003,-0.01171457
2018-01-25,-0.00423355,-0.01286575,-0.00905010,-0.00766385,-0.01169638
2018-01-26,-0.00158890,-0.01280570,-0.00898712,-0.00759790,-0.01163404
2018-01-29,-0.00064511,-0.01284573,-0.00901800,-0.00761951,-0.01166693
2018-01-30,-0.00340031,-0.01284467,-0.00902710,-0.00763889,-0.01167380
2018-01-31,0.00311739,-0.01283004,-0.00900124,-0.00760167,-0.01165041
2018-02-01,0.00801442,-0.01288651,-0.00907117,-0.00768522,-0.01171737
2018-02-02,-0.00961618,-0.01294119,-0.00912089,-0.00772992,-0.01176819
2018-02-05,-0.00604070,-0.01256745,-0.00906858,-0.00765724,-0.01150403
2018-02-06,-0.02134351,-0.01278568,-0.00926632,-0.00780064,-0.01168219
2018-02-07,0.01630545,-0.01386279,-0.00978425,-0.00864799,-0.01377645
2018-02-08,0.00059087,-0.01402521,-0.00996341,-0.00901720,-0.01414122
2018-02-09,-0.01012881,-0.01337862,-0.00932834,-0.00834789,-0.01348050
2018-02-12,0.00399721,-0.01302100,-0.00935446,-0.00843948,-0.01321846
2018-02-13,0.00115198,-0.01350776,-0.00999129,-0.00904885,-0.01378647
2018-02-14,-0.00192671,-0.01338299,-0.00980017,-0.00887810,-0.01362725
2018-02-15,0.00201666,-0.01327901,-0.00964938,-0.00873166,-0.01349734
2018-02-16,0.00042262,-0.01343494,-0.00979357,-0.00887672,-0.01364662
2018-02-19,-0.00191672,-0.01337302,-0.00973679,-0.00881956,-0.01358762
2018-02-20,-0.00367271,-0.01328819,-0.00964587,-0.00872909,-0.01349934
2018-02-21,0.00457303,-0.01323176,-0.00957917,-0.00866316,-0.01343710
2018-02-22,-0.00262220,-0.01353112,-0.00989680,-0.00897943,-0.01374679
2018-02-23,-0.00301817,-0.01324154,-0.00962545,-0.00870672,-0.01346752
2018-02-26,-0.00316348,-0.01322314,-0.00916525,-0.00820743,-0.01297819
2018-02-27,0.00872286,-0.01319591,-0.00913060,-0.00819838,-0.01296222
2018-02-28,0.00837972,-0.01374236,-0.00967211,-0.00878171,-0.01353393
2018-03-01,-0.00244840,-0.01362401,-0.00961259,-0.00851671,-0.01332448
2018-03-02,-0.01053186,-0.01322842,-0.00916327,-0.00822967,-0.01299389
2018-03-05,0.00643483,-0.01298562,-0.00933181,-0.00841589,-0.01290808
2018-03-06,0.00698264,-0.01361727,-0.01003966,-0.00911680,-0.01358439
2018-03-07,-0.00714436,-0.01362337,-0.00998904,-0.00907167,-0.01355746
2018-03-08,0.00465232,-0.01300239,-0.00943193,-0.00850801,-0.01297343
