date,y_true,var_01,var_025,var_05,es_025
2018-01-02,0.01065964,-0.01182821,-0.00919097,-0.00732141,-0.01303912
2018-01-03,0.00055483,-0.01062596,-0.00802344,-0.00613451,-0.01184750
2018-01-04,0.00860408,-0.01214681,-0.00952086,-0.00764500,-0.01336117
2018-01-05,0.00177842,-0.01096551,-0.00833675,-0.00646246,-0.01217901
2018-01-08,-0.00486563,-0.01196905,-0.00933973,-0.00746575,-0.01318238
2018-01-09,-0.00111838,-0.01294697,-0.01030578,-0.00843842,-0.01415666
2018-01-10,0.01417010,-0.01240896,-0.00974836,-0.00789184,-0.01361271
2018-01-11,0.00692509,-0.01057321,-0.00769638,-0.00598326,-0.01171069
2018-01-12,0.01024924,-0.01137374,-0.00860078,-0.00681632,-0.01254306
2018-01-15,0.00602390,-0.01076222,-0.00810583,-0.00624696,-0.01196726
2018-01-16,0.00152479,-0.01140033,-0.00871837,-0.00678042,-0.01259753
2018-01-17,-0.00777406,-0.01195030,-0.00942077,-0.00744786,-0.01318905
2018-01-18,0.00188592,-0.01338276,-0.01089370,-0.00909072,-0.01463093
2018-01-19,0.00068874,-0.01189791,-0.00936253,-0.00759656,-0.01313530
2018-01-22,-0.00517008,-0.01208355,-0.00954380,-0.00778132,-0.01331992
2018-01-23,0.00177803,-0.01298065,-0.01044025,-0.00867829,-0.01421687
2018-01-24,-0.00337530,-0.01193027,-0.00936499,-0.00762291,-0.01316069
2018-01-25,0.00180911,-0.01271320,-0.01013760,-0.00840377,-0.01394122
2018-01-26,0.00204544,-0.01193420,-0.00935265,-0.00762357,-0.01316084
2018-01-29,-0.00023959,-0.01188061,-0.00933209,-0.00757662,-0.01311494
2018-01-30,0.00190107,-0.01223090,-0.00967821,-0.00792607,-0.01346425
2018-01-31,0.00271157,-0.01190922,-0.00934843,-0.00760276,-0.01314069
2018-02-01,-0.00127760,-0.01114673,-0.00896399,-0.00726102,-0.01264565
2018-02-02,0.01102328,-0.01075810,-0.00900434,-0.00762676,-0.01273186
2018-02-05,-0.00500060,-0.00897279,-0.00755489,-0.00590085,-0.01104810
2018-02-06,-0.03630145,-0.01123133,-0.00941024,-0.00809069,-0.01318473
2018-02-07,0.01553203,-0.01910315,-0.01477198,-0.01307727,-0.02177818
2018-02-08,-0.00384256,-0.01323147,-0.00806353,-0.00655523,-0.01548899
2018-02-09,-0.00695115,-0.01450069,-0.00925080,-0.00766703,-0.01671051
2018-02-12,0.00408463,-0.01467232,-0.00945349,-0.00789397,-0.01689890
2018-02-13,0.00192148,-0.01406452,-0.00881845,-0.00723660,-0.01627608
2018-02-14,-0.00116105,-0.01418270,-0.00893741,-0.00735595,-0.01639461
2018-02-15,-0.00517659,-0.01434135,-0.00885152,-0.00732826,-0.01652269
2018-02-16,0.00397111,-0.01396270,-0.00883753,-0.00720641,-0.01630298
2018-02-19,-0.00630935,-0.01355538,-0.00843475,-0.00678152,-0.01589525
2018-02-20,0.00337570,-0.01399847,-0.00889150,-0.00717185,-0.01633710
2018-02-21,-0.00382377,-0.01366015,-0.00860468,-0.00669722,-0.01599414
2018-02-22,-0.00562508,-0.01386857,-0.00884627,-0.00692437,-0.01619956
2018-02-23,-0.00082904,-0.01392196,-0.00888366,-0.00696634,-0.01625439
2018-02-26,-0.00160184,-0.01379312,-0.00875369,-0.00683669,-0.01612565
2018-02-27,0.00205281,-0.01381321,-0.00876844,-0.00685298,-0.01614622
2018-02-28,-0.00165939,-0.01371547,-0.00867629,-0.00675922,-0.01604797
