date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2019-01-10,0.00027531,-0.02460322,-0.02277663,-0.01813108,-0.01019654,-0.00005571,0.00096598
2019-01-11,0.00221739,-0.02421070,-0.02232596,-0.01779473,-0.01019654,0.00033358,0.00091700
2019-01-14,-0.00535624,-0.02370933,-0.02193586,-0.01734919,-0.01019654,0.00111041,0.00104478
2019-01-15,-0.00165847,-0.02470787,-0.02293442,-0.01840330,-0.01019654,-0.00033296,0.00106134
2019-01-16,0.00816309,-0.02459669,-0.02276776,-0.01812567,-0.01019654,-0.00011097,0.00102099
2019-01-17,0.00601635,-0.02343221,-0.02165868,-0.01712747,-0.01019654,0.00200089,0.00112368
2019-01-18,0.00783372,-0.02365522,-0.02193727,-0.01729473,-0.01023704,0.00122402,0.00102522
2019-01-21,-0.01481138,-0.02315473,-0.02099101,-0.01623677,-0.01028181,0.00234031,0.00097052
2019-01-22,0.00171029,-0.02460664,-0.02277703,-0.01807808,-0.01028181,-0.00005583,0.00105107
2019-01-23,-0.00354649,-0.02337806,-0.02160432,-0.01707291,-0.01028181,0.00172931,0.00109463
2019-01-24,0.00176846,-0.02460447,-0.02277501,-0.01802061,-0.01030811,0.00027878,0.00106979
2019-01-25,0.00131678,-0.02365610,-0.02165960,-0.01712826,-0.01030811,0.00144848,0.00103092
2019-01-28,0.00941921,-0.02332169,-0.02154805,-0.01696105,-0.01037303,0.00161492,0.00095132
2019-01-29,-0.00451780,-0.02315494,-0.02138120,-0.01684978,-0.01037303,0.00251058,0.00102894
2019-01-30,-0.00690244,-0.02460122,-0.02282763,-0.01829636,-0.01037303,-0.00011129,0.00097091
2019-01-31,-0.00018135,-0.02421292,-0.02243927,-0.01785225,-0.01037303,0.00022279,0.00090948
2019-02-01,0.00287869,-0.02382238,-0.02199313,-0.01735610,-0.01037303,0.00089047,0.00098606
2019-02-04,-0.00284418,-0.02332174,-0.02160379,-0.01707246,-0.01034742,0.00133667,0.00095855
2019-02-05,-0.00940800,-0.02460166,-0.02249411,-0.01796282,-0.01031685,0.00011132,0.00090800
2019-02-06,0.00303115,-0.02460482,-0.02283111,-0.01829971,-0.01031685,-0.00011153,0.00096430
2019-02-07,-0.01048728,-0.02337823,-0.02166028,-0.01707582,-0.01034939,0.00117197,0.00093667
2019-02-08,-0.01174600,-0.02561728,-0.02350767,-0.01897609,-0.01031022,-0.00083927,0.00100149
2019-02-11,0.00162041,-0.02461444,-0.02284039,-0.01830866,-0.01031022,-0.00005610,0.00097368
2019-02-12,0.01792014,-0.02371594,-0.02194196,-0.01735428,-0.01031022,0.00112057,0.00100064
2019-02-13,-0.00661413,-0.02405650,-0.02216977,-0.01763788,-0.01034210,0.00112519,0.00125171
