date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-12-17,0.00053839,-0.00517037,-0.00468153,-0.00380251,-0.00228477,-0.00002824,0.00024852
2018-12-18,-0.00025990,-0.00529761,-0.00482289,-0.00395799,-0.00228477,-0.00018361,0.00023208
2018-12-19,-0.00410482,-0.00542315,-0.00493437,-0.00404131,-0.00228477,-0.00023956,0.00022192
2018-12-20,0.00141875,-0.00546708,-0.00499236,-0.00417235,-0.00226576,-0.00032484,0.00022073
2018-12-21,-0.00358642,-0.00539322,-0.00483424,-0.00401430,-0.00226406,-0.00014055,0.00025019
2018-12-24,0.00160521,-0.00546162,-0.00498700,-0.00416709,-0.00226406,-0.00036448,0.00020959
2018-12-25,-0.00230913,-0.00542030,-0.00494567,-0.00408364,-0.00226406,-0.00023857,0.00023322
2018-12-26,0.00032712,-0.00546369,-0.00500309,-0.00416978,-0.00226406,-0.00036551,0.00021628
2018-12-27,-0.00009658,-0.00541828,-0.00492969,-0.00409582,-0.00226406,-0.00027984,0.00022462
2018-12-28,-0.00102222,-0.00541795,-0.00492938,-0.00409552,-0.00227538,-0.00030768,0.00021270
2018-12-31,0.00209315,-0.00545894,-0.00498437,-0.00415055,-0.00228062,-0.00030727,0.00021808
2019-01-01,-0.00242682,-0.00526330,-0.00478873,-0.00392699,-0.00228062,-0.00012568,0.00024587
2019-01-02,0.00078262,-0.00544415,-0.00495564,-0.00413580,-0.00228062,-0.00027901,0.00023488
2019-01-03,0.00427316,-0.00538551,-0.00482767,-0.00400789,-0.00229328,-0.00013890,0.00024884
2019-01-04,-0.00486865,-0.00538821,-0.00482998,-0.00399619,-0.00229328,-0.00012553,0.00025265
2019-01-07,-0.00028384,-0.00541829,-0.00495727,-0.00406146,-0.00232098,-0.00018190,0.00025156
2019-01-08,0.00074845,-0.00538905,-0.00485826,-0.00397657,-0.00232098,-0.00013966,0.00025744
2019-01-09,0.00171916,-0.00538828,-0.00485760,-0.00401784,-0.00232098,-0.00011159,0.00027584
2019-01-10,-0.00140758,-0.00538836,-0.00485768,-0.00401791,-0.00233520,-0.00009766,0.00026575
2019-01-11,-0.00004051,-0.00541501,-0.00495413,-0.00411442,-0.00233520,-0.00016711,0.00027943
2019-01-14,-0.00000618,-0.00538542,-0.00492461,-0.00409886,-0.00235260,-0.00011111,0.00028813
2019-01-15,0.00162538,-0.00538350,-0.00485354,-0.00397244,-0.00235260,-0.00015232,0.00023767
2019-01-16,0.00430282,-0.00528730,-0.00475721,-0.00388989,-0.00235260,-0.00006933,0.00025595
2019-01-17,-0.00552001,-0.00513600,-0.00468906,-0.00386329,-0.00235260,-0.00004172,0.00027661
2019-01-18,-0.00567607,-0.00573733,-0.00499280,-0.00425030,-0.00238868,-0.00022315,0.00024874
2019-01-21,-0.00505640,-0.00577074,-0.00520102,-0.00464263,-0.00241261,-0.00032222,0.00021905
2019-01-22,-0.00087574,-0.00577290,-0.00519300,-0.00490880,-0.00241261,-0.00035127,0.00021970
2019-01-23,0.00164050,-0.00575783,-0.00516392,-0.00487974,-0.00241261,-0.00029465,0.00023441
2019-01-24,-0.00050353,-0.00570185,-0.00509495,-0.00476762,-0.00241936,-0.00014034,0.00029530
2019-01-25,0.00242715,-0.00573011,-0.00515022,-0.00486603,-0.00241936,-0.00029480,0.00023231
2019-01-28,-0.00362086,-0.00570273,-0.00503851,-0.00474026,-0.00241936,-0.00018269,0.00028476
2019-01-29,-0.00087329,-0.00576154,-0.00516748,-0.00486913,-0.00241936,-0.00031028,0.00021639
2019-01-30,-0.00033765,-0.00570319,-0.00509516,-0.00476876,-0.00243101,-0.00012656,0.00025541
2019-01-31,-0.00519766,-0.00573153,-0.00513755,-0.00482520,-0.00243101,-0.00021100,0.00025741
2019-02-01,0.00085279,-0.00577627,-0.00524403,-0.00496708,-0.00246175,-0.00031055,0.00021855
2019-02-04,0.00458471,-0.00570596,-0.00515959,-0.00489676,-0.00245795,-0.00015534,0.00026124
2019-02-05,-0.00000318,-0.00570862,-0.00516214,-0.00489925,-0.00245795,-0.00017014,0.00029927
2019-02-06,0.00134929,-0.00570858,-0.00516210,-0.00488574,-0.00247031,-0.00019848,0.00024056
