date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-12-17,-0.00121128,-0.00668095,-0.00561265,-0.00461199,-0.00283713,-0.00034211,0.00030046
2018-12-18,-0.00195982,-0.00669767,-0.00564648,-0.00466293,-0.00283713,-0.00041035,0.00027093
2018-12-19,0.00059538,-0.00669861,-0.00564741,-0.00466384,-0.00284556,-0.00044502,0.00026751
2018-12-20,0.00106141,-0.00668099,-0.00561269,-0.00461203,-0.00284791,-0.00037633,0.00027400
2018-12-21,-0.00158675,-0.00669768,-0.00564649,-0.00464585,-0.00283910,-0.00046165,0.00027400
2018-12-24,0.00055572,-0.00668016,-0.00564590,-0.00466237,-0.00283910,-0.00044425,0.00025910
2018-12-25,0.00068121,-0.00669605,-0.00564490,-0.00464431,-0.00283910,-0.00039254,0.00028012
2018-12-26,0.00111898,-0.00669252,-0.00564143,-0.00464099,-0.00283910,-0.00040797,0.00026062
2018-12-27,-0.00264079,-0.00669051,-0.00563946,-0.00463909,-0.00283910,-0.00044097,0.00026112
2018-12-28,0.00299011,-0.00669118,-0.00564011,-0.00465669,-0.00282751,-0.00042433,0.00025735
2018-12-31,0.00089391,-0.00667521,-0.00560714,-0.00462369,-0.00284044,-0.00035685,0.00027678
2019-01-01,0.00013036,-0.00668855,-0.00563796,-0.00463724,-0.00284044,-0.00043998,0.00025901
2019-01-02,-0.00272582,-0.00667027,-0.00563601,-0.00465267,-0.00284044,-0.00043921,0.00025592
2019-01-03,0.00270252,-0.00668899,-0.00563797,-0.00465459,-0.00284044,-0.00045714,0.00025845
2019-01-04,-0.00210544,-0.00663999,-0.00558893,-0.00460551,-0.00285729,-0.00032238,0.00030792
2019-01-07,0.00032169,-0.00669018,-0.00563914,-0.00465573,-0.00285729,-0.00044080,0.00025246
2019-01-08,0.00092714,-0.00668868,-0.00563767,-0.00463822,-0.00285729,-0.00038928,0.00027803
2019-01-09,0.00027478,-0.00663656,-0.00558557,-0.00460222,-0.00287518,-0.00033795,0.00028904
2019-01-10,0.00148881,-0.00668736,-0.00561947,-0.00461922,-0.00287518,-0.00045629,0.00025952
2019-01-11,-0.00153533,-0.00668632,-0.00560159,-0.00461826,-0.00287409,-0.00041355,0.00024745
2019-01-14,-0.00135359,-0.00668666,-0.00563611,-0.00463715,-0.00287935,-0.00037150,0.00029480
2019-01-15,-0.00006525,-0.00668649,-0.00565240,-0.00463531,-0.00287926,-0.00035454,0.00029312
2019-01-16,0.00037068,-0.00668525,-0.00560058,-0.00461727,-0.00287926,-0.00037090,0.00026363
2019-01-17,-0.00245705,-0.00668313,-0.00559859,-0.00461532,-0.00287926,-0.00038682,0.00025297
2019-01-18,0.00134938,-0.00668329,-0.00563238,-0.00464911,-0.00289320,-0.00043736,0.00029698
2019-01-21,0.00033826,-0.00668207,-0.00559759,-0.00461434,-0.00289320,-0.00040315,0.00034333
2019-01-22,-0.00084001,-0.00668156,-0.00563068,-0.00464744,-0.00289320,-0.00047007,0.00025215
2019-01-23,0.00049007,-0.00667980,-0.00562895,-0.00464575,-0.00290602,-0.00045236,0.00025055
2019-01-24,0.00072299,-0.00656048,-0.00552639,-0.00454323,-0.00290602,-0.00030076,0.00027598
2019-01-25,-0.00082334,-0.00667639,-0.00559223,-0.00462578,-0.00290602,-0.00040053,0.00027838
2019-01-28,-0.00008634,-0.00667418,-0.00564009,-0.00462370,-0.00290602,-0.00044945,0.00024659
2019-01-29,0.00138761,-0.00662374,-0.00555638,-0.00454002,-0.00291658,-0.00031608,0.00026587
2019-01-30,0.00057076,-0.00667255,-0.00562184,-0.00462216,-0.00291166,-0.00039875,0.00027707
2019-01-31,-0.00226175,-0.00667174,-0.00562146,-0.00462140,-0.00291166,-0.00041498,0.00024706
2019-02-01,-0.00519557,-0.00667311,-0.00562281,-0.00462436,-0.00290744,-0.00031589,0.00032587
2019-02-04,0.00495044,-0.00667387,-0.00563978,-0.00471753,-0.00290744,-0.00028288,0.00033545
2019-02-05,0.00043188,-0.00667489,-0.00562414,-0.00470183,-0.00290744,-0.00041649,0.00024918
2019-02-06,0.00019139,-0.00672379,-0.00544179,-0.00465669,-0.00287255,-0.00046593,0.00025747
2019-02-07,0.00205816,-0.00667302,-0.00542430,-0.00463923,-0.00287255,-0.00046547,0.00025394
2019-02-08,0.00251878,-0.00655707,-0.00532465,-0.00453957,-0.00287255,-0.00028264,0.00032353
2019-02-11,0.00121868,-0.00667302,-0.00542431,-0.00462261,-0.00287255,-0.00044884,0.00026079
2019-02-12,0.00277308,-0.00672155,-0.00543966,-0.00465461,-0.00287481,-0.00044819,0.00027212
2019-02-13,0.00099885,-0.00665361,-0.00538838,-0.00460336,-0.00287481,-0.00028168,0.00032794
2019-02-14,0.00228084,-0.00662049,-0.00537184,-0.00458681,-0.00287481,-0.00038110,0.00032318
2019-02-15,-0.00195733,-0.00660477,-0.00535609,-0.00455446,-0.00287481,-0.00028198,0.00032145
2019-02-18,0.00019641,-0.00667036,-0.00542170,-0.00463667,-0.00287481,-0.00043089,0.00025620
2019-02-19,-0.00006929,-0.00667011,-0.00542145,-0.00463643,-0.00287481,-0.00036449,0.00028750
2019-02-20,0.00007622,-0.00666879,-0.00542017,-0.00461862,-0.00287481,-0.00039702,0.00025105
2019-02-21,0.00009472,-0.00666437,-0.00543229,-0.00459800,-0.00287481,-0.00039498,0.00024113
2019-02-22,0.00059566,-0.00661199,-0.00534711,-0.00454587,-0.00287481,-0.00027054,0.00025392
2019-02-25,0.00152926,-0.00644800,-0.00519952,-0.00436548,-0.00288788,-0.00011477,0.00026746
2019-02-26,-0.00018894,-0.00646443,-0.00521594,-0.00443110,-0.00288448,-0.00013937,0.00025824
2019-02-27,-0.00365360,-0.00657877,-0.00526474,-0.00447991,-0.00288448,-0.00027858,0.00024406
2019-02-28,-0.00214947,-0.00649816,-0.00524965,-0.00444919,-0.00288448,-0.00021344,0.00027964
2019-03-01,-0.00263288,-0.00646450,-0.00519961,-0.00436557,-0.00289238,-0.00018858,0.00029002
2019-03-04,0.00052997,-0.00666181,-0.00541332,-0.00462845,-0.00289238,-0.00037739,0.00024761
2019-03-05,-0.00162315,-0.00657956,-0.00524905,-0.00446419,-0.00289238,-0.00021325,0.00026076
2019-03-06,0.00067939,-0.00661158,-0.00536310,-0.00457827,-0.00289238,-0.00036053,0.00023368
