date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-12-17,0.00524419,-0.01066048,-0.00892560,-0.00713295,-0.00438206,-0.00025915,0.00056507
2018-12-18,-0.00430987,-0.01072159,-0.00907295,-0.00742397,-0.00437404,-0.00034643,0.00055743
2018-12-19,-0.00222043,-0.01052142,-0.00887269,-0.00710784,-0.00439890,-0.00017350,0.00063558
2018-12-20,0.00076022,-0.01066423,-0.00864016,-0.00707778,-0.00438934,-0.00020214,0.00062619
2018-12-21,-0.00798133,-0.01071226,-0.00912136,-0.00753051,-0.00438934,-0.00031538,0.00065761
2018-12-24,0.00850721,-0.01022960,-0.00863583,-0.00722211,-0.00438500,-0.00011493,0.00061678
2018-12-25,-0.00321833,-0.01071656,-0.00909690,-0.00768315,-0.00438500,-0.00054648,0.00056881
2018-12-26,0.00526098,-0.01071516,-0.00906679,-0.00756687,-0.00438500,-0.00043098,0.00055557
2018-12-27,-0.00023321,-0.01071440,-0.00912350,-0.00768251,-0.00438500,-0.00048817,0.00052482
2018-12-28,-0.00825650,-0.01070702,-0.00911612,-0.00764545,-0.00440469,-0.00037127,0.00054304
2018-12-31,-0.00076474,-0.01050876,-0.00866045,-0.00742533,-0.00438518,-0.00022880,0.00057678
2019-01-01,-0.00164899,-0.01008481,-0.00823263,-0.00727337,-0.00429920,-0.00028533,0.00062893
2019-01-02,-0.00212415,-0.01008373,-0.00809257,-0.00712981,-0.00427566,-0.00031360,0.00057469
2019-01-03,0.01471692,-0.01008265,-0.00808805,-0.00712336,-0.00427566,-0.00025636,0.00056503
2019-01-04,-0.00683309,-0.01014821,-0.00826736,-0.00753037,-0.00427566,-0.00057335,0.00048713
2019-01-07,-0.00005861,-0.01020903,-0.00829937,-0.00753358,-0.00427710,-0.00048856,0.00051883
2019-01-08,-0.00528857,-0.01014976,-0.00824018,-0.00741705,-0.00427710,-0.00045921,0.00051737
2019-01-09,0.00235395,-0.00994668,-0.00809450,-0.00732888,-0.00426858,-0.00038672,0.00055420
2019-01-10,-0.00861873,-0.01014417,-0.00829199,-0.00741218,-0.00429292,-0.00040014,0.00052703
2019-01-11,0.00402347,-0.01020550,-0.00835079,-0.00742337,-0.00431558,-0.00028667,0.00056668
2019-01-14,0.00171097,-0.01014903,-0.00849495,-0.00762477,-0.00431558,-0.00041593,0.00052476
2019-01-15,-0.00088462,-0.01014536,-0.00849143,-0.00773608,-0.00430928,-0.00051493,0.00048696
2019-01-16,0.00740654,-0.01014380,-0.00848994,-0.00773461,-0.00430928,-0.00042861,0.00050356
2019-01-17,0.00111216,-0.01014867,-0.00849460,-0.00762447,-0.00433436,-0.00043016,0.00049036
2019-01-18,-0.00128783,-0.01014616,-0.00849220,-0.00773683,-0.00433436,-0.00051523,0.00048256
2019-01-21,0.00234025,-0.00985657,-0.00809419,-0.00724268,-0.00427773,-0.00034366,0.00055123
2019-01-22,-0.00046763,-0.01005706,-0.00809421,-0.00735725,-0.00427773,-0.00037231,0.00052126
2019-01-23,0.00040918,-0.01005146,-0.00808944,-0.00732408,-0.00427773,-0.00025668,0.00057481
2019-01-24,-0.00187185,-0.01004968,-0.00823176,-0.00737961,-0.00427773,-0.00028482,0.00056298
2019-01-25,0.00682711,-0.00999250,-0.00823012,-0.00732246,-0.00427773,-0.00031325,0.00056262
2019-01-28,-0.00542291,-0.01005282,-0.00823335,-0.00738228,-0.00427773,-0.00037113,0.00056099
2019-01-29,-0.00515853,-0.01011264,-0.00829305,-0.00741311,-0.00427773,-0.00045767,0.00055241
2019-01-30,-0.00070556,-0.00985447,-0.00799679,-0.00715690,-0.00424088,-0.00025727,0.00056450
2019-01-31,-0.00229631,-0.01011115,-0.00819636,-0.00724218,-0.00424360,-0.00040004,0.00056686
2019-02-01,0.00141371,-0.00985342,-0.00781509,-0.00685963,-0.00419085,-0.00025704,0.00056758
2019-02-04,0.00147058,-0.01005300,-0.00815748,-0.00723059,-0.00419978,-0.00037118,0.00051805
2019-02-05,0.00140965,-0.01005120,-0.00815576,-0.00722890,-0.00419978,-0.00042771,0.00048902
2019-02-06,0.00246225,-0.01004984,-0.00801203,-0.00705672,-0.00419978,-0.00034182,0.00049994
2019-02-07,0.00175494,-0.01004879,-0.00801612,-0.00705587,-0.00419978,-0.00037002,0.00050754
2019-02-08,0.00221861,-0.01004648,-0.00803758,-0.00711083,-0.00419978,-0.00036938,0.00052624
2019-02-11,0.00250459,-0.01004404,-0.00800709,-0.00705203,-0.00419783,-0.00031198,0.00053090
2019-02-12,0.00296246,-0.01010152,-0.00820636,-0.00710938,-0.00419783,-0.00031215,0.00057374
2019-02-13,-0.00319515,-0.01009902,-0.00820396,-0.00710734,-0.00420179,-0.00033992,0.00057545
2019-02-14,0.00475994,-0.01010104,-0.00820589,-0.00725082,-0.00420179,-0.00019857,0.00064458
2019-02-15,-0.00307394,-0.01004447,-0.00814932,-0.00691053,-0.00420179,-0.00022697,0.00062782
2019-02-18,0.00232083,-0.00942131,-0.00763153,-0.00678733,-0.00414696,-0.00019868,0.00064465
2019-02-19,-0.00174015,-0.00962115,-0.00788796,-0.00701533,-0.00414361,-0.00014204,0.00062505
2019-02-20,-0.00430529,-0.00956535,-0.00800258,-0.00678875,-0.00414361,-0.00017058,0.00064475
2019-02-21,-0.00069996,-0.00849244,-0.00770915,-0.00661718,-0.00406411,-0.00019915,0.00060715
2019-02-22,0.00262217,-0.00849054,-0.00790647,-0.00704218,-0.00406411,-0.00028411,0.00063675
2019-02-25,-0.00023277,-0.00848496,-0.00790111,-0.00703705,-0.00406411,-0.00045275,0.00058951
2019-02-26,-0.00355699,-0.00848157,-0.00789786,-0.00703394,-0.00406411,-0.00039519,0.00061957
2019-02-27,-0.00111047,-0.00848357,-0.00789978,-0.00703578,-0.00408120,-0.00039576,0.00060237
2019-02-28,-0.00070205,-0.00836870,-0.00770031,-0.00683638,-0.00407818,-0.00028228,0.00059181
2019-03-01,0.00070205,-0.00847997,-0.00783994,-0.00689150,-0.00407818,-0.00029605,0.00055028
2019-03-04,0.00280306,-0.00847285,-0.00788950,-0.00702593,-0.00407818,-0.00039269,0.00057605
2019-03-05,0.00215537,-0.00847331,-0.00788995,-0.00699830,-0.00411573,-0.00042089,0.00055367
2019-03-06,0.00249906,-0.00841622,-0.00783289,-0.00699738,-0.00414780,-0.00043459,0.00053057
2019-03-07,-0.00017418,-0.00841007,-0.00782701,-0.00699163,-0.00414780,-0.00036280,0.00052086
2019-03-08,0.01016589,-0.00835220,-0.00753524,-0.00668456,-0.00409821,-0.00025076,0.00053260
2019-03-11,-0.00512780,-0.00841108,-0.00756612,-0.00679897,-0.00414073,-0.00030722,0.00056253
2019-03-12,-0.00208165,-0.00846926,-0.00742837,-0.00663319,-0.00416263,-0.00030774,0.00058885
2019-03-13,-0.00272421,-0.00835510,-0.00742637,-0.00643580,-0.00414418,-0.00019548,0.00059325
2019-03-14,-0.00395468,-0.00846867,-0.00742789,-0.00649291,-0.00414418,-0.00025168,0.00061797
2019-03-15,0.00209558,-0.00846978,-0.00742879,-0.00649366,-0.00414418,-0.00027987,0.00063161
2019-03-18,-0.00192075,-0.00841469,-0.00756958,-0.00680234,-0.00417028,-0.00039208,0.00058469
2019-03-19,-0.00064112,-0.00846647,-0.00762153,-0.00682646,-0.00417028,-0.00047463,0.00053361
2019-03-20,0.00046629,-0.00846414,-0.00756356,-0.00679645,-0.00417028,-0.00036234,0.00057755
2019-03-21,-0.00860280,-0.00840487,-0.00761577,-0.00682095,-0.00418087,-0.00047255,0.00051506
2019-03-22,0.00469100,-0.00839909,-0.00748940,-0.00662628,-0.00425809,-0.00025043,0.00055158
2019-03-25,0.00606554,-0.00853827,-0.00771206,-0.00687676,-0.00425809,-0.00033392,0.00059045
