date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-01-03,0.02005487,-0.00074225,-0.00070318,-0.00062505,-0.00072328,0.00042972,0.00080919
2018-01-04,0.00691465,-0.00082558,-0.00074696,-0.00062902,-0.00078915,0.00074696,0.00123042
2018-01-05,0.00252264,-0.00086398,-0.00082471,-0.00074617,-0.00084379,0.00074617,0.00105949
2018-01-08,-0.00038451,-0.00074641,-0.00070713,-0.00066784,-0.00072199,0.00051070,0.00092567
2018-01-09,0.00649417,-0.00133549,-0.00129621,-0.00121766,-0.00131585,-0.00019640,0.00065765
2018-01-10,0.00001120,-0.00086258,-0.00082337,-0.00074495,-0.00084194,0.00031366,0.00107545
2018-01-11,0.01642473,-0.00113251,-0.00109345,-0.00105440,-0.00111253,-0.00019526,0.00071495
2018-01-12,0.01230657,-0.00082355,-0.00078433,-0.00063335,-0.00080691,0.00031373,0.00118314
2018-01-15,-0.00171872,-0.00082659,-0.00078723,-0.00074787,-0.00080606,0.00137766,0.00129349
2018-01-16,-0.00263465,-0.00157333,-0.00137666,-0.00133733,-0.00147090,-0.00043267,0.00077707
2018-01-17,0.01008606,-0.00192677,-0.00184813,-0.00165152,-0.00188266,-0.00074712,0.00059626
2018-01-18,0.00695936,-0.00121742,-0.00113888,-0.00109960,-0.00116928,-0.00015709,0.00102761
2018-01-19,-0.00152002,-0.00086441,-0.00078583,-0.00074654,-0.00082119,0.00090370,0.00112154
2018-01-22,0.01525859,-0.00160637,-0.00156719,-0.00148883,-0.00158174,-0.00062688,0.00064483
2018-01-23,-0.00639338,-0.00082545,-0.00074684,-0.00062892,-0.00077900,0.00149368,0.00126812
2018-01-25,-0.00272406,-0.00145342,-0.00137485,-0.00133557,-0.00141182,-0.00043210,0.00077610
2018-01-26,0.00249052,-0.00160362,-0.00156451,-0.00152540,-0.00158256,-0.00058669,0.00067724
2018-01-29,-0.00124923,-0.00121074,-0.00121074,-0.00085924,-0.00121074,0.00050773,0.00092860
2018-01-30,-0.00721264,-0.00156190,-0.00152285,-0.00144476,-0.00154467,-0.00058571,0.00066046
2018-01-31,0.00084739,-0.00159010,-0.00155132,-0.00151254,-0.00156425,-0.00058175,0.00066991
2018-02-01,-0.00621367,-0.00119593,-0.00111877,-0.00104161,-0.00115532,0.00003858,0.00077304
2018-02-02,-0.00910049,-0.00155698,-0.00151900,-0.00148103,-0.00153745,-0.00056963,0.00066479
2018-02-05,-0.00749718,-0.00177306,-0.00154671,-0.00150898,-0.00165474,-0.00067904,0.00067163
2018-02-06,-0.02153015,-0.00184022,-0.00157733,-0.00153977,-0.00171943,-0.00078866,0.00066121
2018-02-07,0.00085884,-0.00175827,-0.00145899,-0.00142158,-0.00158618,-0.00056115,0.00080559
2018-02-08,0.00662488,-0.00144850,-0.00141136,-0.00137422,-0.00142993,0.00003714,0.00082366
2018-02-09,-0.00809084,-0.00118250,-0.00114555,-0.00110859,-0.00116150,-0.00029562,0.00074502
2018-02-12,0.01327474,-0.00151812,-0.00144407,-0.00140704,-0.00147525,-0.00055541,0.00071196
2018-02-13,0.00351807,-0.00115122,-0.00107695,-0.00103981,-0.00110742,0.00029709,0.00086788
2018-02-14,0.00356818,-0.00115170,-0.00111455,-0.00107740,-0.00113456,-0.00014861,0.00075768
2018-02-15,0.01117865,-0.00115140,-0.00107712,-0.00100283,-0.00112169,0.00040856,0.00076358
2018-02-16,0.00838349,-0.00100512,-0.00081899,-0.00078176,-0.00092876,0.00093067,0.00098899
2018-02-19,-0.00161865,-0.00100752,-0.00082094,-0.00078362,-0.00090840,0.00130604,0.00108800
2018-02-20,-0.00096137,-0.00130522,-0.00126792,-0.00119334,-0.00128109,-0.00037292,0.00066045
2018-02-21,-0.00310580,-0.00151932,-0.00148226,-0.00144521,-0.00150229,-0.00051879,0.00065281
2018-02-22,0.00114048,-0.00181657,-0.00177950,-0.00174243,-0.00179851,-0.00083414,0.00054917
2018-02-23,0.00785738,-0.00128678,-0.00125001,-0.00121325,-0.00126626,-0.00036765,0.00073271
2018-02-26,0.00273437,-0.00113839,-0.00110167,-0.00106495,-0.00111875,-0.00022033,0.00094094
2018-02-27,0.00431339,-0.00113764,-0.00106424,-0.00099084,-0.00109395,-0.00007340,0.00086720
2018-02-28,0.00440845,-0.00054842,-0.00054842,-0.00043874,-0.00054842,0.00120652,0.00088397
2018-03-01,-0.00483039,-0.00036598,-0.00029278,-0.00025618,-0.00032633,0.00120772,0.00087554
2018-03-02,-0.00709384,-0.00149720,-0.00146068,-0.00138765,-0.00148206,-0.00054776,0.00060308
2018-03-05,0.00379895,-0.00150019,-0.00146360,-0.00142701,-0.00148190,-0.00062203,0.00059669
2018-03-06,0.00580729,-0.00113232,-0.00105927,-0.00098622,-0.00110073,0.00076706,0.00088108
2018-03-07,0.00122304,-0.00113226,-0.00105921,-0.00098616,-0.00109573,0.00007305,0.00106328
2018-03-08,0.00336865,-0.00105559,-0.00098279,-0.00094639,-0.00101676,0.00007280,0.00081917
2018-03-09,0.00065255,-0.00054463,-0.00043571,-0.00036309,-0.00049994,0.00087141,0.00078511
2018-03-12,0.00962304,-0.00105051,-0.00097806,-0.00094184,-0.00102303,-0.00003622,0.00068239
2018-03-13,0.00572597,-0.00068602,-0.00058041,-0.00054160,-0.00068602,0.00086656,0.00096061
2018-03-14,-0.00078908,-0.00021575,-0.00017979,-0.00010787,-0.00019534,0.00158216,0.00079634
2018-03-15,0.00998543,-0.00110584,-0.00103450,-0.00099883,-0.00107374,-0.00024971,0.00072966
2018-03-16,0.01475394,-0.00053425,-0.00035616,-0.00028493,-0.00045330,0.00142465,0.00090870
2018-03-19,-0.00472707,-0.00021360,-0.00017800,-0.00014240,-0.00018987,0.00188684,0.00092638
2018-03-20,-0.00495678,-0.00103337,-0.00099774,-0.00096210,-0.00101248,-0.00014253,0.00076192
2018-03-21,0.00668854,-0.00103307,-0.00099745,-0.00096182,-0.00101922,-0.00017812,0.00063246
2018-03-22,-0.01683375,-0.00103558,-0.00103558,-0.00078561,-0.00103558,0.00071419,0.00103494
2018-03-23,0.00198095,-0.00125389,-0.00111059,-0.00100490,-0.00117328,-0.00021495,0.00068292
2018-03-26,0.00711584,-0.00096632,-0.00075158,-0.00057263,-0.00086815,0.00060842,0.00086039
2018-03-27,0.00203740,-0.00111190,-0.00104017,-0.00100430,-0.00107894,-0.00017934,0.00100192
2018-03-28,-0.00157435,-0.00111083,-0.00107500,-0.00103916,-0.00109291,-0.00025083,0.00078282
2018-03-29,-0.00535413,-0.00143402,-0.00139817,-0.00132647,-0.00141941,-0.00057361,0.00059526
2018-03-30,0.00389665,-0.00143383,-0.00139798,-0.00136214,-0.00141435,-0.00053769,0.00060553
2018-04-02,0.00630199,-0.00111108,-0.00103940,-0.00096772,-0.00106745,0.00003584,0.00082955
2018-04-03,-0.00052127,-0.00110995,-0.00104013,-0.00100253,-0.00110995,-0.00017902,0.00091101
2018-04-04,-0.00097141,-0.00174692,-0.00167562,-0.00142784,-0.00171259,-0.00064173,0.00057560
2018-04-05,0.01191230,-0.00174072,-0.00170519,-0.00166967,-0.00172191,-0.00067497,0.00056412
2018-04-10,-0.00218835,-0.00121158,-0.00117595,-0.00114031,-0.00119376,-0.00032071,0.00084354
2018-04-11,-0.00151669,-0.00167535,-0.00167535,-0.00142583,-0.00167535,-0.00064162,0.00059097
2018-04-12,0.01122876,-0.00167517,-0.00167517,-0.00146132,-0.00167517,-0.00067719,0.00055298
2018-04-13,-0.00640373,-0.00121536,-0.00121536,-0.00114387,-0.00121536,-0.00032171,0.00081539
2018-04-16,0.00366365,-0.00146854,-0.00143362,-0.00139691,-0.00146854,-0.00060891,0.00065979
2018-04-17,0.00258550,-0.00111158,-0.00103987,-0.00079783,-0.00106855,0.00014343,0.00074365
2018-04-18,0.00076259,-0.00111044,-0.00103880,-0.00096716,-0.00107172,0.00010746,0.00071428
2018-04-19,0.00212569,-0.00111053,-0.00111053,-0.00100306,-0.00111053,-0.00010747,0.00059654
2018-04-20,-0.00357859,-0.00057324,-0.00053741,-0.00042993,-0.00055303,0.00064489,0.00073600
2018-04-23,0.00408782,-0.00118270,-0.00114686,-0.00111102,-0.00116427,-0.00035839,0.00062004
2018-04-24,0.00536460,-0.00053747,-0.00042998,-0.00032248,-0.00047424,0.00060913,0.00071952
2018-04-25,0.00009883,-0.00057259,-0.00053680,-0.00042944,-0.00055421,0.00078731,0.00088967
2018-04-26,-0.01112976,-0.00110842,-0.00103691,-0.00096540,-0.00107267,-0.00014302,0.00062532
2018-04-27,-0.01427090,-0.00111209,-0.00107622,-0.00104034,-0.00108926,-0.00025112,0.00061459
2018-04-30,-0.00766923,-0.00151392,-0.00147787,-0.00144183,-0.00149590,-0.00057673,0.00068627
2018-05-02,0.00204997,-0.00140825,-0.00140825,-0.00137214,-0.00140825,-0.00014444,0.00080066
2018-05-03,-0.00297314,-0.00111994,-0.00104769,-0.00097543,-0.00107780,0.00070448,0.00077348
2018-05-04,0.00951451,-0.00140899,-0.00137286,-0.00126448,-0.00139031,-0.00046966,0.00060948
2018-05-07,0.00692044,-0.00112371,-0.00108747,-0.00105122,-0.00110438,-0.00018124,0.00085940
2018-05-08,-0.00981483,-0.00112274,-0.00108652,-0.00101590,-0.00110872,-0.00021730,0.00083210
2018-05-09,-0.00144463,-0.00127011,-0.00123382,-0.00119753,-0.00125352,-0.00039918,0.00067703
2018-05-10,0.00694135,-0.00145226,-0.00141596,-0.00137965,-0.00143670,-0.00058091,0.00059845
2018-05-11,-0.00401544,-0.00119792,-0.00116162,-0.00112532,-0.00118481,-0.00021780,0.00074001
2018-05-14,-0.00231926,-0.00145174,-0.00137916,-0.00134286,-0.00141545,-0.00047182,0.00062787
2018-05-15,-0.00862936,-0.00148896,-0.00145265,-0.00141633,-0.00146899,-0.00054474,0.00059220
2018-05-16,-0.01203595,-0.00149319,-0.00149319,-0.00142035,-0.00156101,-0.00061913,0.00057860
2018-05-17,-0.00760889,-0.00171826,-0.00157568,-0.00153546,-0.00171826,-0.00076773,0.00058014
2018-05-18,-0.01203121,-0.00153516,-0.00149861,-0.00146206,-0.00151816,-0.00058482,0.00078578
2018-05-21,-0.01785710,-0.00179679,-0.00172345,-0.00161344,-0.00174993,-0.00080672,0.00057835
2018-05-22,0.02015893,-0.00172609,-0.00157919,-0.00154247,-0.00165435,-0.00062433,0.00078611
2018-05-23,-0.00994719,-0.00129107,-0.00114352,-0.00110664,-0.00119681,0.00059021,0.00124707
2018-05-24,-0.00977847,-0.00151630,-0.00144234,-0.00136837,-0.00148051,-0.00040681,0.00071082
2018-05-25,-0.00016215,-0.00144374,-0.00129566,-0.00125864,-0.00135207,-0.00018509,0.00058935
2018-05-29,-0.00742667,-0.00114564,-0.00110961,-0.00107173,-0.00114564,-0.00022174,0.00058314
2018-05-30,-0.02260182,-0.00144373,-0.00144373,-0.00129565,-0.00144373,-0.00044422,0.00060160
2018-05-31,0.00763292,-0.00145508,-0.00115660,-0.00108198,-0.00129040,-0.00014924,0.00060137
2018-06-04,0.00162613,-0.00115860,-0.00108385,-0.00104648,-0.00113032,0.00014950,0.00100984
2018-06-05,0.01920343,-0.00115895,-0.00112157,-0.00108418,-0.00113827,-0.00026170,0.00072804
2018-06-06,0.00473293,-0.00116704,-0.00109363,-0.00101646,-0.00116704,0.00015059,0.00115217
2018-06-07,-0.00057078,-0.00109308,-0.00101769,-0.00082923,-0.00105382,0.00009423,0.00087614
2018-06-08,-0.00380464,-0.00124153,-0.00120391,-0.00112866,-0.00122127,-0.00026335,0.00062691
2018-06-11,0.00053178,-0.00150521,-0.00146758,-0.00142995,-0.00149123,-0.00056445,0.00061869
2018-06-12,0.00416931,-0.00116378,-0.00116378,-0.00105115,-0.00116378,-0.00015016,0.00059495
2018-06-13,0.00006391,-0.00082597,-0.00078842,-0.00075088,-0.00080261,0.00011263,0.00081391
2018-06-14,-0.01549959,-0.00108758,-0.00105008,-0.00101258,-0.00106615,-0.00018751,0.00063801
2018-06-15,0.00443351,-0.00154488,-0.00150720,-0.00146952,-0.00152658,-0.00056520,0.00064557
2018-06-18,-0.00458417,-0.00116980,-0.00109622,-0.00101886,-0.00116980,0.00007547,0.00096625
