date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-01-02,0.00168128,-0.00015543,-0.00010362,0.00020724,-0.00013114,0.00170969,0.00092647
2018-01-03,0.00406918,-0.00061744,-0.00030872,-0.00025727,-0.00047385,0.00108052,0.00087606
2018-01-04,0.00618218,-0.00015452,-0.00010301,0.00020602,-0.00012999,0.00159668,0.00084039
2018-01-05,0.00363604,-0.00015472,0.00041258,0.00046415,0.00017148,0.00206288,0.00087835
2018-01-08,0.00271838,-0.00015473,0.00010315,0.00020630,-0.00003684,0.00159886,0.00084351
2018-01-09,-0.00586370,-0.00015432,0.00019675,0.00030863,-0.00015432,0.00164605,0.00085650
2018-01-10,-0.00549116,-0.00082348,-0.00077201,-0.00066908,-0.00080214,0.00102935,0.00098214
2018-01-11,0.00306004,-0.00113331,-0.00108179,-0.00097877,-0.00110096,0.00041211,0.00090768
2018-01-12,0.00263928,-0.00025669,-0.00020535,-0.00015402,-0.00022882,0.00138614,0.00083538
2018-01-15,-0.00751983,-0.00025675,-0.00020540,-0.00015405,-0.00023034,0.00133510,0.00084917
2018-01-16,0.00265066,-0.00148724,-0.00143596,-0.00118979,-0.00145732,-0.00005128,0.00094092
2018-01-17,-0.00355685,-0.00020474,-0.00015355,0.00038388,-0.00018085,0.00153552,0.00080714
2018-01-18,0.00304670,-0.00148340,-0.00117649,-0.00112534,-0.00130608,0.00010230,0.00094930
2018-01-19,0.00898460,-0.00030571,-0.00025476,-0.00020381,-0.00028242,0.00117188,0.00084339
2018-01-22,0.02420380,-0.00020345,-0.00015259,-0.00010173,-0.00017661,0.00193278,0.00090726
2018-01-23,0.01245841,-0.00025588,-0.00020470,-0.00015353,-0.00022542,0.00250762,0.00109918
2018-01-24,-0.01301024,-0.00015335,0.00086897,0.00102231,0.00048560,0.00250467,0.00099937
2018-01-25,-0.01346564,-0.00158985,-0.00148728,-0.00143600,-0.00154272,-0.00015386,0.00104944
2018-01-26,0.00872280,-0.00169789,-0.00169789,-0.00154354,-0.00169789,-0.00025726,0.00100302
2018-01-29,-0.00703076,-0.00015401,0.00056471,0.00082140,0.00028423,0.00236152,0.00090249
2018-01-30,-0.01426668,-0.00209141,-0.00204040,-0.00168333,-0.00206431,-0.00056111,0.00101656
2018-01-31,0.00654287,-0.00215009,-0.00215009,-0.00204770,-0.00215009,-0.00056312,0.00102893
2018-02-01,0.00123740,-0.00015300,-0.00010200,0.00056099,-0.00011992,0.00237144,0.00093985
2018-02-02,-0.00715332,-0.00147664,-0.00112021,-0.00081470,-0.00132016,0.00091654,0.00102693
