date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-01-01,0.00055016,-0.00106589,-0.00104539,-0.00100440,-0.00105726,-0.00049195,0.00030701
2018-01-02,-0.00202771,-0.00096237,-0.00092142,-0.00090094,-0.00094317,-0.00042999,0.00032437
2018-01-03,-0.00262260,-0.00106564,-0.00104514,-0.00100416,-0.00105456,-0.00051233,0.00030887
2018-01-04,-0.00367571,-0.00106706,-0.00104654,-0.00100550,-0.00105864,-0.00051301,0.00030897
2018-01-05,0.00008923,-0.00106249,-0.00100120,-0.00098076,-0.00103158,-0.00053125,0.00029421
2018-01-08,0.00090621,-0.00104860,-0.00098811,-0.00094878,-0.00101619,-0.00052430,0.00028865
2018-01-09,0.00500813,-0.00104655,-0.00098618,-0.00096605,-0.00101505,-0.00050315,0.00030438
2018-01-10,0.00433171,-0.00098758,-0.00094727,-0.00090696,-0.00097233,-0.00046356,0.00029323
2018-01-11,-0.00391711,-0.00096407,-0.00094399,-0.00090382,-0.00095570,-0.00047199,0.00028588
2018-01-12,-0.00163782,-0.00110758,-0.00106730,-0.00104716,-0.00108581,-0.00058400,0.00031134
2018-01-15,0.00050148,-0.00110180,-0.00104320,-0.00102167,-0.00110180,-0.00052085,0.00031217
2018-01-16,0.00031417,-0.00103805,-0.00097816,-0.00095820,-0.00101083,-0.00049906,0.00031036
2018-01-17,0.00000720,-0.00097373,-0.00095386,-0.00093399,-0.00096470,-0.00047693,0.00028948
2018-01-18,-0.00130786,-0.00096836,-0.00094860,-0.00092883,-0.00095897,-0.00045454,0.00028866
2018-01-19,-0.00095125,-0.00102491,-0.00096578,-0.00094607,-0.00100578,-0.00047304,0.00029214
2018-01-22,0.00270737,-0.00101868,-0.00099909,-0.00097950,-0.00100938,-0.00050934,0.00028988
2018-01-23,-0.00124719,-0.00099781,-0.00093912,-0.00091955,-0.00097032,-0.00044999,0.00028358
2018-01-24,-0.00046565,-0.00107551,-0.00103640,-0.00101684,-0.00105797,-0.00058664,0.00029004
2018-01-25,-0.00297219,-0.00101533,-0.00095675,-0.00093723,-0.00098525,-0.00046861,0.00028072
2018-01-26,-0.00241121,-0.00107505,-0.00101641,-0.00099686,-0.00104358,-0.00054730,0.00028889
2018-01-29,-0.00288655,-0.00119171,-0.00115264,-0.00109500,-0.00117584,-0.00066423,0.00027785
2018-01-30,0.00330892,-0.00130321,-0.00128376,-0.00118650,-0.00129254,-0.00070023,0.00028210
2018-01-31,0.00314409,-0.00101284,-0.00099337,-0.00097389,-0.00100104,-0.00052590,0.00030608
2018-02-01,-0.00168041,-0.00106716,-0.00100895,-0.00098955,-0.00104000,-0.00054328,0.00029875
2018-02-02,0.00045051,-0.00110366,-0.00108430,-0.00106493,-0.00109327,-0.00061960,0.00028340
2018-02-05,0.00346694,-0.00100257,-0.00098329,-0.00094473,-0.00099269,-0.00050129,0.00029875
2018-02-06,-0.00180414,-0.00106291,-0.00100493,-0.00098561,-0.00103144,-0.00054112,0.00030558
2018-02-07,-0.00086600,-0.00127431,-0.00117777,-0.00113916,-0.00122604,-0.00071439,0.00029142
2018-02-08,0.00349540,-0.00100250,-0.00098322,-0.00094466,-0.00099286,-0.00046269,0.00029284
2018-02-09,0.00485155,-0.00106284,-0.00100487,-0.00098555,-0.00103032,-0.00056041,0.00031356
2018-02-12,-0.00201864,-0.00100441,-0.00094647,-0.00090783,-0.00097077,-0.00046357,0.00029080
2018-02-13,-0.00332463,-0.00108098,-0.00106167,-0.00102307,-0.00107108,-0.00059840,0.00030299
2018-02-14,-0.00040794,-0.00106024,-0.00102169,-0.00100241,-0.00104025,-0.00057831,0.00032436
2018-02-15,-0.00325773,-0.00100105,-0.00098180,-0.00096255,-0.00099142,-0.00050052,0.00030185
2018-02-16,0.00046953,-0.00126956,-0.00113491,-0.00107817,-0.00120051,-0.00067325,0.00031143
2018-02-19,0.00072178,-0.00094146,-0.00090351,-0.00086460,-0.00093377,-0.00030741,0.00034549
2018-02-20,-0.00573361,-0.00094015,-0.00092096,-0.00090178,-0.00093126,-0.00040292,0.00029377
2018-02-21,0.00354246,-0.00099839,-0.00097919,-0.00095999,-0.00098742,-0.00049919,0.00030028
2018-02-22,0.00576859,-0.00094145,-0.00092223,-0.00090302,-0.00093077,-0.00040348,0.00031914
2018-02-23,0.00203510,-0.00094237,-0.00092314,-0.00090391,-0.00093299,-0.00042310,0.00030527
2018-02-26,-0.00269197,-0.00094124,-0.00092203,-0.00090282,-0.00093026,-0.00046101,0.00031571
2018-02-27,-0.00043419,-0.00099939,-0.00098017,-0.00096095,-0.00099000,-0.00049969,0.00030147
2018-02-28,0.00105266,-0.00099858,-0.00097938,-0.00096017,-0.00098791,-0.00049929,0.00030005
2018-03-01,0.00094869,-0.00099837,-0.00097917,-0.00094078,-0.00098902,-0.00049919,0.00029820
2018-03-02,0.00236056,-0.00099669,-0.00097752,-0.00093919,-0.00098781,-0.00046001,0.00034518
2018-03-05,0.00118656,-0.00093444,-0.00091537,-0.00089630,-0.00092361,-0.00041955,0.00037129
2018-03-06,-0.00085696,-0.00099009,-0.00097105,-0.00093297,-0.00098168,-0.00051409,0.00029496
2018-03-07,-0.00004783,-0.00104583,-0.00098878,-0.00096977,-0.00102270,-0.00057045,0.00028359
2018-03-08,0.00554900,-0.00098864,-0.00093161,-0.00091259,-0.00095894,-0.00041827,0.00028636
2018-03-09,-0.00184228,-0.00091428,-0.00089523,-0.00083809,-0.00090349,-0.00036190,0.00036154
2018-03-12,-0.00315275,-0.00106565,-0.00104662,-0.00100856,-0.00105683,-0.00058991,0.00029020
2018-03-13,0.00303861,-0.00104849,-0.00099130,-0.00097224,-0.00101418,-0.00053378,0.00030693
2018-03-14,0.00165956,-0.00093574,-0.00091712,-0.00089755,-0.00093574,-0.00028645,0.00046857
2018-03-15,-0.00227610,-0.00105042,-0.00099312,-0.00097402,-0.00101840,-0.00053476,0.00031228
2018-03-16,0.00303603,-0.00108911,-0.00107000,-0.00105089,-0.00108115,-0.00060188,0.00029396
2018-03-19,0.00130472,-0.00093708,-0.00089883,-0.00084146,-0.00091905,-0.00028686,0.00045146
2018-03-20,0.00093840,-0.00105110,-0.00101287,-0.00099376,-0.00103541,-0.00055421,0.00029947
2018-03-21,0.00164237,-0.00099340,-0.00097429,-0.00093609,-0.00098289,-0.00042028,0.00031940
2018-03-22,-0.00108833,-0.00072359,-0.00072359,-0.00062838,-0.00072359,0.00001904,0.00043078
2018-03-23,-0.00044992,-0.00104225,-0.00098540,-0.00096645,-0.00100672,-0.00053060,0.00029649
2018-03-25,0.00155009,-0.00098490,-0.00098490,-0.00092808,-0.00098490,-0.00045457,0.00029113
2018-03-26,-0.00190531,-0.00098539,-0.00098539,-0.00093043,-0.00098539,-0.00051164,0.00029904
2018-03-27,-0.00244320,-0.00103935,-0.00098266,-0.00096377,-0.00100244,-0.00054802,0.00029310
2018-03-28,-0.00111687,-0.00104056,-0.00098380,-0.00094691,-0.00101061,-0.00052974,0.00030488
2018-03-29,-0.00037805,-0.00103648,-0.00097994,-0.00096110,-0.00101028,-0.00048997,0.00029882
2018-04-01,0.00149016,-0.00098021,-0.00096136,-0.00094251,-0.00097257,-0.00047125,0.00029349
2018-04-02,-0.00084822,-0.00097792,-0.00095912,-0.00092151,-0.00096852,-0.00047016,0.00028727
2018-04-03,-0.00361951,-0.00097678,-0.00095799,-0.00093921,-0.00096940,-0.00050717,0.00027950
2018-04-04,0.00224238,-0.00105428,-0.00103546,-0.00099780,-0.00104424,-0.00058362,0.00029930
2018-04-05,-0.00206585,-0.00092253,-0.00090371,-0.00088488,-0.00091384,-0.00039537,0.00037609
2018-04-08,0.00067477,-0.00107382,-0.00105498,-0.00103614,-0.00106194,-0.00056517,0.00029060
2018-04-09,-0.00051977,-0.00097725,-0.00097725,-0.00092087,-0.00097725,-0.00046983,0.00028824
2018-04-10,-0.00151536,-0.00103194,-0.00097565,-0.00093813,-0.00099910,-0.00048783,0.00028727
2018-04-11,-0.00072880,-0.00102828,-0.00099089,-0.00097219,-0.00100788,-0.00054218,0.00029377
2018-04-12,-0.00133456,-0.00101915,-0.00098209,-0.00096356,-0.00100204,-0.00057443,0.00028585
2018-04-15,-0.00322892,-0.00103175,-0.00101378,-0.00097647,-0.00103838,-0.00057115,0.00028473
2018-04-16,-0.00325155,-0.00108060,-0.00102566,-0.00100734,-0.00105313,-0.00056777,0.00029961
2018-04-17,0.00263907,-0.00107650,-0.00102176,-0.00100352,-0.00103958,-0.00058386,0.00031093
2018-04-18,-0.00009612,-0.00100362,-0.00094888,-0.00093063,-0.00097569,-0.00049269,0.00029055
2018-04-19,0.00031708,-0.00100200,-0.00096556,-0.00094734,-0.00098461,-0.00056476,0.00028080
2018-04-22,0.00275605,-0.00094336,-0.00092522,-0.00088894,-0.00093638,-0.00047168,0.00028965
2018-04-23,0.00646813,-0.00088927,-0.00087112,-0.00085298,-0.00087937,-0.00043556,0.00026483
2018-04-24,0.00128438,-0.00089115,-0.00087296,-0.00085478,-0.00088230,-0.00040011,0.00026459
2018-04-25,0.00417459,-0.00094585,-0.00092766,-0.00087400,-0.00093553,-0.00047293,0.00029091
2018-04-26,0.00068622,-0.00072979,-0.00069330,-0.00062032,-0.00071762,-0.00012771,0.00043613
2018-04-29,-0.00487509,-0.00094445,-0.00088996,-0.00087180,-0.00091720,-0.00045406,0.00028486
2018-04-30,0.00701106,-0.00094790,-0.00092967,-0.00089322,-0.00093854,-0.00045572,0.00028820
2018-05-01,0.00846115,-0.00062110,-0.00060284,-0.00056630,-0.00061389,0.00031055,0.00058168
2018-05-02,-0.00092950,-0.00088048,-0.00086214,-0.00073373,-0.00087085,-0.00029349,0.00054761
2018-05-03,-0.00106879,-0.00095183,-0.00093353,-0.00089692,-0.00094293,-0.00045761,0.00027258
2018-05-06,-0.00489685,-0.00094810,-0.00094810,-0.00092986,-0.00094810,-0.00047405,0.00028383
2018-05-07,0.00365551,-0.00094991,-0.00093165,-0.00089511,-0.00094102,-0.00040189,0.00027703
2018-05-08,0.00507755,-0.00095243,-0.00093412,-0.00089932,-0.00094034,-0.00042127,0.00032387
2018-05-09,-0.00430777,-0.00093313,-0.00089653,-0.00087824,-0.00090873,-0.00040253,0.00027709
2018-05-10,-0.00280766,-0.00095260,-0.00093428,-0.00091596,-0.00094270,-0.00049462,0.00028088
2018-05-13,0.00253084,-0.00095452,-0.00093616,-0.00091872,-0.00094424,-0.00047726,0.00027864
2018-05-14,0.00231134,-0.00089591,-0.00087762,-0.00085934,-0.00088676,-0.00038396,0.00029366
2018-05-15,0.00614841,-0.00094879,-0.00093055,-0.00089405,-0.00093769,-0.00045615,0.00027665
2018-05-16,-0.00581609,-0.00089606,-0.00087823,-0.00085948,-0.00089606,-0.00034745,0.00044474
2018-05-17,0.00574152,-0.00095435,-0.00095435,-0.00093600,-0.00095435,-0.00047717,0.00028523
2018-05-20,0.00088406,-0.00086437,-0.00073563,-0.00071724,-0.00078141,-0.00029425,0.00052711
2018-05-21,-0.00270088,-0.00095586,-0.00093748,-0.00088233,-0.00094798,-0.00047793,0.00026879
2018-05-22,-0.00139988,-0.00101208,-0.00097527,-0.00095687,-0.00099561,-0.00051524,0.00028262
2018-05-23,0.00404954,-0.00095722,-0.00093881,-0.00092040,-0.00094967,-0.00046020,0.00027929
2018-05-24,0.00177494,-0.00095999,-0.00094153,-0.00090460,-0.00095076,-0.00047999,0.00027882
2018-05-27,0.00011145,-0.00096111,-0.00094263,-0.00092415,-0.00095227,-0.00048056,0.00029669
2018-05-28,-0.00207702,-0.00095630,-0.00093791,-0.00091952,-0.00094691,-0.00045976,0.00028918
2018-05-29,0.00795724,-0.00095735,-0.00093894,-0.00090212,-0.00094743,-0.00042344,0.00028468
2018-05-30,-0.00643739,-0.00073669,-0.00071827,-0.00069985,-0.00072860,-0.00025784,0.00046718
2018-05-31,0.00184675,-0.00096018,-0.00094172,-0.00092325,-0.00095072,-0.00046163,0.00027578
2018-06-03,-0.00327601,-0.00090222,-0.00086540,-0.00077794,-0.00088307,-0.00022095,0.00046604
2018-06-04,-0.00686293,-0.00095071,-0.00093243,-0.00089587,-0.00093954,-0.00042051,0.00028207
2018-06-05,0.00195562,-0.00095341,-0.00093508,-0.00089841,-0.00094266,-0.00042170,0.00027358
2018-06-06,-0.00266767,-0.00093646,-0.00089973,-0.00088137,-0.00091233,-0.00040396,0.00030504
2018-06-07,0.00203652,-0.00095610,-0.00093771,-0.00091932,-0.00094435,-0.00047805,0.00029225
2018-06-10,0.00000468,-0.00093675,-0.00091839,-0.00090002,-0.00092642,-0.00045919,0.00028933
2018-06-11,-0.00297428,-0.00093255,-0.00091427,-0.00089598,-0.00092485,-0.00045713,0.00028173
2018-06-12,0.00381580,-0.00095125,-0.00093296,-0.00091467,-0.00094275,-0.00047563,0.00028304
2018-06-13,-0.00098649,-0.00093192,-0.00089538,-0.00085974,-0.00091243,-0.00040201,0.00026950
2018-06-14,0.00193227,-0.00095015,-0.00093187,-0.00091360,-0.00094077,-0.00048421,0.00027212
2018-06-17,-0.00106734,-0.00088333,-0.00086530,-0.00084728,-0.00087322,-0.00039660,0.00029173
2018-06-18,0.00545556,-0.00093767,-0.00091964,-0.00090161,-0.00092651,-0.00046884,0.00028066
2018-06-19,0.00147470,-0.00088183,-0.00086383,-0.00084584,-0.00087103,-0.00041392,0.00026841
2018-06-20,0.00129175,-0.00093618,-0.00093618,-0.00090018,-0.00093618,-0.00048610,0.00030398
2018-06-21,0.00334793,-0.00093054,-0.00091264,-0.00087685,-0.00092300,-0.00034000,0.00035294
2018-06-24,-0.00181716,-0.00092759,-0.00087408,-0.00085624,-0.00089548,-0.00037461,0.00029153
2018-06-25,0.00552929,-0.00092440,-0.00090662,-0.00088884,-0.00091494,-0.00044442,0.00027553
2018-06-26,-0.00214490,-0.00087447,-0.00085662,-0.00083878,-0.00086586,-0.00033908,0.00041665
2018-06-27,0.00317534,-0.00092954,-0.00091166,-0.00089378,-0.00092019,-0.00044689,0.00028733
2018-06-28,0.00253708,-0.00087601,-0.00085813,-0.00084025,-0.00086549,-0.00039331,0.00030087
2018-07-01,0.00056625,-0.00087450,-0.00085666,-0.00083881,-0.00086517,-0.00041940,0.00030686
2018-07-02,0.00762562,-0.00090708,-0.00087150,-0.00085461,-0.00088787,-0.00042686,0.00032556
2018-07-03,-0.00070986,-0.00083650,-0.00078310,-0.00074751,-0.00081722,-0.00015128,0.00051759
2018-07-04,-0.00263686,-0.00090676,-0.00087120,-0.00085342,-0.00088051,-0.00040893,0.00029390
2018-07-05,-0.00712476,-0.00087270,-0.00083708,-0.00080146,-0.00085489,-0.00030278,0.00041327
2018-07-08,0.00034692,-0.00092883,-0.00091097,-0.00087525,-0.00091784,-0.00033938,0.00034545
2018-07-09,-0.00994259,-0.00092037,-0.00090267,-0.00088497,-0.00091127,-0.00042479,0.00032443
2018-07-10,0.00154196,-0.00090835,-0.00089054,-0.00087273,-0.00090113,-0.00044527,0.00030859
2018-07-11,0.00548535,-0.00090746,-0.00087277,-0.00085408,-0.00090746,-0.00032028,0.00046920
2018-07-12,-0.00462849,-0.00087432,-0.00085648,-0.00083864,-0.00086228,-0.00044608,0.00034770
2018-07-15,-0.00200442,-0.00091286,-0.00089496,-0.00085916,-0.00090221,-0.00041168,0.00027131
2018-07-16,-0.00206663,-0.00091380,-0.00089588,-0.00087796,-0.00090424,-0.00043002,0.00029202
2018-07-17,-0.00152362,-0.00093317,-0.00091522,-0.00089728,-0.00092519,-0.00041275,0.00028027
2018-07-18,0.00325616,-0.00093239,-0.00091446,-0.00089653,-0.00092148,-0.00043034,0.00027940
2018-07-19,0.00719058,-0.00091465,-0.00089672,-0.00087878,-0.00090568,-0.00043042,0.00027869
2018-07-22,-0.00500253,-0.00088342,-0.00086585,-0.00084737,-0.00088342,-0.00041467,0.00026401
2018-07-23,0.00176974,-0.00094112,-0.00092302,-0.00090492,-0.00093388,-0.00041626,0.00027480
2018-07-24,-0.00580649,-0.00091901,-0.00088297,-0.00086495,-0.00089815,-0.00039644,0.00036211
2018-07-25,-0.00148893,-0.00093366,-0.00091570,-0.00087979,-0.00092441,-0.00032319,0.00040557
2018-07-26,-0.00150505,-0.00091577,-0.00087986,-0.00084395,-0.00089570,-0.00030526,0.00044738
2018-07-29,-0.00121095,-0.00093353,-0.00091558,-0.00089762,-0.00092380,-0.00032314,0.00039872
2018-07-30,-0.00328300,-0.00093270,-0.00091477,-0.00089683,-0.00092326,-0.00041254,0.00027602
2018-07-31,0.00101602,-0.00091572,-0.00089777,-0.00087981,-0.00090560,-0.00043093,0.00027719
2018-08-01,-0.00272959,-0.00087996,-0.00086200,-0.00084405,-0.00086885,-0.00035917,0.00029168
2018-08-02,0.00300569,-0.00091726,-0.00089927,-0.00088129,-0.00090889,-0.00039568,0.00027315
2018-08-05,-0.00511944,-0.00088276,-0.00084673,-0.00079268,-0.00085769,-0.00030626,0.00030660
2018-08-06,0.00071681,-0.00094030,-0.00092222,-0.00090413,-0.00093248,-0.00041590,0.00027946
2018-08-07,0.00028194,-0.00088573,-0.00085049,-0.00084958,-0.00088573,-0.00030730,0.00031001
2018-08-08,0.00159584,-0.00088337,-0.00084731,-0.00081126,-0.00086875,-0.00034253,0.00028213
2018-08-09,0.00292007,-0.00088444,-0.00086639,-0.00084834,-0.00087295,-0.00032490,0.00030671
2018-08-12,0.00364791,-0.00088251,-0.00086495,-0.00084649,-0.00088251,-0.00034220,0.00030028
2018-08-13,0.00163178,-0.00088482,-0.00088482,-0.00086676,-0.00088482,-0.00037921,0.00030242
2018-08-14,0.00086958,-0.00088546,-0.00086739,-0.00085022,-0.00087534,-0.00036141,0.00031630
2018-08-15,0.00420894,-0.00088577,-0.00086814,-0.00084961,-0.00088577,-0.00034346,0.00032492
2018-08-16,-0.00373267,-0.00088487,-0.00086681,-0.00084875,-0.00087754,-0.00032506,0.00031952
2018-08-19,-0.00030208,-0.00093905,-0.00092099,-0.00090293,-0.00093084,-0.00043341,0.00030465
2018-08-20,0.00061559,-0.00091646,-0.00089849,-0.00088052,-0.00090884,-0.00035940,0.00036425
2018-08-21,-0.00305821,-0.00091448,-0.00087862,-0.00086069,-0.00089501,-0.00039448,0.00030410
2018-08-22,-0.00555879,-0.00093370,-0.00091574,-0.00089779,-0.00092493,-0.00043094,0.00030802
2018-08-23,0.00432823,-0.00093765,-0.00091962,-0.00090159,-0.00092751,-0.00037867,0.00033825
2018-08-26,-0.00305487,-0.00092220,-0.00092220,-0.00090412,-0.00092220,-0.00043398,0.00032593
2018-08-27,-0.00108598,-0.00092139,-0.00090332,-0.00088526,-0.00091211,-0.00043360,0.00028926
2018-08-28,-0.00028813,-0.00092068,-0.00088458,-0.00084847,-0.00090173,-0.00037911,0.00031753
2018-08-29,0.00390186,-0.00091851,-0.00090095,-0.00088249,-0.00091851,-0.00043224,0.00026825
2018-08-30,0.00296819,-0.00092025,-0.00088416,-0.00086612,-0.00090105,-0.00042404,0.00026061
2018-09-02,0.00079061,-0.00092064,-0.00088453,-0.00086648,-0.00090638,-0.00039714,0.00030544
2018-09-03,-0.00253926,-0.00091894,-0.00090092,-0.00086489,-0.00090962,-0.00043244,0.00029263
2018-09-04,0.00467554,-0.00093814,-0.00092055,-0.00090206,-0.00093814,-0.00045103,0.00030076
2018-09-05,0.00319578,-0.00088462,-0.00086656,-0.00084851,-0.00087469,-0.00036107,0.00032437
2018-09-06,-0.00096693,-0.00092173,-0.00088558,-0.00086751,-0.00090175,-0.00036146,0.00031382
2018-09-09,-0.00222884,-0.00091897,-0.00088293,-0.00086491,-0.00090314,-0.00039642,0.00030348
2018-09-10,-0.00003484,-0.00091861,-0.00090060,-0.00088258,-0.00090939,-0.00036024,0.00039835
2018-09-11,-0.00175279,-0.00089975,-0.00088176,-0.00086376,-0.00089191,-0.00037790,0.00029942
2018-09-12,0.00078971,-0.00091672,-0.00089875,-0.00088077,-0.00090733,-0.00039545,0.00031051
2018-09-13,-0.00089431,-0.00091556,-0.00089761,-0.00087966,-0.00090628,-0.00041290,0.00033046
2018-09-16,0.00027877,-0.00091202,-0.00089413,-0.00087625,-0.00090253,-0.00042918,0.00026933
2018-09-17,-0.00131342,-0.00087475,-0.00085690,-0.00083904,-0.00086455,-0.00037489,0.00029578
2018-09-18,-0.00288419,-0.00090961,-0.00090961,-0.00087394,-0.00090961,-0.00041021,0.00028699
2018-09-19,-0.00017034,-0.00090916,-0.00089133,-0.00087350,-0.00090002,-0.00037436,0.00030554
2018-09-20,0.00102848,-0.00090831,-0.00089050,-0.00087269,-0.00089898,-0.00039182,0.00028147
2018-09-23,0.00425677,-0.00090800,-0.00089020,-0.00087240,-0.00089982,-0.00040949,0.00030373
2018-09-24,-0.00279617,-0.00091110,-0.00089324,-0.00087537,-0.00090332,-0.00041089,0.00026376
2018-09-25,-0.00225344,-0.00091182,-0.00089394,-0.00087606,-0.00090335,-0.00046485,0.00026651
2018-09-26,-0.00372563,-0.00093020,-0.00091231,-0.00089442,-0.00092126,-0.00042932,0.00029093
2018-09-27,-0.00040048,-0.00092975,-0.00091187,-0.00089399,-0.00092042,-0.00044699,0.00028769
2018-09-30,0.00263659,-0.00092942,-0.00091154,-0.00089367,-0.00091907,-0.00044684,0.00026905
2018-10-01,0.00132621,-0.00092835,-0.00091050,-0.00087479,-0.00091741,-0.00042847,0.00031025
2018-10-02,0.00251675,-0.00092642,-0.00090860,-0.00089079,-0.00091582,-0.00044539,0.00031169
2018-10-03,0.00058170,-0.00090837,-0.00089055,-0.00089055,-0.00089781,-0.00046309,0.00028958
2018-10-04,0.00232342,-0.00092628,-0.00090846,-0.00087284,-0.00091541,-0.00046314,0.00028605
2018-10-07,-0.00147472,-0.00087275,-0.00085459,-0.00083768,-0.00086955,-0.00039169,0.00030620
2018-10-08,0.00326004,-0.00092487,-0.00090709,-0.00087152,-0.00091542,-0.00042686,0.00027729
2018-10-09,-0.00345765,-0.00092613,-0.00090832,-0.00087270,-0.00091680,-0.00035620,0.00032707
2018-10-10,0.00415695,-0.00092805,-0.00091020,-0.00087451,-0.00091960,-0.00037479,0.00030259
2018-10-11,-0.00345279,-0.00091195,-0.00087618,-0.00085830,-0.00089461,-0.00035763,0.00031465
2018-10-14,-0.00209988,-0.00093130,-0.00091339,-0.00087757,-0.00092106,-0.00039401,0.00031732
2018-10-15,-0.00166569,-0.00091465,-0.00089671,-0.00087878,-0.00090379,-0.00035869,0.00031590
2018-10-16,-0.00140701,-0.00093275,-0.00091481,-0.00089687,-0.00092421,-0.00039462,0.00028649
2018-10-17,0.00153753,-0.00091400,-0.00089608,-0.00087816,-0.00090404,-0.00041220,0.00028859
2018-10-18,0.00326558,-0.00091326,-0.00087744,-0.00085954,-0.00089577,-0.00034919,0.00030938
2018-10-21,-0.00183741,-0.00091491,-0.00089697,-0.00087903,-0.00090544,-0.00039467,0.00027186
2018-10-22,-0.00084781,-0.00091128,-0.00089341,-0.00087554,-0.00090550,-0.00039310,0.00027174
2018-10-23,0.00083849,-0.00091132,-0.00089345,-0.00087558,-0.00090396,-0.00039312,0.00027825
2018-10-24,0.00334914,-0.00090802,-0.00087241,-0.00085461,-0.00088626,-0.00035609,0.00030482
2018-10-25,0.00029924,-0.00090900,-0.00090900,-0.00087335,-0.00090900,-0.00037429,0.00029898
2018-10-29,-0.00023197,-0.00090801,-0.00089021,-0.00087240,-0.00089822,-0.00040949,0.00027501
2018-10-30,0.00324291,-0.00092533,-0.00090753,-0.00088974,-0.00091687,-0.00040928,0.00027968
2018-10-31,0.00147901,-0.00087346,-0.00085608,-0.00083781,-0.00087346,-0.00040999,0.00029743
2018-11-01,0.00241249,-0.00090831,-0.00087269,-0.00085488,-0.00088925,-0.00039182,0.00030714
2018-11-02,-0.00471051,-0.00090533,-0.00090533,-0.00088758,-0.00090533,-0.00035503,0.00031973
2018-11-05,-0.00367294,-0.00091903,-0.00091903,-0.00090135,-0.00091903,-0.00037115,0.00031110
2018-11-06,-0.00038101,-0.00092084,-0.00090313,-0.00088542,-0.00091245,-0.00042500,0.00030855
2018-11-07,-0.00008832,-0.00091849,-0.00090083,-0.00088316,-0.00091042,-0.00042392,0.00029111
2018-11-08,-0.00356231,-0.00091101,-0.00089349,-0.00085845,-0.00090279,-0.00038543,0.00028754
2018-11-09,-0.00217379,-0.00091097,-0.00089345,-0.00087593,-0.00090134,-0.00038541,0.00030292
2018-11-12,0.00221349,-0.00091146,-0.00089393,-0.00087640,-0.00090167,-0.00040315,0.00029958
2018-11-13,0.00387119,-0.00085827,-0.00085827,-0.00082324,-0.00085827,-0.00035031,0.00028509
2018-11-14,-0.00298999,-0.00089474,-0.00089474,-0.00084211,-0.00089474,-0.00040351,0.00027628
2018-11-15,0.00064060,-0.00089460,-0.00087706,-0.00084286,-0.00088809,-0.00036837,0.00028345
2018-11-16,-0.00200470,-0.00089419,-0.00085912,-0.00078899,-0.00087719,-0.00029806,0.00030150
2018-11-19,0.00715433,-0.00091103,-0.00089351,-0.00087599,-0.00090201,-0.00039420,0.00028620
