date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-01-01,0.00352261,-0.00013449,-0.00012608,-0.00010087,-0.00012921,0.00015971,0.00016221
2018-01-02,-0.00092234,-0.00013506,-0.00012683,-0.00011818,-0.00013506,0.00020259,0.00019715
2018-01-03,-0.00294456,-0.00026193,-0.00024503,-0.00022813,-0.00025484,-0.00005070,0.00017369
2018-01-04,-0.00572046,-0.00024604,-0.00023756,-0.00022907,-0.00024120,-0.00003394,0.00017810
2018-01-05,0.00136291,-0.00024842,-0.00023985,-0.00021415,-0.00024349,0.00002570,0.00022466
2018-01-08,0.00168487,-0.00026590,-0.00024875,-0.00024017,-0.00025823,0.00000858,0.00021349
2018-01-09,0.00280179,-0.00026637,-0.00026637,-0.00024918,-0.00026637,-0.00006015,0.00018277
2018-01-10,-0.00120596,-0.00026750,-0.00025024,-0.00024161,-0.00025775,-0.00004315,0.00018311
2018-01-11,-0.00140155,-0.00034575,-0.00032847,-0.00031982,-0.00034016,-0.00010373,0.00014804
2018-01-12,0.00021574,-0.00035438,-0.00035438,-0.00033709,-0.00035438,-0.00013829,0.00014620
2018-01-15,-0.00030207,-0.00028517,-0.00027652,-0.00026788,-0.00028143,-0.00006049,0.00014625
2018-01-16,-0.00064767,-0.00035399,-0.00034558,-0.00033673,-0.00035399,-0.00013814,0.00013848
2018-01-17,0.00381491,-0.00041427,-0.00040564,-0.00035386,-0.00040884,-0.00014672,0.00013540
2018-01-18,-0.00060251,-0.00034698,-0.00032963,-0.00030361,-0.00033809,-0.00011277,0.00016961
2018-01-19,0.00060251,-0.00040726,-0.00035527,-0.00034661,-0.00037508,-0.00013864,0.00014268
2018-01-22,0.00210593,-0.00035502,-0.00034636,-0.00033770,-0.00035092,-0.00013854,0.00014298
2018-01-23,0.00081538,-0.00035433,-0.00034569,-0.00032841,-0.00035052,-0.00010371,0.00015213
2018-01-24,-0.00008581,-0.00028467,-0.00027604,-0.00026742,-0.00028036,-0.00006901,0.00015884
2018-01-25,-0.00085834,-0.00029316,-0.00028453,-0.00028453,-0.00028724,-0.00009484,0.00013915
2018-01-26,0.00160884,-0.00034429,-0.00029265,-0.00028404,-0.00031904,-0.00009468,0.00016247
2018-01-29,-0.00040728,-0.00028338,-0.00027479,-0.00026621,-0.00027920,-0.00007729,0.00017325
2018-01-30,-0.00358756,-0.00035151,-0.00034293,-0.00033436,-0.00034777,-0.00012003,0.00014966
2018-01-31,-0.00045203,-0.00034487,-0.00034478,-0.00033617,-0.00034725,-0.00013791,0.00017278
2018-02-01,0.00019381,-0.00034320,-0.00033484,-0.00032604,-0.00034320,-0.00012012,0.00015893
2018-02-02,0.00019367,-0.00028310,-0.00027452,-0.00024878,-0.00027950,-0.00006005,0.00014384
2018-02-05,-0.00043050,-0.00024873,-0.00023158,-0.00019727,-0.00024085,0.00000429,0.00013700
2018-02-06,-0.00258712,-0.00029082,-0.00028227,-0.00026516,-0.00028689,-0.00008554,0.00014205
2018-02-07,0.00209172,-0.00029996,-0.00029139,-0.00027425,-0.00029553,-0.00008999,0.00015517
2018-02-08,0.00150680,-0.00029222,-0.00028362,-0.00027503,-0.00028749,-0.00008595,0.00014899
2018-02-09,-0.00071001,-0.00028372,-0.00027512,-0.00025793,-0.00027981,-0.00007738,0.00014595
2018-02-12,0.00221453,-0.00029103,-0.00028247,-0.00027391,-0.00028761,-0.00007704,0.00014749
2018-02-13,-0.00146145,-0.00029147,-0.00028289,-0.00027432,-0.00028693,-0.00006858,0.00015327
2018-02-14,0.00090295,-0.00034374,-0.00034374,-0.00031796,-0.00034374,-0.00012031,0.00016283
2018-02-15,0.00015041,-0.00032619,-0.00028327,-0.00027469,-0.00030380,-0.00006867,0.00017053
2018-02-16,0.00025774,-0.00026493,-0.00024784,-0.00023075,-0.00025492,-0.00000855,0.00013613
2018-02-19,0.00075153,-0.00026490,-0.00026490,-0.00023072,-0.00026490,0.00000855,0.00014202
