date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-01-02,0.01065964,-0.00019802,-0.00016502,-0.00009901,-0.00018055,0.00092410,0.00059893
2018-01-03,0.00055483,-0.00013285,-0.00013252,-0.00009939,-0.00014147,0.00132518,0.00072844
2018-01-04,0.00860408,-0.00053017,-0.00049703,-0.00046390,-0.00051134,0.00029822,0.00056119
2018-01-05,0.00177842,-0.00016628,-0.00013302,-0.00006651,-0.00014903,0.00126370,0.00069009
2018-01-08,-0.00486563,-0.00019957,-0.00016631,-0.00013305,-0.00018469,0.00089806,0.00061022
2018-01-09,-0.00111838,-0.00073241,-0.00069912,-0.00059925,-0.00071355,0.00019975,0.00056064
2018-01-10,0.01417010,-0.00096511,-0.00096511,-0.00069887,-0.00096511,-0.00001664,0.00061180
2018-01-11,0.00692509,-0.00010006,-0.00006670,-0.00003335,-0.00008552,0.00153421,0.00075554
2018-01-12,0.01024924,-0.00010019,-0.00010019,-0.00003340,-0.00010019,0.00153631,0.00072105
2018-01-15,0.00602390,-0.00010052,0.00000000,0.00077062,-0.00003829,0.00180927,0.00070898
2018-01-16,0.00152479,0.00000000,0.00078465,0.00087183,0.00000000,0.00194485,0.00069771
2018-01-17,-0.00777406,-0.00010039,-0.00006692,-0.00003346,-0.00008093,0.00125483,0.00061633
2018-01-18,0.00188592,-0.00073850,-0.00070493,-0.00067136,-0.00071815,0.00010070,0.00067802
2018-01-19,0.00068874,-0.00010063,-0.00006709,0.00000000,-0.00008176,0.00127461,0.00058879
2018-01-22,-0.00517008,-0.00053641,-0.00050289,-0.00043584,-0.00051644,0.00053641,0.00059899
2018-01-23,0.00177803,-0.00096971,-0.00093627,-0.00090283,-0.00095050,-0.00016719,0.00059849
2018-01-24,-0.00337530,-0.00033388,-0.00020033,-0.00016694,-0.00028046,0.00093488,0.00059167
2018-01-25,0.00180911,-0.00132446,-0.00112579,-0.00109268,-0.00122270,-0.00039734,0.00061283
2018-01-26,0.00204544,-0.00053014,-0.00049701,-0.00043074,-0.00051450,0.00072895,0.00067333
2018-01-29,-0.00023959,-0.00049572,-0.00042963,-0.00039658,-0.00046522,0.00085925,0.00062287
2018-01-30,0.00190107,-0.00089227,-0.00085922,-0.00073364,-0.00088566,-0.00003305,0.00054864
2018-01-31,0.00271157,-0.00049595,-0.00046289,-0.00042983,-0.00048017,0.00036370,0.00059096
2018-02-01,-0.00127760,-0.00039523,-0.00032936,-0.00026348,-0.00035730,0.00065871,0.00059629
2018-02-02,0.01102328,-0.00095146,-0.00091865,-0.00088584,-0.00093608,-0.00009843,0.00051144
2018-02-05,-0.00500060,-0.00039457,-0.00032881,-0.00026305,-0.00035699,0.00101931,0.00071270
2018-02-06,-0.03630145,-0.00105442,-0.00102230,-0.00095557,-0.00105442,-0.00023066,0.00058677
2018-02-07,0.01553203,-0.00130142,-0.00130142,-0.00123468,-0.00130142,-0.00033370,0.00060523
2018-02-08,-0.00384256,-0.00097389,-0.00020150,-0.00016791,-0.00054478,0.00110822,0.00645154
2018-02-09,-0.00695115,-0.00097440,-0.00097440,-0.00090720,-0.00097440,-0.00013440,0.00055971
2018-02-12,0.00408463,-0.00070491,-0.00060421,-0.00050350,-0.00066136,0.00030210,0.00055924
2018-02-13,0.00192148,-0.00020169,-0.00016892,-0.00013446,-0.00020169,0.00127739,0.00072023
2018-02-14,-0.00116105,-0.00053693,-0.00053693,-0.00020135,-0.00053693,0.00087251,0.00065021
2018-02-15,-0.00517659,-0.00090530,-0.00073765,-0.00070412,-0.00081748,0.00003353,0.00063147
2018-02-16,0.00397111,-0.00097199,-0.00090495,-0.00073737,-0.00093624,0.00000000,0.00064495
2018-02-19,-0.00630935,-0.00006711,0.00080534,0.00087246,0.00043455,0.00174491,0.00056283
2018-02-20,0.00337570,-0.00097526,-0.00094163,-0.00090800,-0.00095552,-0.00010089,0.00075026
2018-02-21,-0.00382377,0.00080770,0.00090783,0.00097598,0.00084001,0.00168272,0.00050867
2018-02-22,-0.00562508,-0.00097747,-0.00094376,-0.00091006,-0.00095615,-0.00016853,0.00088768
2018-02-23,-0.00082904,-0.00104276,-0.00097549,-0.00094185,-0.00101323,-0.00010091,0.00082327
2018-02-26,-0.00160184,-0.00113857,-0.00103811,-0.00097114,-0.00109073,-0.00023441,0.00064357
2018-02-27,0.00205281,-0.00133612,-0.00130271,-0.00126931,-0.00131775,-0.00040084,0.00051737
2018-02-28,-0.00165939,-0.00043404,-0.00040066,-0.00033388,-0.00041778,0.00090148,0.00068353
2018-03-01,-0.00246505,-0.00113544,-0.00110204,-0.00106865,-0.00111524,-0.00033395,0.00058084
2018-03-02,-0.00236866,-0.00133489,-0.00130151,-0.00123477,-0.00131939,-0.00050058,0.00055483
2018-03-06,-0.00212487,-0.00163343,-0.00156676,-0.00146675,-0.00160343,-0.00063337,0.00050850
2018-03-07,0.00839979,-0.00156534,-0.00156534,-0.00136551,-0.00156534,-0.00056619,0.00051577
2018-03-08,-0.00653845,-0.00096771,-0.00090097,-0.00066739,-0.00094149,0.00013348,0.00079148
2018-03-09,0.00426652,-0.00130102,-0.00126766,-0.00116759,-0.00128119,-0.00043367,0.00056162
2018-03-12,-0.00658272,-0.00070139,-0.00050100,-0.00034235,-0.00058516,0.00080159,0.00075484
2018-03-13,-0.00226274,-0.00133915,-0.00130651,-0.00127220,-0.00133915,-0.00050218,0.00054418
2018-03-14,-0.00020596,-0.00136845,-0.00133507,-0.00130170,-0.00135249,-0.00050065,0.00051349
2018-03-15,-0.00069174,-0.00133403,-0.00126733,-0.00116728,-0.00129512,-0.00043356,0.00048252
2018-03-16,0.00113303,-0.00133132,-0.00129804,-0.00126475,-0.00131317,-0.00039940,0.00048751
2018-03-19,-0.01210271,-0.00103078,-0.00096428,-0.00093102,-0.00100122,-0.00013300,0.00056925
2018-03-20,-0.01663053,-0.00156655,-0.00136657,-0.00133324,-0.00145480,-0.00053329,0.00056910
2018-03-21,0.01338024,-0.00130879,-0.00130879,-0.00117456,-0.00130879,-0.00026847,0.00058641
2018-03-22,-0.00291635,-0.00026975,-0.00020231,-0.00016859,-0.00023442,0.00107900,0.00080073
2018-03-23,-0.00887598,-0.00104480,-0.00097907,-0.00094537,-0.00104480,-0.00020222,0.00057624
2018-03-26,-0.01208598,-0.00114806,-0.00104676,-0.00094546,-0.00109281,-0.00010130,0.00056800
2018-03-27,0.00218476,-0.00166096,-0.00159317,-0.00145758,-0.00161458,-0.00067794,0.00054384
2018-03-28,-0.00177189,-0.00091392,-0.00071082,-0.00054158,-0.00082365,0.00054158,0.00075580
2018-03-29,-0.00755033,-0.00114829,-0.00111452,-0.00108074,-0.00112837,-0.00030396,0.00051615
2018-04-03,0.00609688,-0.00165960,-0.00162573,-0.00159186,-0.00164626,-0.00040643,0.00068435
2018-04-04,0.00198841,-0.00091445,-0.00091445,-0.00044029,-0.00091445,0.00118540,0.00091004
2018-04-05,0.00698915,-0.00071087,-0.00071087,-0.00057547,-0.00071087,0.00071087,0.00081318
2018-04-10,0.00864197,-0.00020334,-0.00016945,-0.00013556,-0.00018758,0.00152509,0.00076792
2018-04-11,-0.00620197,-0.00020381,-0.00016985,-0.00010361,-0.00019176,0.00156258,0.00073514
2018-04-12,0.00063555,-0.00132464,-0.00125671,-0.00118878,-0.00129159,-0.00040758,0.00065102
2018-04-13,0.00326215,-0.00071246,-0.00054282,-0.00047497,-0.00061633,0.00044104,0.00063022
2018-04-16,-0.00034685,-0.00023755,-0.00020361,-0.00016968,-0.00022097,0.00091625,0.00061764
2018-04-17,-0.00262792,-0.00104995,-0.00098221,-0.00091616,-0.00101382,-0.00013548,0.00055062
2018-04-18,-0.00121056,-0.00115037,-0.00111654,-0.00108271,-0.00113619,-0.00027068,0.00052710
2018-04-19,0.00353678,-0.00135287,-0.00131905,-0.00128523,-0.00133545,-0.00050733,0.00050659
2018-04-20,-0.00658480,-0.00071109,-0.00060951,-0.00054178,-0.00065260,0.00030475,0.00060799
2018-04-23,0.00100187,-0.00159433,-0.00139080,-0.00135687,-0.00147221,-0.00054275,0.00054091
2018-04-24,0.00000000,-0.00098273,-0.00074552,-0.00064386,-0.00085265,0.00013555,0.00054816
2018-04-25,0.00606562,-0.00115116,-0.00111730,-0.00108345,-0.00113712,-0.00030472,0.00049810
2018-04-26,-0.00412546,-0.00074596,-0.00071205,-0.00067814,-0.00072861,0.00013563,0.00070332
2018-04-27,-0.00330659,-0.00138960,-0.00135570,-0.00132181,-0.00137308,-0.00047450,0.00049573
2018-04-30,-0.00013675,-0.00166290,-0.00159503,-0.00142534,-0.00162727,-0.00057692,0.00052825
2018-05-02,-0.00583670,-0.00118719,-0.00115327,-0.00105151,-0.00116977,-0.00033920,0.00048948
