date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-01-01,-0.00522354,-0.00088557,-0.00063255,-0.00054821,-0.00073049,0.00088557,0.00072816
2018-01-02,-0.00178842,-0.00054776,-0.00054776,-0.00008427,-0.00054776,0.00092697,0.00069621
2018-01-03,-0.00538452,-0.00105370,-0.00092725,-0.00088511,-0.00097851,0.00075866,0.00090094
2018-01-04,0.00427282,-0.00088572,-0.00071701,-0.00067483,-0.00079715,0.00071701,0.00074366
2018-01-05,-0.00483152,-0.00147716,-0.00122394,-0.00088630,-0.00134452,0.00063307,0.00081622
2018-01-08,0.00235676,-0.00092802,-0.00088583,-0.00071710,-0.00090873,0.00071710,0.00077424
2018-01-09,0.00617552,-0.00071697,-0.00067479,-0.00063262,-0.00069648,0.00063262,0.00072426
2018-01-10,0.00325766,-0.00105626,-0.00092951,-0.00088726,-0.00099084,0.00042250,0.00085894
2018-01-11,-0.00239613,-0.00071838,-0.00067612,-0.00054935,-0.00069989,0.00076064,0.00073151
2018-01-12,-0.00635591,-0.00088786,-0.00088786,-0.00071875,-0.00088786,0.00076103,0.00082182
2018-01-15,-0.01289696,-0.00063453,-0.00054992,-0.00008460,-0.00059607,0.00088834,0.00073075
2018-01-16,-0.00660605,-0.00067867,-0.00067867,-0.00012725,-0.00067867,0.00123010,0.00083056
2018-01-17,0.00239584,-0.00068011,-0.00017003,-0.00008501,-0.00036839,0.00093515,0.00071327
2018-01-18,0.00690302,-0.00063694,-0.00055202,-0.00025478,-0.00058599,0.00101911,0.00079613
2018-01-19,-0.00413614,-0.00089332,-0.00089332,-0.00068063,-0.00089332,0.00080824,0.00093186
2018-01-22,0.00094154,-0.00093445,-0.00089198,-0.00080703,-0.00092273,0.00038228,0.00084305
2018-01-23,-0.00509478,-0.00089080,-0.00080596,-0.00076354,-0.00085954,0.00029693,0.00077982
2018-01-24,-0.00195679,-0.00093408,-0.00089162,-0.00080671,-0.00091179,0.00072179,0.00081571
2018-01-25,-0.00646555,-0.00093014,-0.00088787,-0.00084559,-0.00090729,0.00042279,0.00087284
2018-01-26,0.00006360,-0.00088665,-0.00071776,-0.00067554,-0.00078705,0.00092887,0.00081616
2018-01-29,-0.00490835,-0.00147553,-0.00126474,-0.00122258,-0.00140147,-0.00008432,0.00085190
2018-01-30,0.00319000,-0.00105446,-0.00092792,-0.00088574,-0.00099694,0.00033743,0.00084013
2018-01-31,-0.00197662,-0.00088351,-0.00071522,-0.00067315,-0.00079215,0.00042072,0.00075877
2018-02-01,0.00114822,-0.00113576,-0.00109370,-0.00105163,-0.00110947,0.00012620,0.00077230
2018-02-02,-0.00954438,-0.00121832,-0.00113430,-0.00109229,-0.00117290,0.00014704,0.00074414
2018-02-05,0.00385434,-0.00071507,-0.00067301,-0.00054682,-0.00069978,0.00054682,0.00076579
2018-02-06,0.00957127,-0.00167945,-0.00163747,-0.00159548,-0.00165379,0.00008397,0.00083811
2018-02-07,-0.00063527,-0.00147349,-0.00134719,-0.00130509,-0.00140733,-0.00016840,0.00089387
2018-02-08,0.00929772,-0.00092562,-0.00088354,-0.00079940,-0.00090237,0.00027348,0.00074650
2018-02-09,0.00056647,-0.00147652,-0.00147652,-0.00130777,-0.00147652,-0.00012656,0.00093265
2018-02-12,0.00150891,-0.00147471,-0.00143258,-0.00134831,-0.00145475,-0.00016854,0.00081816
2018-02-13,-0.00763097,-0.00071434,-0.00067232,-0.00063030,-0.00069577,0.00037818,0.00066858
2018-02-14,-0.00399631,-0.00071609,-0.00067396,-0.00063184,-0.00069101,0.00084246,0.00072626
2018-02-15,-0.00893836,-0.00105438,-0.00092785,-0.00088568,-0.00097186,0.00050610,0.00085250
2018-02-16,-0.00340470,-0.00088833,-0.00071913,-0.00067682,-0.00080937,0.00088833,0.00081603
2018-02-19,0.00801153,-0.00147799,-0.00147799,-0.00122462,-0.00147799,-0.00008446,0.00086695
2018-02-20,0.00051057,-0.00164931,-0.00148015,-0.00143786,-0.00156670,-0.00044405,0.00090257
2018-02-21,0.00521832,-0.00147979,-0.00122611,-0.00109927,-0.00134319,0.00000000,0.00081796
2018-02-22,0.00455957,-0.00114346,-0.00088936,-0.00084701,-0.00103883,0.00025410,0.00085838
2018-02-23,-0.00436922,-0.00088855,-0.00080393,-0.00076162,-0.00085196,0.00050775,0.00083219
2018-02-26,0.00544278,-0.00093068,-0.00088837,-0.00084607,-0.00091175,0.00038073,0.00078874
2018-02-27,-0.00385751,-0.00067822,-0.00067779,-0.00055071,-0.00069409,0.00088960,0.00085272
2018-02-28,0.00939623,-0.00093250,-0.00089012,-0.00084773,-0.00091333,0.00076296,0.00094066
2018-03-01,0.00307084,-0.00148804,-0.00144552,-0.00131798,-0.00146624,0.00000000,0.00108681
2018-03-02,-0.00886210,-0.00071931,-0.00067699,-0.00063468,-0.00070392,0.00088855,0.00083863
2018-03-05,-0.00442897,-0.00072062,-0.00072062,-0.00063585,-0.00072062,0.00097496,0.00080006
2018-03-06,0.00297588,-0.00122955,-0.00093276,-0.00084797,-0.00106467,0.00076317,0.00085334
2018-03-07,-0.01074216,-0.00148517,-0.00123057,-0.00089110,-0.00135038,0.00076380,0.00087852
2018-03-08,0.00051113,-0.00067944,-0.00063697,-0.00055204,-0.00066195,0.00106162,0.00081423
2018-03-09,0.00864925,-0.00148131,-0.00122737,-0.00088879,-0.00133510,0.00063485,0.00094342
2018-03-12,0.00025323,-0.00148274,-0.00135564,-0.00131328,-0.00142253,0.00008473,0.00108849
2018-03-13,-0.00266243,-0.00148217,-0.00122808,-0.00118573,-0.00137100,-0.00008470,0.00085839
2018-03-14,-0.00432567,-0.00122868,-0.00114395,-0.00105921,-0.00119530,0.00008474,0.00084158
2018-03-15,0.00407176,-0.00122897,-0.00106370,-0.00093232,-0.00122897,0.00046616,0.00089856
2018-03-16,0.00512962,-0.00148425,-0.00144184,-0.00135703,-0.00146751,0.00038166,0.00093931
2018-03-19,-0.00107437,-0.00072168,-0.00067923,-0.00063678,-0.00070269,0.00080658,0.00083312
2018-03-20,-0.00158216,-0.00148635,-0.00123155,-0.00114661,-0.00133984,0.00016987,0.00099202
2018-03-21,0.00750867,-0.00148231,-0.00143996,-0.00127055,-0.00145972,-0.00004235,0.00095938
2018-03-22,-0.00801549,-0.00148400,-0.00122960,-0.00114480,-0.00139920,0.00012720,0.00098455
2018-03-23,-0.00082410,-0.00072178,-0.00067933,-0.00055195,-0.00071083,0.00093407,0.00078765
2018-03-25,-0.00247638,-0.00067922,-0.00063677,-0.00055187,-0.00066012,0.00106128,0.00083945
2018-03-26,-0.00554655,-0.00089150,-0.00089150,-0.00080660,-0.00089150,0.00093395,0.00097117
