date,y_true,var_01,var_025,var_05,es_025
2018-01-03,0.02005487,-0.01556223,-0.01050455,-0.00838992,-0.01656904
2018-01-04,0.00691465,-0.01672577,-0.01139182,-0.00911568,-0.01787439
2018-01-05,0.00252264,-0.01622895,-0.01110947,-0.00887341,-0.01733722
2018-01-08,-0.00038451,-0.01503140,-0.01023378,-0.00817474,-0.01608570
2018-01-09,0.00649417,-0.01430072,-0.00973178,-0.00777386,-0.01535691
2018-01-10,0.00001120,-0.01411807,-0.00958851,-0.00765610,-0.01514885
2018-01-11,0.01642473,-0.01369782,-0.00935646,-0.00747029,-0.01475917
2018-01-12,0.01230657,-0.01454767,-0.00979622,-0.00782597,-0.01558297
2018-01-15,-0.00171872,-0.01662962,-0.01109862,-0.00886584,-0.01758219
2018-01-16,-0.00263465,-0.01524003,-0.01027125,-0.00788074,-0.01621858
2018-01-17,0.01008606,-0.01471320,-0.01003782,-0.00775008,-0.01575786
2018-01-18,0.00695936,-0.01488560,-0.01016834,-0.00783012,-0.01591670
2018-01-19,-0.00152002,-0.01466729,-0.00998247,-0.00767444,-0.01564295
2018-01-22,0.01525859,-0.01418180,-0.00969798,-0.00748292,-0.01516603
2018-01-23,-0.00639338,-0.01569208,-0.01068796,-0.00821193,-0.01669239
2018-01-25,-0.00272406,-0.01727211,-0.01172985,-0.00892594,-0.01827641
2018-01-26,0.00249052,-0.01630242,-0.01106462,-0.00842412,-0.01730132
2018-01-29,-0.00124923,-0.01532198,-0.01039324,-0.00787330,-0.01626407
2018-01-30,-0.00721264,-0.01475724,-0.00997757,-0.00763927,-0.01568658
2018-01-31,0.00084739,-0.01668093,-0.01127335,-0.00853284,-0.01769300
2018-02-01,-0.00621367,-0.01569721,-0.01046006,-0.00804654,-0.01657786
2018-02-02,-0.00910049,-0.01667980,-0.01113059,-0.00841717,-0.01761119
2018-02-05,-0.00749718,-0.01897967,-0.01280686,-0.01010043,-0.02009609
2018-02-06,-0.02153015,-0.01970620,-0.01353088,-0.01056544,-0.02095435
2018-02-07,0.00085884,-0.03608526,-0.02451252,-0.01919587,-0.03743411
2018-02-08,0.00662488,-0.02994635,-0.01988087,-0.01554854,-0.03065443
2018-02-09,-0.00809084,-0.02594190,-0.01679938,-0.01320921,-0.02630592
2018-02-12,0.01327474,-0.02547349,-0.01653866,-0.01298330,-0.02582660
2018-02-13,0.00351807,-0.02394023,-0.01559011,-0.01232446,-0.02433694
2018-02-14,0.00356818,-0.02121091,-0.01376907,-0.01082529,-0.02152029
2018-02-15,0.01117865,-0.01911099,-0.01242781,-0.00970702,-0.01940186
2018-02-16,0.00838349,-0.01946435,-0.01229083,-0.00981089,-0.01951138
2018-02-19,-0.00161865,-0.01904925,-0.01185202,-0.00954888,-0.01895918
2018-02-20,-0.00096137,-0.01745433,-0.01098730,-0.00876393,-0.01749205
2018-02-21,-0.00310580,-0.01622057,-0.01030489,-0.00820557,-0.01635233
2018-02-22,0.00114048,-0.01591756,-0.01022244,-0.00814047,-0.01612869
2018-02-23,0.00785738,-0.01483751,-0.00975044,-0.00769095,-0.01517854
2018-02-26,0.00273437,-0.01474276,-0.00969990,-0.00762073,-0.01515441
2018-02-27,0.00431339,-0.01446252,-0.00952484,-0.00746181,-0.01497269
2018-02-28,0.00440845,-0.01398667,-0.00937098,-0.00734484,-0.01453292
2018-03-01,-0.00483039,-0.01379915,-0.00903933,-0.00726593,-0.01419740
2018-03-02,-0.00709384,-0.01559241,-0.01019911,-0.00816957,-0.01597942
2018-03-05,0.00379895,-0.01820371,-0.01183739,-0.00941423,-0.01853551
2018-03-06,0.00580729,-0.01712751,-0.01091808,-0.00868423,-0.01724491
2018-03-07,0.00122304,-0.01633825,-0.01026860,-0.00827272,-0.01635580
2018-03-08,0.00336865,-0.01562717,-0.00987394,-0.00795530,-0.01570579
2018-03-09,0.00065255,-0.01497599,-0.00935575,-0.00759327,-0.01505402
2018-03-12,0.00962304,-0.01450374,-0.00910399,-0.00739958,-0.01463458
2018-03-13,0.00572597,-0.01436476,-0.00905155,-0.00730032,-0.01449366
2018-03-14,-0.00078908,-0.01408204,-0.00886525,-0.00721270,-0.01422973
2018-03-15,0.00998543,-0.01398122,-0.00886325,-0.00721212,-0.01418881
2018-03-16,0.01475394,-0.01392261,-0.00889664,-0.00714058,-0.01415763
2018-03-19,-0.00472707,-0.01400180,-0.00903165,-0.00711441,-0.01426302
2018-03-20,-0.00495678,-0.01606468,-0.01025272,-0.00799300,-0.01620247
2018-03-21,0.00668854,-0.01702834,-0.01086679,-0.00852579,-0.01718636
2018-03-22,-0.01683375,-0.01639805,-0.01034706,-0.00809634,-0.01643539
2018-03-23,0.00198095,-0.02751366,-0.01759274,-0.01375791,-0.02868713
2018-03-26,0.00711584,-0.02384412,-0.01506393,-0.01165722,-0.02474323
2018-03-27,0.00203740,-0.02166698,-0.01373546,-0.01055120,-0.02251003
2018-03-28,-0.00157435,-0.02000161,-0.01266285,-0.00963038,-0.02072350
2018-03-29,-0.00535413,-0.01886306,-0.01201625,-0.00905871,-0.01958463
2018-03-30,0.00389665,-0.01918021,-0.01226065,-0.00922975,-0.01994333
2018-04-02,0.00630199,-0.01808054,-0.01159995,-0.00870264,-0.01883714
2018-04-03,-0.00052127,-0.01724079,-0.01109069,-0.00833403,-0.01801373
2018-04-04,-0.00097141,-0.01682691,-0.01077069,-0.00809673,-0.01753857
