date,y_true,var_01,var_025,var_05,es_025
2018-01-02,0.00168128,-0.01688731,-0.01298673,-0.01125614,-0.01692381
2018-01-03,0.00406918,-0.01642936,-0.01272167,-0.01097441,-0.01645161
2018-01-04,0.00618218,-0.01628838,-0.01249244,-0.01083756,-0.01631160
2018-01-05,0.00363604,-0.01605855,-0.01238505,-0.01070972,-0.01609223
2018-01-08,0.00271838,-0.01586441,-0.01227935,-0.01059365,-0.01589762
2018-01-09,-0.00586370,-0.01570163,-0.01217231,-0.01049041,-0.01573091
2018-01-10,-0.00549116,-0.01737070,-0.01357981,-0.01165913,-0.01742785
2018-01-11,0.00306004,-0.01837483,-0.01443144,-0.01235666,-0.01844816
2018-01-12,0.00263928,-0.01775436,-0.01394321,-0.01194945,-0.01783937
2018-01-15,-0.00751983,-0.01724425,-0.01353985,-0.01161135,-0.01734041
2018-01-16,0.00265066,-0.01927031,-0.01524846,-0.01303065,-0.01940589
2018-01-17,-0.00355685,-0.01847311,-0.01453685,-0.01247041,-0.01859448
2018-01-18,0.00304670,-0.01840303,-0.01453676,-0.01246615,-0.01857162
2018-01-19,0.00898460,-0.01776085,-0.01397370,-0.01201626,-0.01791282
2018-01-22,0.02420380,-0.01726305,-0.01360124,-0.01168239,-0.01738889
2018-01-23,0.01245841,-0.01715893,-0.01399153,-0.01163731,-0.01735584
2018-01-24,-0.01301024,-0.01872680,-0.01505304,-0.01280608,-0.01908657
2018-01-25,-0.01346564,-0.02394002,-0.01938378,-0.01657136,-0.02458028
2018-01-26,0.00872280,-0.02696802,-0.02192924,-0.01857189,-0.02766934
2018-01-29,-0.00703076,-0.02491020,-0.02018687,-0.01717469,-0.02547598
2018-01-30,-0.01426668,-0.02433629,-0.01950873,-0.01683390,-0.02482764
2018-01-31,0.00654287,-0.02764950,-0.02164899,-0.01918804,-0.02813846
2018-02-01,0.00123740,-0.02526955,-0.01983095,-0.01690518,-0.02574442
2018-02-02,-0.00715332,-0.02308968,-0.01820721,-0.01476341,-0.02356540
2018-02-05,-0.00456619,-0.02287617,-0.01813669,-0.01464356,-0.02338350
2018-02-06,-0.02451926,-0.02203455,-0.01736624,-0.01397784,-0.02244659
2018-02-07,0.02272356,-0.03774478,-0.02786283,-0.02428320,-0.03630620
2018-02-08,-0.02092803,-0.03691984,-0.02730666,-0.02381868,-0.03549220
2018-02-09,-0.01439499,-0.04340815,-0.03189082,-0.02772634,-0.04171943
2018-02-12,-0.00086414,-0.04293375,-0.03148131,-0.02734975,-0.04113339
2018-02-13,0.00261026,-0.03774240,-0.02774135,-0.02398335,-0.03596097
2018-02-14,0.00174541,-0.03356744,-0.02409031,-0.02117787,-0.03181804
2018-02-15,0.00177066,-0.03020936,-0.02153929,-0.01878389,-0.02857120
2018-02-16,0.01587360,-0.02738031,-0.01949087,-0.01672756,-0.02583892
2018-02-19,-0.00339164,-0.02722531,-0.01926929,-0.01611660,-0.02563560
2018-02-20,-0.00873586,-0.02553277,-0.01760559,-0.01486609,-0.02392359
2018-02-21,0.00785331,-0.02608478,-0.01774818,-0.01524507,-0.02438435
2018-02-22,-0.00845064,-0.02453772,-0.01661734,-0.01432573,-0.02290442
2018-02-23,-0.01050682,-0.02518450,-0.01698341,-0.01466510,-0.02347622
2018-02-26,0.00990759,-0.02659040,-0.01875912,-0.01547957,-0.02501276
2018-02-27,-0.00410491,-0.02521886,-0.01690531,-0.01453562,-0.02346474
2018-02-28,-0.00915793,-0.02435901,-0.01689079,-0.01343293,-0.02270415
2018-03-01,-0.00907098,-0.02520387,-0.01740191,-0.01389870,-0.02436592
2018-03-02,-0.02218544,-0.02550432,-0.01775845,-0.01417685,-0.02474710
2018-03-05,0.00487397,-0.03375255,-0.02446209,-0.01959749,-0.03325891
2018-03-06,0.02366228,-0.03093737,-0.02233513,-0.01781728,-0.03009904
2018-03-07,0.00466516,-0.03231681,-0.02275181,-0.01870889,-0.03110733
2018-03-08,0.01260620,-0.02949399,-0.02080445,-0.01687315,-0.02834533
2018-03-09,-0.00672350,-0.02805885,-0.01978046,-0.01609157,-0.02698862
2018-03-12,0.01064695,-0.02717835,-0.01916903,-0.01564175,-0.02612634
2018-03-13,-0.00410344,-0.02592726,-0.01825682,-0.01466655,-0.02493421
2018-03-14,0.00586863,-0.02460627,-0.01734549,-0.01368622,-0.02363197
2018-03-19,-0.03139837,-0.02304653,-0.01628469,-0.01277600,-0.02211240
2018-03-20,0.00701188,-0.04611973,-0.03020546,-0.02434115,-0.04346564
2018-03-21,0.00741952,-0.04175586,-0.02819160,-0.02212410,-0.03951776
2018-03-22,-0.02344907,-0.03828290,-0.02634387,-0.02029915,-0.03638498
2018-03-23,-0.01104800,-0.04593156,-0.03164655,-0.02455774,-0.04345593
2018-03-26,0.00396286,-0.04416930,-0.03024359,-0.02370474,-0.04179839
2018-03-27,0.00575121,-0.04025378,-0.02672899,-0.02171126,-0.03801320
2018-03-28,-0.01397485,-0.03682201,-0.02444315,-0.01996580,-0.03487390
2018-03-29,0.01284663,-0.03800194,-0.02583942,-0.02063771,-0.03609444
2018-04-03,0.01620344,-0.03637924,-0.02356451,-0.01964393,-0.03427910
2018-04-04,-0.01576015,-0.03603098,-0.02244330,-0.01923924,-0.03356229
2018-04-05,0.02096215,-0.03889377,-0.02432500,-0.02043443,-0.03618010
2018-04-06,-0.00270377,-0.03964173,-0.02481622,-0.02048335,-0.03652770
2018-04-09,0.00902291,-0.03657183,-0.02291103,-0.01901561,-0.03380790
2018-04-10,-0.01112827,-0.03442669,-0.02143615,-0.01769659,-0.03187462
2018-04-11,0.00235057,-0.03507677,-0.02182183,-0.01811349,-0.03243709
2018-04-12,0.00940481,-0.03236288,-0.02014968,-0.01681691,-0.02999512
2018-04-13,0.00055502,-0.03082068,-0.01920775,-0.01600755,-0.02853499
2018-04-16,-0.00144479,-0.02829554,-0.01766411,-0.01464108,-0.02633464
2018-04-17,-0.00371692,-0.02643626,-0.01649252,-0.01367540,-0.02463488
2018-04-18,0.01592037,-0.02536716,-0.01581350,-0.01311483,-0.02363493
2018-04-19,-0.00267056,-0.02734311,-0.01725643,-0.01454969,-0.02532717
2018-04-20,-0.01407129,-0.02563390,-0.01638314,-0.01383751,-0.02398137
2018-04-23,0.00001521,-0.02924445,-0.01893948,-0.01612673,-0.02751133
2018-04-24,-0.00606582,-0.02708189,-0.01789022,-0.01524400,-0.02588217
2018-04-25,0.00413654,-0.02614801,-0.01753220,-0.01496421,-0.02529770
2018-04-26,0.00564449,-0.02445256,-0.01662318,-0.01417836,-0.02395432
2018-04-27,0.00079335,-0.02356926,-0.01590369,-0.01357467,-0.02300173
2018-05-02,-0.00854598,-0.02211402,-0.01506759,-0.01291912,-0.02179321
2018-05-03,-0.00816735,-0.02264730,-0.01571892,-0.01353169,-0.02249696
2018-05-04,0.00675655,-0.02325926,-0.01614320,-0.01387605,-0.02288049
2018-05-07,-0.00993890,-0.02239010,-0.01531177,-0.01244817,-0.02137494
2018-05-08,-0.01008711,-0.02357335,-0.01609790,-0.01324238,-0.02250507
2018-05-09,-0.01562793,-0.02471748,-0.01693324,-0.01408715,-0.02351461
2018-05-10,0.00414437,-0.02843427,-0.01953536,-0.01698880,-0.02718789
2018-05-11,0.02430338,-0.02664859,-0.01824674,-0.01579428,-0.02538039
2018-05-14,0.02515197,-0.02903378,-0.02015995,-0.01729778,-0.02792536
2018-05-15,-0.02462825,-0.03369156,-0.02299949,-0.01977751,-0.03275321
2018-05-16,-0.00236022,-0.04334337,-0.03056841,-0.02688728,-0.04243731
2018-05-17,-0.00098385,-0.03891652,-0.02725817,-0.02389249,-0.03797439
2018-05-18,-0.02064723,-0.03513731,-0.02475766,-0.02149440,-0.03446232
2018-05-22,-0.01011766,-0.04009453,-0.02833590,-0.02461846,-0.03933027
2018-05-23,-0.02628277,-0.03806046,-0.02678763,-0.02330873,-0.03744846
2018-05-24,0.01222455,-0.04619393,-0.03268045,-0.02870839,-0.04571221
2018-05-25,-0.00375601,-0.04276024,-0.03018947,-0.02660043,-0.04203548
2018-05-28,-0.01081020,-0.03887887,-0.02732512,-0.02423856,-0.03807379
2018-05-29,-0.01393895,-0.03761892,-0.02590922,-0.02313547,-0.03670007
2018-05-30,-0.00134278,-0.03789267,-0.02618934,-0.02329724,-0.03696931
2018-05-31,0.01480781,-0.03415728,-0.02351718,-0.02095559,-0.03326760
2018-06-01,0.01671204,-0.03341358,-0.02298233,-0.02051059,-0.03257909
2018-06-04,0.03395378,-0.03351152,-0.02311902,-0.02057102,-0.03272367
2018-06-05,-0.01399228,-0.04308282,-0.02924950,-0.02642179,-0.04212298
2018-06-06,0.01299943,-0.04230605,-0.02882641,-0.02592209,-0.04136874
2018-06-07,0.00653957,-0.04003664,-0.02747468,-0.02454582,-0.03913813
2018-06-08,-0.01788405,-0.03659161,-0.02548320,-0.02245665,-0.03583143
2018-06-11,-0.00359754,-0.03932728,-0.02698401,-0.02409351,-0.03843981
2018-06-12,-0.00708033,-0.03618762,-0.02497364,-0.02213563,-0.03535094
2018-06-13,-0.01328023,-0.03414291,-0.02359335,-0.02085913,-0.03336559
2018-06-14,0.02167613,-0.03484608,-0.02403797,-0.02126411,-0.03407754
2018-06-15,-0.01693754,-0.03675278,-0.02539458,-0.02237481,-0.03597493
2018-06-18,-0.01491409,-0.03865640,-0.02720646,-0.02354673,-0.03777242
2018-06-19,-0.01512874,-0.03935249,-0.02773098,-0.02274078,-0.03848402
2018-06-20,0.01168984,-0.04005294,-0.02808620,-0.02320595,-0.03921864
2018-06-21,-0.00948481,-0.03783567,-0.02642427,-0.02184848,-0.03698120
2018-06-22,0.00985356,-0.03636972,-0.02544256,-0.02103736,-0.03550960
2018-06-25,-0.00941998,-0.03437697,-0.02400151,-0.01992711,-0.03356624
2018-06-26,0.00815946,-0.03337111,-0.02324738,-0.01939907,-0.03259847
2018-06-27,0.00663751,-0.03129689,-0.02170266,-0.01825821,-0.03060008
2018-06-28,-0.00927677,-0.02910839,-0.02007504,-0.01702620,-0.02846101
2018-06-29,0.02434360,-0.02888453,-0.01984515,-0.01689726,-0.02824146
2018-07-02,-0.00722160,-0.03398523,-0.02379778,-0.01954564,-0.03307438
2018-07-03,0.00933933,-0.03260634,-0.02349233,-0.01879113,-0.03178586
2018-07-04,0.01087717,-0.03083204,-0.02156608,-0.01770156,-0.03009331
2018-07-05,-0.00727113,-0.03005721,-0.02100254,-0.01718426,-0.02929671
2018-07-06,-0.01551421,-0.02884388,-0.02010505,-0.01648935,-0.02819158
2018-07-09,-0.00276351,-0.03209946,-0.02269406,-0.01869223,-0.03107026
2018-07-10,-0.00770401,-0.03006580,-0.02121987,-0.01749507,-0.02912038
2018-07-11,-0.00965377,-0.02915008,-0.02050487,-0.01688073,-0.02828567
2018-07-12,0.01198615,-0.02900832,-0.02046571,-0.01686769,-0.02811955
2018-07-13,0.00438340,-0.02865772,-0.02021408,-0.01664202,-0.02779052
2018-07-16,-0.01056832,-0.02682215,-0.01883066,-0.01536933,-0.02606248
2018-07-17,-0.01473758,-0.02750364,-0.01941067,-0.01596060,-0.02667853
2018-07-18,-0.00088727,-0.02989295,-0.02113095,-0.01750986,-0.02894662
2018-07-19,0.01138416,-0.02801686,-0.01970182,-0.01646614,-0.02709372
2018-07-20,0.00195408,-0.02772424,-0.01957992,-0.01626059,-0.02682193
2018-07-23,-0.00129366,-0.02596539,-0.01834851,-0.01509975,-0.02517660
2018-07-24,-0.00260205,-0.02439048,-0.01709108,-0.01393557,-0.02368861
2018-07-25,-0.00247155,-0.02298240,-0.01600429,-0.01313286,-0.02234148
2018-07-26,0.01874932,-0.02162666,-0.01482874,-0.01225545,-0.02106689
2018-07-27,0.00890704,-0.02578236,-0.01828935,-0.01464112,-0.02489327
2018-07-30,-0.00034532,-0.02523278,-0.01791684,-0.01433549,-0.02434699
2018-07-31,-0.00527869,-0.02367024,-0.01679749,-0.01353053,-0.02288713
2018-08-01,0.01294421,-0.02289781,-0.01624993,-0.01313053,-0.02218326
2018-08-02,-0.00476890,-0.02385010,-0.01689290,-0.01365973,-0.02304617
2018-08-03,0.01990684,-0.02293270,-0.01622741,-0.01317148,-0.02221305
2018-08-06,0.01350470,-0.02737119,-0.01944467,-0.01562913,-0.02626429
2018-08-07,-0.00462827,-0.03316616,-0.02742595,-0.02032996,-0.03222452
2018-08-08,-0.00360850,-0.03293190,-0.02744996,-0.02035651,-0.03221955
2018-08-09,-0.00295857,-0.02640713,-0.01909647,-0.01540479,-0.02527868
2018-08-10,-0.01845477,-0.02424886,-0.01740292,-0.01389039,-0.02336165
2018-08-13,-0.01328704,-0.03276847,-0.02755059,-0.02044036,-0.03230095
2018-08-14,0.00871330,-0.03245910,-0.02754375,-0.02041672,-0.03223974
2018-08-15,-0.00501335,-0.03237578,-0.02753961,-0.02019275,-0.03213748
2018-08-16,0.01789419,-0.03264794,-0.02753973,-0.02005513,-0.03211990
2018-08-17,-0.00098834,-0.03272586,-0.02751317,-0.02002360,-0.03204241
2018-08-21,0.01554127,-0.03277044,-0.02741324,-0.01997622,-0.03187741
2018-08-22,-0.01749340,-0.03215192,-0.02755108,-0.01999113,-0.03190355
2018-08-23,-0.00495065,-0.03241381,-0.02760137,-0.02001658,-0.03201904
2018-08-24,0.00016082,-0.03238548,-0.02754129,-0.01987122,-0.03188142
2018-08-27,0.01354779,-0.03316580,-0.02799179,-0.02096583,-0.03290123
2018-08-28,0.00362263,-0.03305879,-0.02800039,-0.02080123,-0.03282486
2018-08-29,0.01123330,-0.03260173,-0.02781306,-0.02045351,-0.03247005
2018-08-30,-0.00026269,-0.03244043,-0.02782128,-0.02032400,-0.03234640
2018-08-31,0.00022348,-0.03189032,-0.02763097,-0.02005107,-0.03191089
2018-09-03,-0.00704913,-0.03060537,-0.02490713,-0.01837446,-0.02964235
2018-09-04,-0.00010143,-0.03017298,-0.02453045,-0.01829224,-0.02925180
2018-09-05,0.00451316,-0.02318426,-0.01729397,-0.01423940,-0.02257363
2018-09-06,0.00286352,-0.02193802,-0.01598682,-0.01325530,-0.02149430
2018-09-07,-0.00139295,-0.02045604,-0.01455115,-0.01203505,-0.02014252
2018-09-10,0.00034708,-0.01937462,-0.01366433,-0.01128104,-0.01913164
2018-09-11,-0.02258885,-0.01819777,-0.01268136,-0.01052826,-0.01799783
2018-09-12,-0.00739200,-0.02929218,-0.02367269,-0.01817535,-0.02844057
2018-09-13,0.00143841,-0.02907456,-0.02369218,-0.01820253,-0.02826518
2018-09-14,0.00312405,-0.02866340,-0.02353136,-0.01811229,-0.02799592
2018-09-17,-0.01246446,-0.02501137,-0.02012967,-0.01593827,-0.02505948
2018-09-18,0.00809088,-0.02836680,-0.02363131,-0.01823124,-0.02779798
2018-09-19,0.00760060,-0.02799383,-0.02344110,-0.01812799,-0.02745297
2018-09-20,-0.00695170,-0.02463661,-0.02003851,-0.01595202,-0.02465815
2018-09-21,-0.00975705,-0.02455595,-0.01924479,-0.01565353,-0.02414831
2018-09-24,0.00008551,-0.02483397,-0.01938146,-0.01579706,-0.02436281
2018-09-25,0.00229822,-0.02412313,-0.01852410,-0.01523691,-0.02344430
2018-09-26,0.00353887,-0.02346091,-0.01766036,-0.01460116,-0.02253309
2018-09-27,0.01311809,-0.02262907,-0.01686493,-0.01387728,-0.02168350
2018-09-28,0.01901290,-0.02343050,-0.01789607,-0.01469096,-0.02288318
2018-10-01,-0.00777589,-0.02538235,-0.01944050,-0.01605874,-0.02410071
2018-10-02,-0.00018275,-0.02507926,-0.01939043,-0.01599421,-0.02391034
2018-10-03,0.00907528,-0.02405882,-0.01866876,-0.01543054,-0.02301656
2018-10-04,-0.00178080,-0.02377255,-0.01854951,-0.01532813,-0.02282008
2018-10-05,-0.00543866,-0.02323518,-0.01778266,-0.01477122,-0.02220224
2018-10-08,-0.00480864,-0.02279614,-0.01757483,-0.01460168,-0.02188034
2018-10-09,0.00923755,-0.02231071,-0.01733642,-0.01439453,-0.02150965
2018-10-10,-0.00779440,-0.02233502,-0.01748299,-0.01450838,-0.02160408
2018-10-11,-0.02520784,-0.02244737,-0.01770196,-0.01469267,-0.02179935
2018-10-12,0.01227241,-0.02952754,-0.02325096,-0.01888720,-0.02868336
2018-10-15,0.00593210,-0.02932946,-0.02310464,-0.01878185,-0.02849009
2018-10-16,0.02382283,-0.02795166,-0.02230042,-0.01802611,-0.02724228
2018-10-17,-0.00124418,-0.03146442,-0.02441273,-0.01993873,-0.03044616
2018-10-18,0.00229421,-0.02941367,-0.02331439,-0.01888211,-0.02862198
2018-10-19,-0.00801066,-0.02797966,-0.02242857,-0.01813818,-0.02730835
2018-10-24,-0.01991384,-0.02744185,-0.02205238,-0.01786223,-0.02680519
2018-10-25,0.00451073,-0.02990334,-0.02419257,-0.01987216,-0.02924706
2018-10-26,-0.01874298,-0.02851033,-0.02334229,-0.01916646,-0.02795523
2018-10-29,0.00478878,-0.03046879,-0.02488107,-0.02042456,-0.02984810
2018-10-30,0.00922343,-0.02908500,-0.02389326,-0.01960411,-0.02852719
2018-10-31,0.01930741,-0.02829016,-0.02332358,-0.01911482,-0.02779396
2018-11-05,0.01706938,-0.02943066,-0.02415281,-0.01980281,-0.02885835
2018-11-06,-0.00341555,-0.03009404,-0.02448758,-0.02007289,-0.02942440
2018-11-07,0.01402533,-0.02864217,-0.02349183,-0.01926478,-0.02804244
2018-11-08,0.01340393,-0.02885911,-0.02348098,-0.01927462,-0.02816987
2018-11-09,-0.00328124,-0.02882842,-0.02358189,-0.01932756,-0.02828380
2018-11-12,-0.01246954,-0.02745189,-0.02248912,-0.01846189,-0.02700914
2018-11-13,0.00377653,-0.02786118,-0.02285528,-0.01876033,-0.02743697
2018-11-14,0.02230750,-0.02685897,-0.02203352,-0.01809257,-0.02645251
2018-11-15,-0.00114061,-0.02904277,-0.02389752,-0.01961819,-0.02859716
2018-11-16,0.00656691,-0.02776376,-0.02269823,-0.01864136,-0.02715884
2018-11-19,-0.00013681,-0.02651090,-0.02128802,-0.01766702,-0.02566954
2018-11-20,-0.00675444,-0.02545555,-0.02038642,-0.01699448,-0.02466564
2018-11-21,0.00950528,-0.02515859,-0.02007072,-0.01674421,-0.02436142
2018-11-22,0.00147110,-0.02478028,-0.01975260,-0.01657655,-0.02401097
2018-11-23,-0.00277929,-0.02405542,-0.01914058,-0.01603810,-0.02331004
2018-11-26,0.00553345,-0.02353111,-0.01862977,-0.01560704,-0.02277012
2018-11-27,0.00008611,-0.02309409,-0.01817413,-0.01523068,-0.02230186
2018-11-28,0.00137021,-0.02253705,-0.01758506,-0.01464216,-0.02167741
2018-11-29,0.00518123,-0.02207078,-0.01707232,-0.01406430,-0.02110176
2018-11-30,0.00617726,-0.02177525,-0.01680467,-0.01376245,-0.02078385
2018-12-03,0.01167015,-0.02153453,-0.01654600,-0.01340868,-0.02048421
2018-12-04,0.00897028,-0.02212454,-0.01706839,-0.01397527,-0.02111661
2018-12-05,-0.00673964,-0.02220407,-0.01707575,-0.01395049,-0.02115111
2018-12-06,-0.02296390,-0.02255346,-0.01736882,-0.01411264,-0.02148730
2018-12-07,-0.00916378,-0.03003161,-0.02387801,-0.01942675,-0.02933718
2018-12-10,-0.00371698,-0.02935956,-0.02363407,-0.01909807,-0.02871866
2018-12-11,0.01572221,-0.02801772,-0.02270744,-0.01828661,-0.02742634
2018-12-12,0.00067689,-0.02815289,-0.02268208,-0.01830959,-0.02751376
2018-12-13,0.00386569,-0.02716596,-0.02165849,-0.01754571,-0.02648513
2018-12-14,0.00209586,-0.02580977,-0.02154012,-0.01744273,-0.02546258
2018-12-17,-0.01127710,-0.02532462,-0.02077655,-0.01665714,-0.02478187
2018-12-18,-0.00505741,-0.02607763,-0.02124276,-0.01803396,-0.02575515
2018-12-19,0.01235083,-0.02583423,-0.02122973,-0.01792991,-0.02555234
2018-12-20,-0.00938959,-0.02541692,-0.02103124,-0.01772514,-0.02518912
2018-12-21,-0.00035493,-0.02560775,-0.02108200,-0.01714450,-0.02529840
2018-12-27,-0.01456051,-0.02497383,-0.02069398,-0.01682929,-0.02473669
2018-12-28,0.00338932,-0.02615144,-0.02207699,-0.01825570,-0.02618156
2019-01-02,0.01509062,-0.02548759,-0.02157679,-0.01769250,-0.02555289
2019-01-03,-0.00154798,-0.02539214,-0.02170681,-0.01791709,-0.02557254
2019-01-04,0.01184161,-0.02486004,-0.02135310,-0.01745944,-0.02505408
2019-01-07,0.01051343,-0.02467838,-0.02126651,-0.01735619,-0.02490271
2019-01-08,0.00590693,-0.02440459,-0.02120272,-0.01732850,-0.02471292
2019-01-09,-0.00062627,-0.02401360,-0.02090572,-0.01709945,-0.02436893
2019-01-10,0.00027531,-0.02368582,-0.02054923,-0.01677724,-0.02398179
2019-01-11,0.00221739,-0.02333493,-0.02028497,-0.01657373,-0.02365690
2019-01-14,-0.00535624,-0.02305464,-0.01999009,-0.01631755,-0.02334538
2019-01-15,-0.00165847,-0.02306581,-0.02000342,-0.01620431,-0.02331368
2019-01-16,0.00816309,-0.02283487,-0.01980971,-0.01605826,-0.02309158
2019-01-17,0.00601635,-0.02278551,-0.01972734,-0.01608272,-0.02304995
2019-01-18,0.00783372,-0.02264911,-0.01938188,-0.01593215,-0.02283340
2019-01-21,-0.01481138,-0.02172913,-0.01856867,-0.01553091,-0.02166110
2019-01-22,0.00171029,-0.02247979,-0.01971802,-0.01646431,-0.02263649
2019-01-23,-0.00354649,-0.02121608,-0.01886657,-0.01549770,-0.02129406
2019-01-24,0.00176846,-0.02106527,-0.01870369,-0.01535381,-0.02102305
2019-01-25,0.00131678,-0.02083368,-0.01817509,-0.01506338,-0.02062743
2019-01-28,0.00941921,-0.02061842,-0.01752284,-0.01482396,-0.02023810
2019-01-29,-0.00451780,-0.02042543,-0.01717191,-0.01471795,-0.01998326
2019-01-30,-0.00690244,-0.02033219,-0.01709693,-0.01467716,-0.01986208
2019-01-31,-0.00018135,-0.02042005,-0.01728566,-0.01464106,-0.01991510
2019-02-01,0.00287869,-0.02023971,-0.01701146,-0.01448723,-0.01967794
2019-02-04,-0.00284418,-0.02006505,-0.01679471,-0.01420763,-0.01939287
2019-02-05,-0.00940800,-0.01991980,-0.01679194,-0.01407564,-0.01927158
2019-02-06,0.00303115,-0.02014586,-0.01687405,-0.01433238,-0.01951434
2019-02-07,-0.01048728,-0.01992684,-0.01638974,-0.01412908,-0.01916796
2019-02-08,-0.01174600,-0.02028229,-0.01686544,-0.01440451,-0.01959162
2019-02-11,0.00162041,-0.02052341,-0.01702350,-0.01470063,-0.01986269
2019-02-12,0.01792014,-0.02016108,-0.01673100,-0.01446558,-0.01949548
2019-02-13,-0.00661413,-0.01999308,-0.01686822,-0.01446994,-0.01948103
2019-02-14,-0.00805123,-0.01967041,-0.01701237,-0.01433832,-0.01932890
2019-02-15,0.00702289,-0.02022891,-0.01683914,-0.01437262,-0.01985658
2019-02-18,0.01171685,-0.02041105,-0.01659451,-0.01460406,-0.01989968
2019-02-19,-0.00228902,-0.02155992,-0.01761953,-0.01466627,-0.02115443
2019-02-20,0.00055186,-0.02224551,-0.01764501,-0.01488408,-0.02180387
2019-02-21,0.00341065,-0.02022059,-0.01653029,-0.01365221,-0.01985029
2019-02-22,0.00228414,-0.01988158,-0.01634026,-0.01347182,-0.01936791
2019-02-25,0.00423826,-0.01956917,-0.01566222,-0.01329887,-0.01890058
2019-02-26,-0.00412850,-0.01929252,-0.01539219,-0.01311128,-0.01854602
2019-02-27,-0.00722364,-0.01920599,-0.01526577,-0.01298846,-0.01842771
2019-02-28,-0.00475598,-0.01927417,-0.01534104,-0.01309019,-0.01846029
2019-03-01,-0.00403311,-0.01917657,-0.01526612,-0.01303588,-0.01834063
2019-03-04,0.01047058,-0.01896487,-0.01518138,-0.01293514,-0.01812851
2019-03-05,0.00307507,-0.01865880,-0.01522286,-0.01289611,-0.01798013
2019-03-06,0.00900680,-0.01835098,-0.01505235,-0.01270523,-0.01773527
2019-03-07,-0.01129831,-0.01803531,-0.01510868,-0.01264435,-0.01758548
2019-03-08,-0.00832645,-0.01807987,-0.01563718,-0.01279748,-0.01784592
2019-03-11,0.01309655,-0.01790333,-0.01557155,-0.01279106,-0.01779396
