date,y_true,var_01,var_025,var_05,es_025
2018-01-01,-0.00238920,-0.00603848,-0.00421371,-0.00370087,-0.00738630
2018-01-02,0.00128929,-0.00602444,-0.00426768,-0.00372936,-0.00738905
2018-01-03,-0.00195615,-0.00589471,-0.00422581,-0.00368204,-0.00724962
2018-01-04,-0.00030219,-0.00581619,-0.00422977,-0.00366424,-0.00716411
2018-01-05,0.00140426,-0.00550752,-0.00404764,-0.00349514,-0.00681014
2018-01-08,-0.00019604,-0.00542301,-0.00403317,-0.00344791,-0.00672212
2018-01-09,0.00061529,-0.00508834,-0.00385006,-0.00325490,-0.00633653
2018-01-10,0.00010970,-0.00481706,-0.00369254,-0.00309605,-0.00601901
2018-01-11,0.00005484,-0.00453028,-0.00348802,-0.00289857,-0.00562498
2018-01-12,-0.00156028,-0.00424615,-0.00325667,-0.00268614,-0.00521251
2018-01-15,0.00014906,-0.00417898,-0.00318704,-0.00261214,-0.00509300
2018-01-16,0.00081173,-0.00387947,-0.00296808,-0.00243892,-0.00470289
2018-01-17,-0.00412417,-0.00378478,-0.00287277,-0.00235244,-0.00454950
2018-01-18,-0.00226574,-0.00514731,-0.00382634,-0.00314058,-0.00617918
2018-01-19,-0.00070240,-0.00532787,-0.00394259,-0.00318029,-0.00632791
2018-01-22,0.00256658,-0.00504675,-0.00371387,-0.00299274,-0.00592875
2018-01-23,0.00003545,-0.00589301,-0.00432950,-0.00342607,-0.00688744
2018-01-24,-0.00105186,-0.00553591,-0.00405197,-0.00321343,-0.00642453
2018-01-25,-0.00007090,-0.00529765,-0.00385362,-0.00306067,-0.00607697
2018-01-26,-0.00106486,-0.00495968,-0.00358877,-0.00285646,-0.00563284
2018-01-29,-0.00208169,-0.00474541,-0.00341598,-0.00271967,-0.00533464
2018-01-30,0.00001976,-0.00483252,-0.00347190,-0.00277489,-0.00542010
2018-01-31,0.00030442,-0.00449092,-0.00319681,-0.00257022,-0.00498585
2018-02-01,-0.00117868,-0.00422235,-0.00297897,-0.00240389,-0.00464855
2018-02-02,-0.00342123,-0.00407365,-0.00286468,-0.00232105,-0.00446719
2018-02-05,0.00125413,-0.00478614,-0.00358682,-0.00284493,-0.00547642
2018-02-06,-0.00025784,-0.00491079,-0.00366863,-0.00289920,-0.00558497
2018-02-07,-0.00019441,-0.00450958,-0.00346292,-0.00269816,-0.00517026
2018-02-08,0.00210872,-0.00423517,-0.00331462,-0.00256177,-0.00487451
2018-02-09,0.00382164,-0.00499095,-0.00394721,-0.00300267,-0.00575157
2018-02-12,0.00077282,-0.00725209,-0.00567984,-0.00425445,-0.00821508
