date,y_true,var_01,var_025,var_05,es_025
2018-01-02,0.01065964,-0.01067715,-0.00831891,-0.00615428,-0.01154004
2018-01-03,0.00055483,-0.01094478,-0.00846725,-0.00632923,-0.01171480
2018-01-04,0.00860408,-0.01074184,-0.00836161,-0.00625230,-0.01153366
2018-01-05,0.00177842,-0.01079321,-0.00844278,-0.00632897,-0.01156444
2018-01-08,-0.00486563,-0.01004577,-0.00844560,-0.00623703,-0.01118623
2018-01-09,-0.00111838,-0.01131459,-0.00949047,-0.00703905,-0.01255984
2018-01-10,0.01417010,-0.01117223,-0.00924879,-0.00689085,-0.01233925
2018-01-11,0.00692509,-0.01111701,-0.00885825,-0.00657766,-0.01210219
2018-01-12,0.01024924,-0.01095220,-0.00860796,-0.00642979,-0.01181805
2018-01-15,0.00602390,-0.01095365,-0.00857473,-0.00635295,-0.01179010
2018-01-16,0.00152479,-0.01092655,-0.00855898,-0.00639556,-0.01172716
2018-01-17,-0.00777406,-0.01060730,-0.00838775,-0.00608421,-0.01147945
2018-01-18,0.00188592,-0.01430086,-0.01131162,-0.00849498,-0.01533829
2018-01-19,0.00068874,-0.01281616,-0.01018775,-0.00763501,-0.01370964
2018-01-22,-0.00517008,-0.01201262,-0.00957645,-0.00715931,-0.01283732
2018-01-23,0.00177803,-0.01301086,-0.01035944,-0.00780746,-0.01391648
2018-01-24,-0.00337530,-0.01209837,-0.00963204,-0.00734336,-0.01303643
2018-01-25,0.00180911,-0.01184844,-0.00980087,-0.00738105,-0.01309142
2018-01-26,0.00204544,-0.01064727,-0.00951521,-0.00699498,-0.01236906
2018-01-29,-0.00023959,-0.01027102,-0.00921655,-0.00678172,-0.01197441
2018-01-30,0.00190107,-0.00944206,-0.00895121,-0.00658583,-0.01146824
2018-01-31,0.00271157,-0.00908606,-0.00845201,-0.00642874,-0.01104673
2018-02-01,-0.00127760,-0.00895694,-0.00761601,-0.00628178,-0.01074162
2018-02-02,0.01102328,-0.00912782,-0.00812893,-0.00609688,-0.01097155
2018-02-05,-0.00500060,-0.00972539,-0.00852572,-0.00617301,-0.01148275
2018-02-06,-0.03630145,-0.01048632,-0.00916486,-0.00667918,-0.01237354
2018-02-07,0.01553203,-0.03725225,-0.03011843,-0.02188804,-0.04997468
2018-02-08,-0.00384256,-0.03271579,-0.02651952,-0.01907754,-0.04390170
2018-02-09,-0.00695115,-0.02669864,-0.02107250,-0.01576642,-0.03560397
