date,y_true,var_01,var_025,var_05,es_025
2018-01-03,0.00082852,-0.01608978,-0.01413585,-0.01250156,-0.01631970
2018-01-04,0.02798987,-0.01581045,-0.01390284,-0.01229491,-0.01605597
2018-01-05,-0.00143006,-0.01780992,-0.01551025,-0.01391275,-0.01794240
2018-01-08,0.00750669,-0.01747265,-0.01517957,-0.01358743,-0.01758405
2018-01-09,-0.00796933,-0.01716090,-0.01490181,-0.01331066,-0.01724111
2018-01-10,-0.00679018,-0.01683156,-0.01462629,-0.01304340,-0.01686662
2018-01-11,0.00923145,-0.01643746,-0.01402132,-0.01281946,-0.01626150
2018-01-12,0.00186446,-0.01605278,-0.01383737,-0.01270239,-0.01606844
2018-01-15,0.00132233,-0.01573728,-0.01376237,-0.01259079,-0.01591229
2018-01-16,0.01887565,-0.01545288,-0.01376256,-0.01248336,-0.01579927
2018-01-17,0.00357125,-0.01555854,-0.01385044,-0.01251331,-0.01592232
2018-01-18,-0.00352494,-0.01532151,-0.01385002,-0.01240292,-0.01582765
2018-01-19,0.00408239,-0.01510172,-0.01379814,-0.01232160,-0.01574778
2018-01-22,0.00729512,-0.01488901,-0.01376658,-0.01221280,-0.01568544
2018-01-23,0.00361820,-0.01481708,-0.01381587,-0.01225905,-0.01570019
2018-01-24,-0.00334352,-0.01458083,-0.01377218,-0.01216278,-0.01561125
2018-01-25,-0.01239344,-0.01444215,-0.01376195,-0.01214290,-0.01556909
2018-01-26,0.00430847,-0.01567988,-0.01371114,-0.01255867,-0.01585375
2018-01-29,-0.00272629,-0.01532030,-0.01370477,-0.01242932,-0.01570851
2018-01-30,-0.01056693,-0.01500551,-0.01359704,-0.01222667,-0.01559219
2018-01-31,-0.00481646,-0.01545254,-0.01372112,-0.01235103,-0.01577279
2018-02-01,-0.00770441,-0.01513803,-0.01367007,-0.01232075,-0.01566006
2018-02-02,-0.01069940,-0.01509656,-0.01367118,-0.01230853,-0.01565398
2018-02-05,-0.00050267,-0.01511505,-0.01378181,-0.01237622,-0.01572894
2018-02-06,-0.03821116,-0.01485140,-0.01373296,-0.01229051,-0.01564800
2018-02-07,0.01221351,-0.01714211,-0.01415414,-0.01270063,-0.01943895
2018-02-08,-0.01451713,-0.01699328,-0.01417495,-0.01274423,-0.01941265
2018-02-09,-0.00989303,-0.01974168,-0.01665578,-0.01489251,-0.02249982
2018-02-12,0.01318288,-0.02059369,-0.01696348,-0.01533669,-0.02304835
2018-02-13,0.00712331,-0.02096657,-0.01743409,-0.01570787,-0.02353802
2018-02-14,0.00742404,-0.02033849,-0.01695312,-0.01525761,-0.02292492
2018-02-15,-0.01076065,-0.01957076,-0.01651266,-0.01478604,-0.02229970
2018-02-16,-0.00687712,-0.01976215,-0.01691773,-0.01511255,-0.02271317
2018-02-19,0.00063545,-0.01953688,-0.01667894,-0.01490305,-0.02243848
2018-02-20,0.00196610,-0.01878333,-0.01594990,-0.01431066,-0.02154686
2018-02-21,-0.00322079,-0.01826220,-0.01557240,-0.01388952,-0.02088364
2018-02-22,0.00216770,-0.01819593,-0.01524999,-0.01377370,-0.02067315
2018-02-23,-0.00190168,-0.01743857,-0.01482056,-0.01325880,-0.02005848
2018-02-26,0.00104679,-0.01703152,-0.01445670,-0.01293891,-0.01955303
2018-02-27,0.00533319,-0.01680753,-0.01420328,-0.01278022,-0.01929687
2018-02-28,-0.02390086,-0.01676464,-0.01412785,-0.01264669,-0.01926711
2018-03-01,-0.01249569,-0.02092038,-0.01562984,-0.01392955,-0.02224228
2018-03-02,-0.00891774,-0.02171594,-0.01642336,-0.01531286,-0.02322886
2018-03-05,0.00683417,-0.02169999,-0.01631651,-0.01510278,-0.02315057
2018-03-06,0.00403032,-0.02122952,-0.01598470,-0.01470255,-0.02267520
2018-03-07,0.00853789,-0.02067765,-0.01556738,-0.01426495,-0.02210005
2018-03-08,-0.01601176,-0.02049427,-0.01540528,-0.01403434,-0.02189348
2018-03-09,0.01387774,-0.02158253,-0.01621497,-0.01469188,-0.02295304
2018-03-12,0.01021715,-0.02171643,-0.01623700,-0.01483756,-0.02306896
2018-03-13,-0.01086292,-0.02160361,-0.01616772,-0.01461774,-0.02293395
2018-03-14,-0.00727239,-0.02192439,-0.01644625,-0.01517215,-0.02331286
2018-03-15,-0.00605433,-0.02174143,-0.01629086,-0.01479955,-0.02309931
2018-03-16,-0.01597186,-0.02146952,-0.01607103,-0.01450498,-0.02280583
2018-03-19,-0.01612437,-0.02247797,-0.01693940,-0.01604931,-0.02397259
2018-03-20,0.01042344,-0.02340709,-0.01772635,-0.01657286,-0.02489310
2018-03-21,0.02119891,-0.02312152,-0.01749834,-0.01638280,-0.02456574
2018-03-22,-0.02031466,-0.02374688,-0.01816659,-0.01656443,-0.02521653
2018-03-23,-0.00745040,-0.02556400,-0.02030888,-0.01849652,-0.02732198
2018-03-26,-0.00736797,-0.02524448,-0.01987642,-0.01792267,-0.02698512
2018-03-27,0.00252732,-0.02487328,-0.01938822,-0.01743149,-0.02659639
2018-03-28,-0.01915556,-0.02430026,-0.01919963,-0.01747160,-0.02613863
2018-03-29,0.00302668,-0.02588320,-0.02047316,-0.01873347,-0.02766284
2018-04-03,0.01293188,-0.02518123,-0.01974788,-0.01808870,-0.02694544
2018-04-04,-0.01718907,-0.02493954,-0.01938068,-0.01771024,-0.02662919
2018-04-05,0.01916555,-0.02611692,-0.02062959,-0.01886901,-0.02786436
2018-04-06,0.00676089,-0.02642632,-0.02120467,-0.01933850,-0.02831260
2018-04-09,0.00148641,-0.02593873,-0.02095533,-0.01899376,-0.02781870
2018-04-10,0.00557642,-0.02531224,-0.02042413,-0.01853588,-0.02716614
2018-04-11,-0.00126684,-0.02475222,-0.01966365,-0.01796099,-0.02653001
2018-04-12,0.01507552,-0.02408243,-0.01895227,-0.01735563,-0.02582157
2018-04-13,0.00168083,-0.02396981,-0.01859388,-0.01696910,-0.02557857
2018-04-16,-0.00438997,-0.02341650,-0.01835701,-0.01665799,-0.02509658
2018-04-17,0.00336361,-0.02284926,-0.01777119,-0.01622504,-0.02455836
2018-04-18,0.00326596,-0.02225972,-0.01724784,-0.01585564,-0.02399763
2018-04-19,0.00397826,-0.02157601,-0.01661699,-0.01542896,-0.02334052
2018-04-20,-0.01147770,-0.02112466,-0.01642520,-0.01523521,-0.02292412
2018-04-23,-0.00288031,-0.02138528,-0.01647312,-0.01535839,-0.02317661
2018-04-24,-0.00988025,-0.02091977,-0.01610048,-0.01514992,-0.02273089
2018-04-25,-0.00532915,-0.02106462,-0.01623646,-0.01524012,-0.02288661
2018-04-26,0.01151957,-0.02045365,-0.01676161,-0.01525534,-0.02248187
2018-04-27,-0.00295643,-0.02024645,-0.01674696,-0.01514921,-0.02226285
2018-04-30,0.00676844,-0.02001848,-0.01625078,-0.01482825,-0.02197270
2018-05-02,0.00002182,-0.01985055,-0.01580909,-0.01460462,-0.02173838
2018-05-04,-0.02588719,-0.01947882,-0.01528621,-0.01432200,-0.02131625
2018-05-07,-0.00853928,-0.02453183,-0.01836586,-0.01669423,-0.02634708
2018-05-08,0.00990401,-0.02442342,-0.01831219,-0.01658186,-0.02624530
2018-05-09,0.01979912,-0.02405171,-0.01804890,-0.01615523,-0.02584854
2018-05-10,0.00942014,-0.02399760,-0.01787969,-0.01618649,-0.02578452
2018-05-11,0.01150686,-0.02384650,-0.01773386,-0.01617862,-0.02558812
2018-05-14,-0.00355665,-0.02352568,-0.01749339,-0.01588633,-0.02524510
2018-05-15,-0.01941969,-0.02303250,-0.01717515,-0.01544623,-0.02474453
2018-05-16,-0.00023724,-0.02451111,-0.01957820,-0.01630021,-0.02666066
2018-05-17,-0.00888416,-0.02429888,-0.01937132,-0.01636888,-0.02635151
2018-05-18,-0.01135074,-0.02476726,-0.01961343,-0.01674267,-0.02666355
2018-05-21,0.01692526,-0.02474963,-0.01963930,-0.01663157,-0.02674146
2018-05-22,-0.00871361,-0.02500723,-0.01962868,-0.01694719,-0.02686573
2018-05-23,-0.01767194,-0.02471690,-0.01947396,-0.01666191,-0.02666819
2018-05-24,0.00178177,-0.02661006,-0.02022053,-0.01780678,-0.02825186
2018-05-25,-0.00000904,-0.02591616,-0.02003079,-0.01748146,-0.02768632
2018-05-28,0.00208977,-0.02591041,-0.01984805,-0.01745385,-0.02752491
2018-05-29,-0.01175572,-0.02647254,-0.02027048,-0.01781956,-0.02780521
2018-05-30,-0.01604074,-0.02598252,-0.01989324,-0.01748083,-0.02753202
2018-06-01,0.01526944,-0.02699863,-0.02105509,-0.01826937,-0.02841521
2018-06-04,0.00901751,-0.02710697,-0.02082203,-0.01811991,-0.02850203
2018-06-05,0.02053341,-0.02670945,-0.02012595,-0.01770106,-0.02813193
2018-06-06,0.00031911,-0.02705648,-0.02049882,-0.01788138,-0.02843720
2018-06-07,0.00621990,-0.02683595,-0.02093835,-0.01811775,-0.02826034
2018-06-08,-0.00915329,-0.02658677,-0.02112311,-0.01809232,-0.02802813
2018-06-11,-0.00693044,-0.02669331,-0.02067405,-0.01795447,-0.02808162
2018-06-12,0.00796543,-0.02644880,-0.02117932,-0.01804893,-0.02790473
2018-06-13,-0.00598934,-0.02641064,-0.02077109,-0.01791272,-0.02780637
2018-06-14,-0.00024568,-0.02623781,-0.02008469,-0.01833828,-0.02739984
2018-06-15,-0.01593225,-0.02619175,-0.01997731,-0.01783752,-0.02737090
2018-06-18,-0.02390105,-0.02657016,-0.02004904,-0.01784248,-0.02777181
2018-06-19,-0.01415375,-0.02758750,-0.02181572,-0.01877667,-0.02943918
2018-06-20,0.01564034,-0.02754051,-0.02195732,-0.01898602,-0.02935706
2018-06-21,-0.00151913,-0.02737608,-0.02197116,-0.01956721,-0.02909187
2018-06-22,0.00554966,-0.02722544,-0.02191668,-0.01934593,-0.02893698
2018-06-25,-0.00323240,-0.02717616,-0.02185791,-0.01907987,-0.02890529
2018-06-26,-0.00116028,-0.02715407,-0.02177446,-0.01844282,-0.02892126
2018-06-27,-0.00472462,-0.02659855,-0.02183867,-0.01881551,-0.02829178
2018-06-28,-0.02098144,-0.02657269,-0.02178242,-0.01864668,-0.02830064
2018-06-29,0.01734483,-0.02719961,-0.02216241,-0.01921199,-0.02894902
2018-07-02,-0.00759620,-0.02741708,-0.02212650,-0.01910742,-0.02920370
2018-07-03,0.01912876,-0.02726911,-0.02216890,-0.01948097,-0.02897074
2018-07-04,0.01025626,-0.02724342,-0.02217139,-0.01952710,-0.02890575
2018-07-05,-0.01194732,-0.02711660,-0.02222949,-0.01899888,-0.02867982
2018-07-06,-0.00210275,-0.02720839,-0.02226932,-0.01903425,-0.02879463
2018-07-09,-0.00016730,-0.02717561,-0.02222567,-0.01896945,-0.02879559
2018-07-10,0.01199727,-0.02713601,-0.02216441,-0.01889278,-0.02879356
2018-07-11,-0.01079894,-0.02716826,-0.02209183,-0.01886130,-0.02885810
2018-07-12,0.00320706,-0.02727777,-0.02206541,-0.01888339,-0.02901882
2018-07-13,-0.00188035,-0.02668626,-0.02234305,-0.01886384,-0.02825272
2018-07-16,-0.01079449,-0.02653945,-0.02231210,-0.01876214,-0.02814549
2018-07-17,0.00897097,-0.02639059,-0.02225017,-0.01869537,-0.02804628
2018-07-18,-0.00190130,-0.02654097,-0.02235307,-0.01878597,-0.02816913
2018-07-19,-0.00107078,-0.02636926,-0.02230007,-0.01869979,-0.02803387
2018-07-20,0.01667575,-0.02629221,-0.02229147,-0.01863416,-0.02798218
2018-07-23,0.00985090,-0.02631895,-0.02230860,-0.01865464,-0.02800941
2018-07-24,0.01786597,-0.02636173,-0.02230436,-0.01866463,-0.02805663
2018-07-25,0.00729420,-0.02650586,-0.02225558,-0.01867035,-0.02820489
2018-07-26,0.01926300,-0.02646856,-0.02213307,-0.01854131,-0.02819785
2018-07-27,-0.00604949,-0.02651859,-0.02216768,-0.01857184,-0.02823794
2018-07-30,0.01602272,-0.02645876,-0.02201833,-0.01842587,-0.02820427
2018-07-31,-0.01107595,-0.02637063,-0.02186698,-0.01830018,-0.02813611
2018-08-01,0.00578223,-0.02633472,-0.02176871,-0.01817947,-0.02813205
2018-08-02,-0.01371499,-0.02619058,-0.02156398,-0.01799820,-0.02801397
2018-08-03,0.00130391,-0.02634581,-0.02166822,-0.01808276,-0.02817653
2018-08-06,0.00388414,-0.02572160,-0.02098653,-0.01752223,-0.02763373
2018-08-07,0.00360441,-0.02487923,-0.02021926,-0.01692119,-0.02687654
2018-08-08,0.00130551,-0.02392265,-0.01949007,-0.01628055,-0.02604440
2018-08-09,0.00760391,-0.02408912,-0.01964348,-0.01646184,-0.02612842
2018-08-10,-0.03394116,-0.02363059,-0.01932022,-0.01614059,-0.02571737
2018-08-13,0.00609137,-0.02832616,-0.02426136,-0.01884383,-0.03116661
2018-08-14,0.00522763,-0.02823466,-0.02409892,-0.01873762,-0.03112856
2018-08-16,-0.00468817,-0.02808311,-0.02384785,-0.01856340,-0.03105677
2018-08-17,-0.01980493,-0.02762478,-0.02331026,-0.01820536,-0.03073562
2018-08-20,0.00823567,-0.02859792,-0.02431844,-0.01908122,-0.03173865
2018-08-21,0.01989838,-0.02827851,-0.02391806,-0.01877257,-0.03153049
2018-08-22,0.00638460,-0.02832946,-0.02401416,-0.01885375,-0.03165714
2018-08-23,0.01179187,-0.02788739,-0.02350323,-0.01847064,-0.03130946
2018-08-24,-0.00438351,-0.02743545,-0.02303710,-0.01811176,-0.03094041
2018-08-27,0.02446162,-0.02809018,-0.02378789,-0.01874587,-0.03048634
2018-08-28,0.00859179,-0.02805427,-0.02379106,-0.01865772,-0.03052908
2018-08-29,-0.00408292,-0.02871470,-0.02503798,-0.02072722,-0.03126103
2018-08-30,-0.01130414,-0.02806058,-0.02464569,-0.02048221,-0.03071092
2018-08-31,-0.00680327,-0.02767802,-0.02442633,-0.02038073,-0.03037292
2018-09-03,0.00754643,-0.02762731,-0.02440856,-0.02037413,-0.03029183
2018-09-04,-0.01472366,-0.02752374,-0.02435921,-0.02034729,-0.03015854
2018-09-05,-0.01114648,-0.02758363,-0.02440115,-0.02034945,-0.03020611
2018-09-06,-0.00108968,-0.02762498,-0.02443555,-0.02020706,-0.03021693
2018-09-07,-0.01569596,-0.02753065,-0.02439563,-0.01997704,-0.03006815
2018-09-10,0.00597599,-0.02754145,-0.02440108,-0.02013827,-0.03011335
2018-09-11,-0.00994879,-0.02747771,-0.02437664,-0.01995825,-0.03000468
2018-09-12,-0.01713170,-0.02704581,-0.02411873,-0.02014322,-0.02963567
2018-09-13,0.01048704,-0.02716434,-0.02419136,-0.02016285,-0.02975021
2018-09-14,-0.00062255,-0.02717757,-0.02420037,-0.02009016,-0.02973339
2018-09-17,-0.00948903,-0.02709283,-0.02395427,-0.01980919,-0.02959141
2018-09-18,0.00902747,-0.02708276,-0.02384479,-0.01957722,-0.02954682
2018-09-19,0.01249866,-0.02709339,-0.02372275,-0.01927991,-0.02951083
2018-09-20,-0.00020807,-0.02723042,-0.02374045,-0.01906797,-0.02960736
2018-09-21,-0.00051372,-0.02713293,-0.02343270,-0.01881038,-0.02943341
2018-09-24,0.01019385,-0.02675540,-0.02325741,-0.01876599,-0.02912289
2018-09-25,0.00419622,-0.02679349,-0.02323165,-0.01872943,-0.02913960
2018-09-26,0.00620725,-0.02650236,-0.02307794,-0.01872334,-0.02889093
2018-09-27,0.00459789,-0.02643537,-0.02287822,-0.01856508,-0.02877544
2018-09-28,-0.01302576,-0.02635002,-0.02264961,-0.01838833,-0.02863744
2018-10-01,-0.00048149,-0.02641816,-0.02258484,-0.01829553,-0.02866069
2018-10-02,-0.00173968,-0.02620798,-0.02249924,-0.01831665,-0.02849085
2018-10-03,0.00793322,-0.02610837,-0.02232517,-0.01819976,-0.02836300
2018-10-04,-0.00986048,-0.02603072,-0.02205291,-0.01800814,-0.02821428
2018-10-05,-0.00504423,-0.02594127,-0.02207230,-0.01804005,-0.02815687
2018-10-08,-0.01785567,-0.02590235,-0.02203236,-0.01801973,-0.02811534
2018-10-09,0.01215088,-0.02601931,-0.02214474,-0.01807239,-0.02824059
2018-10-10,-0.02426917,-0.02600434,-0.02217332,-0.01810882,-0.02824020
2018-10-11,-0.01719487,-0.02633737,-0.02379894,-0.01927923,-0.02881424
2018-10-12,0.01230431,-0.02614238,-0.02407179,-0.01968023,-0.02872860
2018-10-15,-0.00760676,-0.02617889,-0.02406413,-0.01963166,-0.02875106
2018-10-16,0.02131451,-0.02615638,-0.02388300,-0.01947448,-0.02870372
2018-10-17,-0.00782101,-0.02669737,-0.02412968,-0.01958069,-0.02917557
2018-10-18,-0.00521011,-0.02660946,-0.02408198,-0.01947388,-0.02908118
2018-10-19,0.00405465,-0.02652894,-0.02389498,-0.01926958,-0.02897115
2018-10-22,-0.00178129,-0.02613382,-0.02391311,-0.01911588,-0.02869356
2018-10-23,-0.02085823,-0.02565276,-0.02090502,-0.01836179,-0.02755415
2018-10-24,-0.00158893,-0.02701801,-0.02213803,-0.01973233,-0.02913382
2018-10-25,-0.00079774,-0.02652437,-0.02175569,-0.01940022,-0.02859716
2018-10-26,-0.02836331,-0.02599040,-0.02141414,-0.01912216,-0.02803745
2018-10-29,0.01000847,-0.03084142,-0.02602834,-0.02127554,-0.03235879
2018-10-30,0.00899579,-0.02783426,-0.02434474,-0.02045913,-0.02973018
2018-10-31,0.01363888,-0.02772320,-0.02440924,-0.02028365,-0.02958602
2018-11-02,0.02106038,-0.02839317,-0.02416622,-0.02013656,-0.02988328
2018-11-05,0.01627505,-0.02816068,-0.02497900,-0.02086093,-0.03036088
2018-11-06,-0.00152327,-0.02852773,-0.02515136,-0.02114585,-0.03088448
2018-11-07,0.02055102,-0.02753924,-0.02333363,-0.01932425,-0.02896582
2018-11-08,-0.00608440,-0.02891361,-0.02552070,-0.02144772,-0.03146523
2018-11-09,-0.01361062,-0.02878687,-0.02526248,-0.02134919,-0.03121299
2018-11-13,-0.00641768,-0.02844348,-0.02528328,-0.02107173,-0.03081570
2018-11-14,0.00626088,-0.02849214,-0.02527628,-0.02111174,-0.03084642
2018-11-15,-0.01307403,-0.02853158,-0.02482269,-0.02114923,-0.03073475
2018-11-16,-0.01714640,-0.02764495,-0.02342657,-0.01948036,-0.02907877
2018-11-19,0.01114544,-0.02827004,-0.02506585,-0.02064152,-0.03060271
2018-11-20,-0.01340617,-0.02842829,-0.02516772,-0.02077798,-0.03070762
2018-11-21,0.02696393,-0.02824031,-0.02502047,-0.02060102,-0.03061441
2018-11-22,0.00750906,-0.02911038,-0.02584741,-0.02098326,-0.03198309
2018-11-23,-0.00491289,-0.02889693,-0.02570628,-0.02093640,-0.03177121
