date,y_true,var_01,var_025,var_05,es_025
2018-01-01,-0.00238920,-0.00659037,-0.00484102,-0.00357180,-0.00819376
2018-01-02,0.00128929,-0.00658012,-0.00483078,-0.00356156,-0.00818352
2018-01-03,-0.00195615,-0.00603898,-0.00457792,-0.00342401,-0.00590946
2018-01-04,-0.00030219,-0.00605978,-0.00459872,-0.00344480,-0.00593025
2018-01-05,0.00140426,-0.00604923,-0.00458817,-0.00343425,-0.00591970
2018-01-08,-0.00019604,-0.00602952,-0.00456846,-0.00341455,-0.00590000
2018-01-09,0.00061529,-0.00604151,-0.00458045,-0.00342653,-0.00591198
2018-01-10,0.00010970,-0.00603775,-0.00457669,-0.00342278,-0.00590823
2018-01-11,0.00005484,-0.00604281,-0.00458174,-0.00342783,-0.00591328
2018-01-12,-0.00156028,-0.00604524,-0.00458417,-0.00343026,-0.00591571
2018-01-15,0.00014906,-0.00606262,-0.00460156,-0.00344765,-0.00593310
2018-01-16,0.00081173,-0.00604947,-0.00458841,-0.00343449,-0.00591994
2018-01-17,-0.00412417,-0.00603846,-0.00457740,-0.00342349,-0.00590894
2018-01-18,-0.00226574,-0.00608596,-0.00462490,-0.00356542,-0.00595643
2018-01-19,-0.00070240,-0.00607942,-0.00461836,-0.00355888,-0.00594989
2018-01-22,0.00256658,-0.00605989,-0.00459883,-0.00353935,-0.00593036
2018-01-23,0.00003545,-0.00601979,-0.00455873,-0.00349925,-0.00589027
2018-01-24,-0.00105186,-0.00603552,-0.00457446,-0.00351498,-0.00590599
2018-01-25,-0.00007090,-0.00511330,-0.00433520,-0.00343784,-0.00554342
2018-01-26,-0.00106486,-0.00510899,-0.00433088,-0.00343353,-0.00553910
2018-01-29,-0.00208169,-0.00511799,-0.00433988,-0.00344253,-0.00554810
2018-01-30,0.00001976,-0.00474637,-0.00416542,-0.00335835,-0.00490112
2018-01-31,0.00030442,-0.00473712,-0.00415617,-0.00334909,-0.00489186
2018-02-01,-0.00117868,-0.00473535,-0.00415440,-0.00329498,-0.00489010
2018-02-02,-0.00342123,-0.00474175,-0.00416080,-0.00330138,-0.00489650
2018-02-05,0.00125413,-0.00475023,-0.00416928,-0.00336220,-0.00490497
2018-02-06,-0.00025784,-0.00473130,-0.00415034,-0.00334327,-0.00488604
2018-02-07,-0.00019441,-0.00473627,-0.00415532,-0.00334824,-0.00489101
2018-02-08,0.00210872,-0.00473781,-0.00415686,-0.00334979,-0.00489256
2018-02-09,0.00382164,-0.00473060,-0.00414965,-0.00334258,-0.00488535
2018-02-12,0.00077282,-0.00472661,-0.00414566,-0.00328624,-0.00488136
2018-02-13,-0.00061905,-0.00474185,-0.00416090,-0.00330148,-0.00489659
2018-02-14,0.00071362,-0.00474953,-0.00416857,-0.00330915,-0.00490427
2018-02-15,-0.00083195,-0.00474365,-0.00416270,-0.00330328,-0.00489839
2018-02-16,-0.00110894,-0.00474754,-0.00416658,-0.00330716,-0.00490228
2018-02-19,0.00034346,-0.00474691,-0.00416596,-0.00330654,-0.00490166
2018-02-20,-0.00200329,-0.00473945,-0.00415850,-0.00329908,-0.00489419
2018-02-21,0.00105155,-0.00474685,-0.00416590,-0.00330648,-0.00490159
2018-02-22,0.00103072,-0.00473474,-0.00415379,-0.00329437,-0.00488949
2018-02-23,0.00032751,-0.00473459,-0.00415364,-0.00329422,-0.00488934
2018-02-26,-0.00000391,-0.00473892,-0.00415796,-0.00329854,-0.00489366
2018-02-27,0.00016180,-0.00454002,-0.00369903,-0.00314800,-0.00472255
