date,y_true,var_01,var_025,var_05,es_025
2018-01-01,0.00214220,-0.00498185,-0.00438958,-0.00366431,-0.00486922
2018-01-02,-0.00030946,-0.00503326,-0.00444099,-0.00371572,-0.00492063
2018-01-03,-0.00410903,-0.00501562,-0.00442336,-0.00369808,-0.00490299
2018-01-04,-0.00242744,-0.00495373,-0.00436147,-0.00379533,-0.00484110
2018-01-05,-0.00023046,-0.00495599,-0.00436372,-0.00379758,-0.00484336
2018-01-08,-0.00010064,-0.00498969,-0.00439743,-0.00383129,-0.00487706
2018-01-09,0.00175457,-0.00500410,-0.00441184,-0.00384570,-0.00489147
2018-01-10,0.00233028,-0.00503486,-0.00444259,-0.00387645,-0.00492223
2018-01-11,-0.00120007,-0.00505245,-0.00446019,-0.00389405,-0.00493982
2018-01-12,-0.00178821,-0.00500640,-0.00441414,-0.00384800,-0.00489377
2018-01-15,0.00004215,-0.00498055,-0.00438828,-0.00382214,-0.00486792
2018-01-16,0.00064828,-0.00499813,-0.00440586,-0.00383972,-0.00488550
2018-01-17,-0.00111532,-0.00501386,-0.00442160,-0.00385546,-0.00490123
2018-01-18,-0.00027573,-0.00499437,-0.00440211,-0.00367683,-0.00488174
2018-01-19,0.00007466,-0.00499933,-0.00440707,-0.00368179,-0.00488670
2018-01-22,0.00151720,-0.00500638,-0.00441411,-0.00368884,-0.00489375
2018-01-23,0.00179313,-0.00502933,-0.00443707,-0.00371179,-0.00491670
2018-01-24,-0.00101272,-0.00504075,-0.00444848,-0.00372321,-0.00492812
2018-01-25,0.00010036,-0.00500372,-0.00441146,-0.00368618,-0.00489109
2018-01-26,-0.00075117,-0.00500588,-0.00441362,-0.00356577,-0.00489325
2018-01-29,0.00038534,-0.00499508,-0.00440281,-0.00355496,-0.00488245
2018-01-30,0.00239636,-0.00497948,-0.00444397,-0.00355684,-0.00490002
2018-01-31,0.00303169,-0.00499117,-0.00445566,-0.00356853,-0.00491171
2018-02-01,-0.00223740,-0.00499744,-0.00446193,-0.00357481,-0.00491798
2018-02-02,-0.00349830,-0.00497225,-0.00443674,-0.00354962,-0.00489279
