date,y_true,var_01,var_025,var_05,es_025
2018-01-02,0.00507909,-0.01318576,-0.00913437,-0.00826170,-0.01201106
2018-01-03,0.00285662,-0.01324242,-0.00919104,-0.00831836,-0.01206772
2018-01-04,0.01677138,-0.01323660,-0.00918521,-0.00831254,-0.01206189
2018-01-05,0.00017191,-0.01334700,-0.00929561,-0.00842294,-0.01217230
2018-01-08,0.00325168,-0.01322716,-0.00917578,-0.00830311,-0.01205246
2018-01-09,-0.00401193,-0.01321727,-0.00916588,-0.00829321,-0.01204257
2018-01-10,-0.00249296,-0.01315771,-0.00910632,-0.00823365,-0.01198301
2018-01-11,0.00538607,-0.01316199,-0.00911061,-0.00823794,-0.01198729
2018-01-12,0.00101963,-0.01323658,-0.00918519,-0.00831252,-0.01206188
2018-01-15,0.00025249,-0.01321971,-0.00916833,-0.00829566,-0.01204501
2018-01-16,0.00524279,-0.01320668,-0.00915530,-0.00828262,-0.01203198
2018-01-17,0.00063661,-0.01324509,-0.00919371,-0.00832104,-0.01207039
2018-01-18,0.00306084,-0.01321467,-0.00916328,-0.00829061,-0.01203997
2018-01-19,0.00407550,-0.01322575,-0.00899921,-0.00788626,-0.01198047
2018-01-22,0.00813683,-0.01323692,-0.00901038,-0.00789743,-0.01199163
2018-01-23,0.00375354,-0.01327205,-0.00904551,-0.00767883,-0.01202677
2018-01-24,0.00132711,-0.01324048,-0.00901395,-0.00764727,-0.01199520
2018-01-25,-0.00423355,-0.01320958,-0.00898304,-0.00761636,-0.01196430
2018-01-26,-0.00158890,-0.01315724,-0.00893070,-0.00756402,-0.01191196
2018-01-29,-0.00064511,-0.01317240,-0.00894586,-0.00757918,-0.01192712
2018-01-30,-0.00340031,-0.01319055,-0.00896401,-0.00759733,-0.01194527
2018-01-31,0.00311739,-0.01307475,-0.00893408,-0.00756902,-0.01189898
2018-02-01,0.00801442,-0.01312388,-0.00898320,-0.00761814,-0.01194810
2018-02-02,-0.00961618,-0.01320041,-0.00905973,-0.00769468,-0.01202463
2018-02-05,-0.00604070,-0.01306359,-0.00912127,-0.00782555,-0.01198659
2018-02-06,-0.02134351,-0.01302606,-0.00908374,-0.00778802,-0.01194906
2018-02-07,0.01630545,-0.01355380,-0.00929872,-0.00799302,-0.01415107
2018-02-08,0.00059087,-0.01383666,-0.00958158,-0.00827588,-0.01443393
2018-02-09,-0.01012881,-0.01382980,-0.00957472,-0.00826902,-0.01442707
2018-02-12,0.00399721,-0.01371824,-0.00968286,-0.00857587,-0.01440776
2018-02-13,0.00115198,-0.01380374,-0.00976835,-0.00866137,-0.01449325
2018-02-14,-0.00192671,-0.01382171,-0.00978632,-0.00867934,-0.01451122
2018-02-15,0.00201666,-0.01380044,-0.00976505,-0.00865806,-0.01448995
2018-02-16,0.00042262,-0.01382989,-0.00979451,-0.00868752,-0.01451940
2018-02-19,-0.00191672,-0.01383019,-0.00979481,-0.00868782,-0.01451971
2018-02-20,-0.00367271,-0.01380678,-0.00977140,-0.00824600,-0.01449630
2018-02-21,0.00457303,-0.01377616,-0.00974077,-0.00821537,-0.01446567
2018-02-22,-0.00262220,-0.01384290,-0.00980751,-0.00828212,-0.01453241
2018-02-23,-0.00301817,-0.01380575,-0.00977037,-0.00786164,-0.01449526
2018-02-26,-0.00316348,-0.01378153,-0.00974615,-0.00783743,-0.01447105
2018-02-27,0.00872286,-0.01376678,-0.00973140,-0.00782267,-0.01445630
2018-02-28,0.00837972,-0.01387905,-0.00984366,-0.00793494,-0.01456856
2018-03-01,-0.00244840,-0.01410186,-0.01015241,-0.00818411,-0.01475900
2018-03-02,-0.01053186,-0.01388934,-0.00993988,-0.00797158,-0.01454647
2018-03-05,0.00643483,-0.01360216,-0.00995205,-0.00803511,-0.01434002
2018-03-06,0.00698264,-0.01389013,-0.01024002,-0.00832309,-0.01462799
2018-03-07,-0.00714436,-0.01402339,-0.01037328,-0.00845635,-0.01476125
2018-03-08,0.00465232,-0.01373881,-0.01008869,-0.00817176,-0.01447666
2018-03-09,0.00484440,-0.01390662,-0.01025651,-0.00833957,-0.01464448
2018-03-12,0.00402358,-0.01398047,-0.01033036,-0.00841343,-0.01471833
2018-03-13,-0.00330294,-0.01399409,-0.01034397,-0.00842704,-0.01473194
2018-03-14,-0.00688950,-0.01382229,-0.01017218,-0.00825525,-0.01456015
2018-03-15,-0.00119173,-0.01366073,-0.01001062,-0.00809369,-0.01439859
2018-03-16,0.00282916,-0.01372766,-0.01007755,-0.00816062,-0.01446552
2018-03-19,-0.00163743,-0.01385202,-0.01020191,-0.00828498,-0.01458988
2018-03-20,0.00365592,-0.01379696,-0.01014685,-0.00822992,-0.01453482
2018-03-21,0.00505510,-0.01390443,-0.01025432,-0.00833739,-0.01464229
2018-03-22,-0.00688586,-0.01398485,-0.01033474,-0.00841781,-0.01472271
2018-03-23,-0.00989026,-0.01372928,-0.01007917,-0.00816224,-0.01446714
2018-03-26,0.00241646,-0.01354659,-0.00989647,-0.00852122,-0.01428445
2018-03-27,0.00418790,-0.01376500,-0.01011488,-0.00873963,-0.01450285
2018-03-28,0.00357190,-0.01389940,-0.01024929,-0.00887403,-0.01463726
2018-03-29,0.00431577,-0.01394493,-0.01029482,-0.00834338,-0.01468279
2018-04-03,-0.00645379,-0.01380416,-0.01026594,-0.00827389,-0.01459077
2018-04-04,-0.00430780,-0.01382855,-0.01029033,-0.00829827,-0.01461516
2018-04-05,0.01638686,-0.01383173,-0.01029351,-0.00830146,-0.01461834
2018-04-06,-0.00124831,-0.01380040,-0.01026218,-0.00827013,-0.01458701
2018-04-09,-0.00290103,-0.01381791,-0.01027969,-0.00828763,-0.01460452
2018-04-10,-0.00047099,-0.01383895,-0.01030073,-0.00830868,-0.01462556
2018-04-11,-0.00088037,-0.01383767,-0.01029945,-0.00830739,-0.01462428
2018-04-12,0.00687117,-0.01383030,-0.01029208,-0.00830003,-0.01461692
2018-04-13,0.00219766,-0.01381552,-0.01027730,-0.00828525,-0.01460213
2018-04-16,0.00205208,-0.01381934,-0.01028112,-0.00828907,-0.01460595
2018-04-17,-0.00552288,-0.01382815,-0.01028993,-0.00829788,-0.01461476
2018-04-18,-0.00120390,-0.01384082,-0.01030261,-0.00831055,-0.01462744
2018-04-19,-0.00077977,-0.01383384,-0.01029562,-0.00830356,-0.01462045
2018-04-20,-0.00608175,-0.01382130,-0.01028308,-0.00829102,-0.01460791
2018-04-23,0.00018727,-0.01381835,-0.01028013,-0.00828808,-0.01460497
2018-04-24,0.00538907,-0.01380428,-0.01026606,-0.00827401,-0.01459089
2018-04-25,-0.00521075,-0.01379040,-0.01025218,-0.00826013,-0.01457701
2018-04-26,0.00264434,-0.01380442,-0.01026620,-0.00827415,-0.01459103
2018-04-27,-0.00042689,-0.01380429,-0.01026607,-0.00827402,-0.01459090
2018-04-30,-0.00734795,-0.01380716,-0.01026894,-0.00827689,-0.01459377
2018-05-02,0.00084199,-0.01381813,-0.01027991,-0.00828786,-0.01460474
2018-05-03,-0.00315664,-0.01387314,-0.01023144,-0.00831092,-0.01465111
2018-05-04,-0.01463024,-0.01385826,-0.01021655,-0.00829603,-0.01463622
2018-05-07,0.01075152,-0.01420707,-0.01123898,-0.00880058,-0.01539602
2018-05-09,-0.01455942,-0.01434921,-0.01138113,-0.00894273,-0.01553817
2018-05-10,0.00307849,-0.01444785,-0.01333552,-0.00930358,-0.01566125
2018-05-11,0.00974821,-0.01453670,-0.01342436,-0.00939243,-0.01575010
2018-05-14,-0.00252323,-0.01456884,-0.01345651,-0.00942457,-0.01578224
2018-05-15,0.00178230,-0.01448530,-0.01337296,-0.00934102,-0.01569870
2018-05-16,-0.00021696,-0.01449365,-0.01146411,-0.00885938,-0.01570705
2018-05-17,0.00120174,-0.01448071,-0.01145117,-0.00884645,-0.01569411
2018-05-18,-0.00255883,-0.01448667,-0.01145713,-0.00885241,-0.01570007
2018-05-21,-0.00218425,-0.01446810,-0.01143856,-0.00883384,-0.01568150
2018-05-22,0.00103381,-0.01447404,-0.01144450,-0.00883978,-0.01568744
2018-05-23,-0.00340471,-0.01449620,-0.01146666,-0.00886194,-0.01570960
2018-05-24,0.00352254,-0.01447580,-0.01144626,-0.00884154,-0.01568920
2018-05-25,-0.01453296,-0.01451228,-0.01148274,-0.00887802,-0.01572568
2018-05-28,0.00119469,-0.01445643,-0.01385862,-0.00927811,-0.01577470
2018-05-29,-0.01424499,-0.01454848,-0.01395067,-0.00937016,-0.01586675
2018-05-30,0.00581500,-0.01448361,-0.01417719,-0.00973484,-0.01580269
2018-05-31,-0.00330278,-0.01459517,-0.01428875,-0.00984641,-0.01591425
2018-06-01,0.00458015,-0.01454751,-0.01424109,-0.00979874,-0.01586659
2018-06-04,-0.00096250,-0.01457679,-0.01425494,-0.00976493,-0.01593815
2018-06-05,-0.00627893,-0.01454687,-0.01392684,-0.00927852,-0.01590822
2018-06-06,0.00002795,-0.01445202,-0.01383199,-0.00918367,-0.01581337
2018-06-07,0.00474985,-0.01450096,-0.01388093,-0.00923261,-0.01586231
2018-06-08,-0.00093703,-0.01459634,-0.01397632,-0.00932800,-0.01595770
2018-06-11,-0.00008354,-0.01455784,-0.01393782,-0.00928950,-0.01591920
2018-06-12,0.00153973,-0.01455500,-0.01393497,-0.00928665,-0.01591635
2018-06-13,0.00285059,-0.01457729,-0.01395726,-0.00930894,-0.01593865
2018-06-14,-0.00615558,-0.01460895,-0.01398893,-0.00934060,-0.01597031
2018-06-15,0.00232206,-0.01448472,-0.01386469,-0.00921637,-0.01584608
2018-06-18,-0.00789841,-0.01455520,-0.01393518,-0.00928686,-0.01591656
2018-06-19,-0.00111339,-0.01442644,-0.01380641,-0.00915809,-0.01578779
2018-06-20,0.00170234,-0.01446977,-0.01384974,-0.00920142,-0.01583112
2018-06-21,-0.00523785,-0.01453154,-0.01391152,-0.00926320,-0.01589290
2018-06-22,-0.00030067,-0.01445618,-0.01383615,-0.00918783,-0.01581753
2018-06-25,0.00214032,-0.01449745,-0.01387742,-0.00922910,-0.01585880
2018-06-26,-0.00461491,-0.01455398,-0.01393395,-0.00928563,-0.01591533
2018-06-27,-0.00924666,-0.01447851,-0.01385849,-0.00921016,-0.01583987
2018-06-28,0.00012360,-0.01436939,-0.01374937,-0.00922988,-0.01573075
2018-06-29,0.01167282,-0.01445764,-0.01383762,-0.00931813,-0.01581900
2018-07-02,0.00590249,-0.01467988,-0.01405986,-0.00954037,-0.01604124
