date,y_true,var_01,var_025,var_05,es_025
2018-01-02,0.01065964,-0.01130760,-0.00893513,-0.00730077,-0.01398093
2018-01-03,0.00055483,-0.01143865,-0.00906619,-0.00743182,-0.01411199
2018-01-04,0.00860408,-0.01132943,-0.00895696,-0.00732260,-0.01400276
2018-01-05,0.00177842,-0.01140714,-0.00903468,-0.00740031,-0.01408048
2018-01-08,-0.00486563,-0.01132824,-0.00895578,-0.00732141,-0.01400158
2018-01-09,-0.00111838,-0.01113524,-0.00876278,-0.00712841,-0.01380858
2018-01-10,0.01417010,-0.01107397,-0.00870151,-0.00706714,-0.01374730
2018-01-11,0.00692509,-0.01134672,-0.00897426,-0.00733989,-0.01402005
2018-01-12,0.01024924,-0.01140350,-0.00903104,-0.00739667,-0.01407683
2018-01-15,0.00602390,-0.01150180,-0.00912933,-0.00749497,-0.01417513
2018-01-16,0.00152479,-0.01148161,-0.00910914,-0.00747477,-0.01415494
2018-01-17,-0.00777406,-0.01137035,-0.00899789,-0.00736352,-0.01404369
2018-01-18,0.00188592,-0.01110139,-0.00872893,-0.00729218,-0.01377473
2018-01-19,0.00068874,-0.01110645,-0.00873399,-0.00729724,-0.01377979
2018-01-22,-0.00517008,-0.01109888,-0.00872642,-0.00728967,-0.01377222
2018-01-23,0.00177803,-0.01097982,-0.00860736,-0.00697299,-0.01365316
2018-01-24,-0.00337530,-0.01103564,-0.00866318,-0.00702881,-0.01370898
2018-01-25,0.00180911,-0.01097766,-0.00860520,-0.00673274,-0.01365100
2018-01-26,0.00204544,-0.01104010,-0.00866763,-0.00679518,-0.01371343
2018-01-29,-0.00023959,-0.01109208,-0.00871962,-0.00684716,-0.01376542
2018-01-30,0.00190107,-0.01108179,-0.00870933,-0.00683687,-0.01375513
2018-01-31,0.00271157,-0.01105604,-0.00851087,-0.00659627,-0.01355996
2018-02-01,-0.00127760,-0.01104681,-0.00850164,-0.00658704,-0.01355073
2018-02-02,0.01102328,-0.01107881,-0.00853364,-0.00661904,-0.01358273
2018-02-05,-0.00500060,-0.01098307,-0.00843790,-0.00652330,-0.01348699
2018-02-06,-0.03630145,-0.01109788,-0.00855272,-0.00663812,-0.01360181
2018-02-07,0.01553203,-0.01793786,-0.00925847,-0.00710342,-0.01935381
2018-02-08,-0.00384256,-0.01755543,-0.00887604,-0.00672099,-0.01897138
2018-02-09,-0.00695115,-0.01763127,-0.00895189,-0.00679683,-0.01904723
2018-02-12,0.00408463,-0.01767927,-0.00899988,-0.00698367,-0.01909523
2018-02-13,0.00192148,-0.01759880,-0.00891941,-0.00690320,-0.01901475
2018-02-14,-0.00116105,-0.01760126,-0.00892187,-0.00690566,-0.01901721
2018-02-15,-0.00517659,-0.01763055,-0.00895116,-0.00693496,-0.01904651
2018-02-16,0.00397111,-0.01767125,-0.00899186,-0.00697565,-0.01908720
2018-02-19,-0.00630935,-0.01760227,-0.00892288,-0.00690667,-0.01901823
2018-02-20,0.00337570,-0.01767291,-0.00899352,-0.00697731,-0.01908886
2018-02-21,-0.00382377,-0.01760706,-0.00892767,-0.00691146,-0.01902302
2018-02-22,-0.00562508,-0.01765283,-0.00897344,-0.00695723,-0.01906879
2018-02-23,-0.00082904,-0.01767785,-0.00899846,-0.00698225,-0.01909380
2018-02-26,-0.00160184,-0.01764149,-0.00896210,-0.00694589,-0.01905745
2018-02-27,0.00205281,-0.01763937,-0.00895998,-0.00694377,-0.01905532
2018-02-28,-0.00165939,-0.01760915,-0.00892977,-0.00691356,-0.01902511
2018-03-01,-0.00246505,-0.01741791,-0.00881797,-0.00678938,-0.01903884
2018-03-02,-0.00236866,-0.01745529,-0.00885536,-0.00682677,-0.01907623
2018-03-06,-0.00212487,-0.01747594,-0.00887601,-0.00684741,-0.01909688
2018-03-07,0.00839979,-0.01748218,-0.00888225,-0.00685366,-0.01910312
2018-03-08,-0.00653845,-0.01724011,-0.00864018,-0.00661159,-0.01886105
2018-03-09,0.00426652,-0.01744854,-0.00884860,-0.00682001,-0.01906947
2018-03-12,-0.00658272,-0.01731644,-0.00871651,-0.00668792,-0.01893738
2018-03-13,-0.00226274,-0.01749643,-0.00889650,-0.00686791,-0.01911737
2018-03-14,-0.00020596,-0.01749756,-0.00889763,-0.00686903,-0.01911850
2018-03-15,-0.00069174,-0.01745135,-0.00885142,-0.00682283,-0.01907229
2018-03-16,0.00113303,-0.01743407,-0.00883413,-0.00680554,-0.01905500
2018-03-19,-0.01210271,-0.01738089,-0.00878096,-0.00675237,-0.01900183
2018-03-20,-0.01663053,-0.01765900,-0.00962962,-0.00727503,-0.01990908
2018-03-21,0.01338024,-0.01792460,-0.01140587,-0.00818103,-0.02136684
2018-03-22,-0.00291635,-0.01737901,-0.01086028,-0.00763544,-0.02082126
2018-03-23,-0.00887598,-0.01744152,-0.01092280,-0.00769795,-0.02088377
2018-03-26,-0.01208598,-0.01761148,-0.01109275,-0.00838183,-0.02105372
2018-03-27,0.00218476,-0.01778965,-0.01233216,-0.00891504,-0.02123190
2018-03-28,-0.00177189,-0.01756096,-0.01210348,-0.00868635,-0.02100321
2018-03-29,-0.00755033,-0.01751964,-0.01206216,-0.00864503,-0.02096189
2018-04-03,0.00609688,-0.01762735,-0.01216986,-0.00875273,-0.02106959
2018-04-04,0.00198841,-0.01759421,-0.01207075,-0.00866800,-0.02093846
2018-04-05,0.00698915,-0.01756780,-0.01204434,-0.00864158,-0.02091205
2018-04-10,0.00864197,-0.01752777,-0.01200431,-0.00860155,-0.02087201
2018-04-11,-0.00620197,-0.01748757,-0.01196411,-0.00856136,-0.02083182
2018-04-12,0.00063555,-0.01753156,-0.01200809,-0.00860534,-0.02087580
2018-04-13,0.00326215,-0.01754357,-0.01202010,-0.00861735,-0.02088781
2018-04-16,-0.00034685,-0.01753373,-0.01201027,-0.00860751,-0.02087797
2018-04-17,-0.00262792,-0.01754134,-0.01201788,-0.00861512,-0.02088558
2018-04-18,-0.00121056,-0.01756108,-0.01203762,-0.00863486,-0.02090533
2018-04-19,0.00353678,-0.01757038,-0.01204692,-0.00864416,-0.02091462
2018-04-20,-0.00658480,-0.01755204,-0.01202858,-0.00862582,-0.02089629
2018-04-23,0.00100187,-0.01758422,-0.01206076,-0.00865800,-0.02092847
2018-04-24,0.00000000,-0.01757874,-0.01205528,-0.00865252,-0.02092298
2018-04-25,0.00606562,-0.01757311,-0.01204965,-0.00864689,-0.02091735
2018-04-26,-0.00412546,-0.01753939,-0.01201593,-0.00861317,-0.02088364
2018-04-27,-0.00330659,-0.01756034,-0.01203688,-0.00863412,-0.02090458
2018-04-30,-0.00013675,-0.01758063,-0.01205717,-0.00865441,-0.02092488
2018-05-02,-0.00583670,-0.01757935,-0.01205589,-0.00865313,-0.02092359
2018-05-03,0.00689978,-0.01760327,-0.01207981,-0.00867705,-0.02094751
2018-05-04,-0.00904183,-0.01756218,-0.01203872,-0.00863597,-0.02090643
2018-05-08,0.00019910,-0.01759999,-0.01207653,-0.00893660,-0.02094423
2018-05-09,-0.00127185,-0.01774227,-0.01208474,-0.00888748,-0.02094196
2018-05-10,-0.00444114,-0.01774784,-0.01209031,-0.00889305,-0.02094753
2018-05-11,-0.00583876,-0.01773830,-0.01208077,-0.00888352,-0.02093800
2018-05-14,-0.00196937,-0.01771714,-0.01205961,-0.00886236,-0.02091684
2018-05-15,-0.00166225,-0.01771364,-0.01205611,-0.00885886,-0.02091334
2018-05-16,-0.00093331,-0.01772316,-0.01206563,-0.00886838,-0.02092286
2018-05-17,0.01146583,-0.01773601,-0.01207848,-0.00888122,-0.02093570
2018-05-18,-0.00329784,-0.01779893,-0.01214140,-0.00894414,-0.02099862
2018-05-21,-0.00247280,-0.01781474,-0.01215721,-0.00895996,-0.02101444
2018-05-22,-0.00278923,-0.01779198,-0.01213445,-0.00893719,-0.02099167
2018-05-23,-0.00239253,-0.01776892,-0.01211139,-0.00891414,-0.02096862
2018-05-25,-0.00126071,-0.01775315,-0.01209562,-0.00889837,-0.02095285
2018-05-28,-0.00435465,-0.01774893,-0.01209140,-0.00889415,-0.02094863
2018-05-29,-0.00343150,-0.01773751,-0.01207998,-0.00888273,-0.02093721
2018-05-30,-0.00449913,-0.01772625,-0.01206872,-0.00887146,-0.02092594
2018-05-31,0.00361977,-0.01771582,-0.01205829,-0.00886103,-0.02091551
2018-06-01,0.00210289,-0.01774058,-0.01208305,-0.00867248,-0.02094028
2018-06-04,0.00068954,-0.01777388,-0.01211635,-0.00870578,-0.02097357
2018-06-05,-0.00716928,-0.01779014,-0.01213261,-0.00872204,-0.02098984
2018-06-06,0.00064671,-0.01776286,-0.01210533,-0.00869476,-0.02096255
2018-06-07,-0.00390240,-0.01775296,-0.01209543,-0.00868486,-0.02095266
2018-06-08,0.00018994,-0.01775469,-0.01205800,-0.00866709,-0.02096684
2018-06-11,-0.00355156,-0.01779881,-0.01210212,-0.00871121,-0.02101097
2018-06-12,0.00434260,-0.01776080,-0.01206411,-0.00867320,-0.02097295
2018-06-13,0.00375679,-0.01786832,-0.01217163,-0.00878072,-0.02108047
2018-06-14,0.00411937,-0.01791269,-0.01221600,-0.00882508,-0.02112484
2018-06-15,-0.01490666,-0.01794183,-0.01224514,-0.00885422,-0.02115398
2018-06-18,0.00456038,-0.01765301,-0.01276394,-0.00876800,-0.02137658
2018-06-19,0.00030117,-0.01781929,-0.01293023,-0.00893429,-0.02154287
2018-06-20,0.00207405,-0.01783195,-0.01294289,-0.00894694,-0.02155553
2018-06-21,-0.00132943,-0.01786794,-0.01297887,-0.00898293,-0.02159151
2018-06-22,-0.00098238,-0.01783194,-0.01294287,-0.00894693,-0.02155551
2018-06-25,0.00251740,-0.01781979,-0.01293073,-0.00893478,-0.02154337
2018-06-26,-0.00083843,-0.01786935,-0.01298028,-0.00898434,-0.02159292
2018-06-27,0.00263946,-0.01784045,-0.01295139,-0.00833895,-0.02156403
2018-06-28,-0.00064737,-0.01788200,-0.01299293,-0.00838050,-0.02160557
2018-06-29,0.00178319,-0.01747661,-0.01215343,-0.00764248,-0.02057417
2018-07-02,-0.01183145,-0.01749983,-0.01217666,-0.00766570,-0.02059740
2018-07-03,-0.00043085,-0.01729362,-0.01197044,-0.00816563,-0.02039118
2018-07-04,0.00611029,-0.01737233,-0.01204916,-0.00824434,-0.02046990
2018-07-05,-0.00136521,-0.01751450,-0.01219132,-0.00838651,-0.02061206
2018-07-06,0.00661814,-0.01746693,-0.01214376,-0.00833894,-0.02056450
2018-07-09,-0.00844663,-0.01751988,-0.01221715,-0.00843521,-0.02064240
2018-07-10,0.00109749,-0.01735821,-0.01205549,-0.00857940,-0.02048073
2018-07-11,-0.00655510,-0.01741464,-0.01211191,-0.00863582,-0.02053716
2018-07-12,0.00408803,-0.01733799,-0.01203527,-0.00855918,-0.02046051
2018-07-13,-0.00068549,-0.01744509,-0.01214236,-0.00806599,-0.02056761
2018-07-16,-0.00514822,-0.01742794,-0.01212522,-0.00804885,-0.02055046
2018-07-17,0.00099334,-0.01736226,-0.01205953,-0.00798316,-0.02048478
2018-07-18,0.00638500,-0.01741456,-0.01211184,-0.00803547,-0.02053708
2018-07-19,0.00330416,-0.01750750,-0.01220478,-0.00812840,-0.02063002
2018-07-20,0.00231276,-0.01750702,-0.01220430,-0.00812793,-0.02062954
2018-07-23,0.00221270,-0.01749416,-0.01219144,-0.00811507,-0.02061668
2018-07-24,0.00593427,-0.01748752,-0.01218479,-0.00810842,-0.02061004
2018-07-25,-0.00182218,-0.01753379,-0.01223107,-0.00815470,-0.02065631
2018-07-26,-0.00092807,-0.01745210,-0.01214937,-0.00807300,-0.02057462
2018-07-27,-0.00492215,-0.01742924,-0.01212652,-0.00805014,-0.02055176
2018-07-30,-0.00730150,-0.01736692,-0.01206419,-0.00798782,-0.02048944
2018-07-31,0.01001800,-0.01730897,-0.01200624,-0.00792987,-0.02043149
2018-08-01,0.00102466,-0.01751109,-0.01220837,-0.00813199,-0.02063361
