date,y_true,var_01,var_025,var_05,es_025
2018-01-01,-0.00522354,-0.01333677,-0.01028392,-0.00786619,-0.01269642
2018-01-02,-0.00178842,-0.01334538,-0.01029253,-0.00787479,-0.01270502
2018-01-03,-0.00538452,-0.01331243,-0.01025958,-0.00784185,-0.01267208
2018-01-04,0.00427282,-0.01332906,-0.01027621,-0.00785848,-0.01268871
2018-01-05,-0.00483152,-0.01325400,-0.01020116,-0.00778342,-0.01261365
2018-01-08,0.00235676,-0.01331484,-0.01026199,-0.00784425,-0.01267448
2018-01-09,0.00617552,-0.01327460,-0.01022175,-0.00780401,-0.01263424
2018-01-10,0.00325766,-0.01324229,-0.01018944,-0.00777171,-0.01260194
2018-01-11,-0.00239613,-0.01327097,-0.01021812,-0.00780039,-0.01263062
2018-01-12,-0.00635591,-0.01333164,-0.01027880,-0.00786106,-0.01269129
2018-01-15,-0.01289696,-0.01337463,-0.01032179,-0.00790405,-0.01273428
2018-01-16,-0.00660605,-0.01342188,-0.01071914,-0.00851793,-0.01327454
2018-01-17,0.00239584,-0.01336005,-0.01065732,-0.00845610,-0.01321272
2018-01-18,0.00690302,-0.01326051,-0.01055778,-0.00835656,-0.01311318
2018-01-19,-0.00413614,-0.01277583,-0.01015437,-0.00773663,-0.01218973
2018-01-22,0.00094154,-0.01286767,-0.01024620,-0.00782847,-0.01228156
2018-01-23,-0.00509478,-0.01285662,-0.01023515,-0.00781742,-0.01227051
2018-01-24,-0.00195679,-0.01290541,-0.01028395,-0.00786621,-0.01231931
2018-01-25,-0.00646555,-0.01288839,-0.01026692,-0.00784919,-0.01230228
2018-01-26,0.00006360,-0.01291546,-0.01029400,-0.00787626,-0.01232936
2018-01-29,-0.00490835,-0.01286341,-0.01024194,-0.00782420,-0.01227730
2018-01-30,0.00319000,-0.01293492,-0.01028163,-0.00780039,-0.01229783
2018-01-31,-0.00197662,-0.01293434,-0.01028105,-0.00726303,-0.01229725
2018-02-01,0.00114822,-0.01293522,-0.01028192,-0.00726390,-0.01229812
2018-02-02,-0.00954438,-0.01293488,-0.01028159,-0.00726357,-0.01229779
2018-02-05,0.00385434,-0.01293524,-0.01028195,-0.00780071,-0.01229815
2018-02-06,0.00957127,-0.01293439,-0.01028110,-0.00779985,-0.01229730
2018-02-07,-0.00063527,-0.01293639,-0.01028310,-0.00780185,-0.01229930
2018-02-08,0.00929772,-0.01293710,-0.01028381,-0.00780257,-0.01230001
2018-02-09,0.00056647,-0.01293687,-0.01028358,-0.00780234,-0.01229978
2018-02-12,0.00150891,-0.01293867,-0.00977148,-0.00726735,-0.01230157
2018-02-13,-0.00763097,-0.01293834,-0.00977115,-0.00726702,-0.01230124
2018-02-14,-0.00399631,-0.01293854,-0.00977135,-0.00757273,-0.01230145
2018-02-15,-0.00893836,-0.01293729,-0.00977010,-0.00757148,-0.01230019
2018-02-16,-0.00340470,-0.01293688,-0.00976970,-0.00786078,-0.01229979
2018-02-19,0.00801153,-0.01293533,-0.00976814,-0.00785923,-0.01229823
2018-02-20,0.00051057,-0.01293542,-0.00976823,-0.00785932,-0.01229832
2018-02-21,0.00521832,-0.01293616,-0.00976898,-0.00786006,-0.01229907
2018-02-22,0.00455957,-0.01293561,-0.00976843,-0.00785951,-0.01229852
2018-02-23,-0.00436922,-0.01293688,-0.00976970,-0.00786078,-0.01229979
2018-02-26,0.00544278,-0.01293732,-0.00977014,-0.00786122,-0.01230023
2018-02-27,-0.00385751,-0.01293710,-0.00976991,-0.00786100,-0.01230000
2018-02-28,0.00939623,-0.01298716,-0.00975740,-0.00781165,-0.01230722
2018-03-01,0.00307084,-0.01308847,-0.00985871,-0.00791296,-0.01240853
2018-03-02,-0.00886210,-0.01308655,-0.00985679,-0.00791104,-0.01240661
2018-03-05,-0.00442897,-0.01295418,-0.00972442,-0.00836735,-0.01227424
2018-03-06,0.00297588,-0.01291335,-0.00968359,-0.00832652,-0.01223341
2018-03-07,-0.01074216,-0.01296886,-0.00973910,-0.00838203,-0.01228892
2018-03-08,0.00051113,-0.01285847,-0.01029942,-0.00861010,-0.01227022
2018-03-09,0.00864925,-0.01290979,-0.01035073,-0.00866142,-0.01232153
2018-03-12,0.00025323,-0.01303391,-0.01047485,-0.00878553,-0.01244565
2018-03-13,-0.00266243,-0.01302538,-0.01046632,-0.00877701,-0.01243713
2018-03-14,-0.00432567,-0.01298554,-0.01042648,-0.00873717,-0.01239729
2018-03-15,0.00407176,-0.01293812,-0.01037906,-0.00868975,-0.01234986
2018-03-16,0.00512962,-0.01299866,-0.01043960,-0.00875029,-0.01241040
2018-03-19,-0.00107437,-0.01305178,-0.01049272,-0.00880340,-0.01246352
