date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2019-01-04,0.02564706,-0.04115882,-0.02836621,-0.01987935,-0.02655813,0.00169959,0.02927675
2019-01-07,0.00232991,-0.04559610,-0.03111510,-0.02396479,-0.02655813,0.00226357,5.04298162
2019-01-08,-0.02615827,-0.02862149,-0.02392642,-0.01848917,-0.02655813,-0.00154787,0.00994804
2019-01-09,-0.00448182,-0.05569765,-0.03871782,-0.02938206,-0.02652957,-0.00235027,0.02010502
2019-01-10,-0.00813366,-0.02541598,-0.02115137,-0.01603476,-0.02652957,-0.00119548,0.00907175
2019-01-11,-0.02052342,-0.05366188,-0.03585560,-0.02924441,-0.02652957,-0.00251247,0.02521300
2019-01-14,-0.04323471,-0.05092297,-0.03648211,-0.02936259,-0.02652957,-0.00769889,0.01683469
2019-01-15,0.01799172,-0.10487144,-0.07568988,-0.05422553,-0.02764324,-0.00921326,0.05802640
2019-01-16,0.00238517,-0.03151940,-0.02372034,-0.01852280,-0.02764324,-0.00122340,0.01114040
2019-01-17,0.01510903,-0.02888125,-0.02295230,-0.01745419,-0.02764324,-0.00082258,0.01066885
2019-01-18,0.00230637,-0.02534115,-0.02153972,-0.01561231,-0.02764324,0.00354547,0.01575051
2019-01-21,-0.00587579,-0.02747018,-0.02072951,-0.01529195,-0.02764324,0.00040049,0.02515696
2019-01-22,0.00474343,-0.02455609,-0.02156764,-0.01633295,-0.02764324,-0.00160063,0.00911588
2019-01-23,-0.00721602,-0.03376059,-0.02375752,-0.01693185,-0.02764324,0.00061334,0.03019515
2019-01-25,-0.01238319,-0.03794389,-0.03091283,-0.02365352,-0.02764324,-0.00183786,0.01731480
2019-01-28,-0.00678683,-0.05391996,-0.03883030,-0.02907787,-0.02764324,-0.00521577,0.02358046
2019-01-29,-0.00816921,-0.02046226,-0.01874224,-0.01626839,-0.02764324,-0.00197362,0.01004595
2019-01-30,0.01353307,-0.03084806,-0.02621381,-0.02229302,-0.02764324,-0.00672638,0.00940233
2019-01-31,-0.01326257,-0.04175982,-0.02443688,-0.01676853,-0.02764324,0.00434359,0.01538527
2019-02-01,0.01139104,-0.03603517,-0.03045547,-0.02460092,-0.02764324,-0.00503104,0.01341204
2019-02-04,0.03682458,-0.03015299,-0.02697595,-0.02251627,-0.02764324,0.00084882,0.01195197
2019-02-05,0.01542026,-0.03237528,-0.02540794,-0.01776175,-0.02764324,0.00092448,4.51338768
2019-02-06,0.00473932,-0.02202549,-0.01806440,-0.01343624,-0.02764324,0.00567663,0.01394255
2019-02-07,0.01216848,-0.02071337,-0.01758153,-0.01379052,-0.02764324,0.00452488,0.01865114
2019-02-08,0.00300589,-0.03680684,-0.01788210,-0.01269466,-0.02807989,0.00541802,0.01122159
