date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-12-17,0.00053839,-0.00324427,-0.00300802,-0.00325113,-0.00517749,-0.00029888,0.00677216
2018-12-18,-0.00025990,-0.00558996,-0.00432780,-0.00390619,-0.00779865,-0.00034254,0.08442675
2018-12-19,-0.00410482,-0.00442831,-0.00303201,-0.00286778,-0.00654164,-0.00034778,0.06274889
2018-12-20,0.00141875,-0.00735308,-0.00631715,-0.00565330,-0.00578930,-0.00069790,0.00449054
2018-12-21,-0.00358642,-0.00423069,-0.00410343,-0.00416848,-0.00578930,-0.00025910,0.01709452
2018-12-24,0.00160521,-0.00967029,-0.00790659,-0.00732658,-0.00578930,-0.00131064,0.51010942
2018-12-25,-0.00230913,-0.00466177,-0.00400061,-0.00427529,-0.00578930,-0.00001427,0.00363748
2018-12-26,0.00032712,-0.01066012,-0.00718472,-0.00647419,-0.00578930,-0.00052525,0.02758403
2018-12-27,-0.00009658,-0.00860328,-0.00628431,-0.00482650,-0.00578930,-0.00028052,0.06540290
2018-12-28,-0.00102222,-0.00529681,-0.00418153,-0.00418439,-0.00578930,-0.00048163,0.00283681
2018-12-31,0.00209315,-0.00567257,-0.00403753,-0.00395224,-0.00578930,-0.00049336,0.01714666
2019-01-01,-0.00242682,-0.00823197,-0.00561555,-0.00430062,-0.00578930,0.00046870,0.00353514
2019-01-02,0.00078262,-0.00706974,-0.00553823,-0.00482365,-0.00578930,-0.00079525,0.01505899
2019-01-03,0.00427316,-0.00828123,-0.00708265,-0.00529929,-0.00578930,0.00019518,0.00427831
2019-01-04,-0.00486865,-0.00660048,-0.00531478,-0.00465695,-0.00578930,0.00070735,0.00479672
2019-01-07,-0.00028384,-0.01107174,-0.00767396,-0.00657819,-0.00578930,-0.00013645,0.71106380
2019-01-08,0.00074845,-0.00420785,-0.00387875,-0.00414268,-0.00578930,-0.00059350,0.00903591
2019-01-09,0.00171916,-0.00492930,-0.00420159,-0.00436700,-0.00578930,-0.00058234,0.00344685
