date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2019-01-03,0.00068707,-0.02188914,-0.01791366,-0.01384756,-0.01500056,-0.00079654,0.00774807
2019-01-04,0.01420099,-0.02177445,-0.01763645,-0.01223052,-0.01500056,-0.00133019,0.00723594
2019-01-07,0.00432241,-0.02331676,-0.01748590,-0.01421205,-0.01500056,0.00008384,0.01122133
2019-01-08,0.00573430,-0.02036475,-0.01380617,-0.01105982,-0.01500056,0.00218129,0.00920758
2019-01-09,0.00363116,-0.01430622,-0.01147558,-0.00818923,-0.01500056,0.00372756,0.00622370
2019-01-10,-0.00231100,-0.01641182,-0.01404870,-0.01165676,-0.01500056,-0.00064750,0.00702725
2019-01-11,-0.00420297,-0.02466669,-0.01717380,-0.01262935,-0.01500056,0.00043967,0.01731923
2019-01-14,-0.01022572,-0.02139344,-0.01735789,-0.01442540,-0.01500056,-0.00120092,0.00696939
2019-01-15,0.00287256,-0.02569817,-0.01880368,-0.01646224,-0.01500056,-0.00342170,0.00761852
2019-01-16,0.01479985,-0.02841470,-0.01835644,-0.01504306,-0.01500056,-0.00075130,0.01718640
2019-01-17,-0.00405138,-0.02200052,-0.01639282,-0.01290272,-0.01500056,0.00144913,0.00997679
2019-01-18,0.00538513,-0.02368357,-0.01581929,-0.01224409,-0.01500056,0.00082217,0.01088942
2019-01-21,-0.00305260,-0.01677305,-0.01320307,-0.01037690,-0.01500056,0.00260319,0.00792275
2019-01-22,-0.00026546,-0.01358521,-0.01086354,-0.00873756,-0.01500056,-0.00089259,0.00846424
2019-01-23,0.00458152,-0.01634231,-0.01336172,-0.01075357,-0.01500056,0.00031407,0.00581290
2019-01-24,-0.00387379,-0.01541925,-0.01111164,-0.00870191,-0.01500056,0.00250036,0.01012501
2019-01-25,0.00529205,-0.02003118,-0.01601526,-0.01252620,-0.01500056,-0.00065199,0.00746498
2019-01-28,0.00199195,-0.01421535,-0.01183991,-0.00980062,-0.01500056,0.00119437,0.00552226
2019-01-29,0.00434119,-0.01318654,-0.01086426,-0.00878970,-0.01500056,0.00082344,0.00569082
2019-01-30,0.00518274,-0.01333404,-0.01056824,-0.00819260,-0.01500056,0.00230473,0.00962073
