date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2019-01-07,0.02014625,-0.03789883,-0.02391492,-0.01929638,-0.02586982,0.00176142,0.01270754
2019-01-08,-0.00268864,-0.03128123,-0.02190089,-0.01974382,-0.02586982,0.00257614,0.01500269
2019-01-09,0.00713519,-0.02685652,-0.02139150,-0.01830524,-0.02586982,0.00066564,0.01519075
2019-01-10,-0.00279230,-0.02936316,-0.02039647,-0.01586414,-0.02586982,0.00188592,0.01501146
2019-01-11,-0.00008993,-0.03216348,-0.02478837,-0.02020312,-0.02586982,0.00065230,0.01108508
2019-01-14,-0.00319125,-0.04372152,-0.02863468,-0.02067748,-0.02586982,0.00157315,0.01631466
2019-01-15,0.00723428,-0.02730161,-0.02176252,-0.01901522,-0.02586982,-0.00170110,0.00996024
2019-01-16,0.00832926,-0.03517681,-0.02448679,-0.01910578,-0.02586982,0.00365081,0.01500057
2019-01-17,-0.00220193,-0.03621657,-0.02371741,-0.01879511,-0.02586982,0.00477428,0.01385013
2019-01-18,0.00798005,-0.03213011,-0.02025701,-0.01680676,-0.02586982,0.00110035,0.01324981
2019-01-21,-0.00826411,-0.03881562,-0.02498192,-0.01852466,-0.02586982,0.00234562,0.01234712
2019-01-22,0.00039427,-0.03362272,-0.02404846,-0.02058717,-0.02586982,-0.00158836,0.01153382
2019-01-23,0.02008325,-0.02673253,-0.02071507,-0.01637248,-0.02586982,0.00084236,0.02028604
2019-01-24,-0.00029501,-0.02813135,-0.02049783,-0.01672656,-0.02586982,0.00233542,0.01357410
2019-01-25,-0.00317994,-0.02817220,-0.01978465,-0.01601132,-0.02586982,0.00068651,0.00936611
2019-01-28,-0.01179208,-0.02925925,-0.01937852,-0.01473293,-0.02586982,-0.00180118,0.03518879
2019-01-29,0.00112987,-0.03312681,-0.02419899,-0.02010245,-0.02586982,-0.00347601,0.01753009
2019-01-30,-0.00655665,-0.02476010,-0.01996448,-0.01672307,-0.02586982,-0.00027274,0.00947395
2019-01-31,0.00942197,-0.03041697,-0.02370581,-0.02009462,-0.02586982,-0.00317036,0.00917538
2019-02-01,0.00558078,-0.02376021,-0.01671059,-0.01257354,-0.02586982,0.00000623,0.01033706
2019-02-04,-0.00124167,-0.03674839,-0.02609784,-0.02055613,-0.02586982,0.00143024,0.01280673
