date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-01-01,-0.00238920,-0.00443639,-0.00374368,-0.00290141,-0.00504086,-0.00067314,0.00386193
2018-01-02,0.00128929,-0.00598606,-0.00395615,-0.00306054,-0.00604542,-0.00103622,0.00206293
2018-01-03,-0.00195615,-0.00251155,-0.00167666,-0.00106768,-0.00274637,0.00005817,0.04478890
2018-01-04,-0.00030219,-0.00801503,-0.00516359,-0.00347800,-0.00821553,-0.00053561,0.01023015
2018-01-05,0.00140426,-0.00408040,-0.00252885,-0.00178631,-0.00468340,-0.00011182,5.01285648
2018-01-08,-0.00019604,-0.00396960,-0.00309312,-0.00236682,-0.00453902,-0.00007994,0.00851467
2018-01-09,0.00061529,-0.00232986,-0.00139386,-0.00091305,-0.00247064,-0.00012590,4.79665327
2018-01-10,0.00010970,-0.00429461,-0.00298838,-0.00205418,-0.00455471,0.00011691,0.00291419
2018-01-11,0.00005484,-0.00108856,-0.00086140,-0.00072213,-0.00127552,-0.00009923,0.00151630
2018-01-12,-0.00156028,-0.00152061,-0.00094810,-0.00077071,-0.00204507,-0.00008981,0.00448732
2018-01-15,0.00014906,-0.00464371,-0.00357785,-0.00271243,-0.00666412,-0.00060478,0.00263871
2018-01-16,0.00081173,-0.00287001,-0.00223234,-0.00158363,-0.00335323,-0.00023280,0.00345197
2018-01-17,-0.00412417,-0.00352928,-0.00209676,-0.00150451,-0.00382052,0.00014297,0.00238877
2018-01-18,-0.00226574,-0.00440828,-0.00293045,-0.00205211,-0.00600550,-0.00023400,1.38866425
2018-01-19,-0.00070240,-0.00527902,-0.00376989,-0.00320367,-0.00568519,-0.00098036,0.00319162
2018-01-22,0.00256658,-0.00425040,-0.00269093,-0.00178717,-0.00570450,-0.00039433,0.00170492
2018-01-23,0.00003545,-0.00731708,-0.00437205,-0.00272700,-0.00863524,-0.00006897,0.00324478
2018-01-24,-0.00105186,-0.00486818,-0.00339682,-0.00244038,-0.00580040,-0.00027818,0.00361639
2018-01-25,-0.00007090,-0.00486279,-0.00402959,-0.00299134,-0.00599628,-0.00040298,0.00284529
2018-01-26,-0.00106486,-0.00178831,-0.00124083,-0.00092631,-0.00241554,-0.00009240,0.00242363
2018-01-29,-0.00208169,-0.00379648,-0.00252846,-0.00185840,-0.00470188,-0.00052249,3.57814002
2018-01-30,0.00001976,-0.00511488,-0.00383585,-0.00296681,-0.00525820,-0.00106190,0.00293123
2018-01-31,0.00030442,-0.00130503,-0.00112971,-0.00086703,-0.00198626,-0.00022162,0.00190313
2018-02-01,-0.00117868,-0.00501607,-0.00318479,-0.00242587,-0.00504225,-0.00002973,0.00453201
2018-02-02,-0.00342123,-0.00343940,-0.00259782,-0.00202896,-0.00381405,-0.00039228,0.00211126
2018-02-05,0.00125413,-0.00703790,-0.00558451,-0.00370709,-0.00773212,-0.00051342,2.68825126
2018-02-06,-0.00025784,-0.00468400,-0.00367359,-0.00224859,-0.00534760,-0.00009029,0.98201478
2018-02-07,-0.00019441,-0.00316247,-0.00217369,-0.00156519,-0.00405194,-0.00039953,0.01903269
2018-02-08,0.00210872,-0.00164315,-0.00124849,-0.00100106,-0.00181656,-0.00036550,0.58634239
2018-02-09,0.00382164,-0.00322551,-0.00221680,-0.00154444,-0.00617344,0.00004273,0.11664723
2018-02-12,0.00077282,-0.00720291,-0.00364179,-0.00255521,-0.01214413,0.00043221,0.00706089
2018-02-13,-0.00061905,-0.00348075,-0.00240376,-0.00170903,-0.00380800,0.00025514,0.01493265
2018-02-14,0.00071362,-0.00345896,-0.00263391,-0.00202303,-0.00366785,-0.00012433,2.16255736
2018-02-15,-0.00083195,-0.00226892,-0.00155099,-0.00116473,-0.00248416,-0.00008508,0.02648094
2018-02-16,-0.00110894,-0.00422354,-0.00299997,-0.00235593,-0.00486642,-0.00032747,2.13956904
2018-02-19,0.00034346,-0.00434917,-0.00293087,-0.00213170,-0.00500206,-0.00012463,11.13781929
2018-02-20,-0.00200329,-0.00442928,-0.00262723,-0.00172544,-0.00487071,-0.00021722,0.00445535
2018-02-21,0.00105155,-0.00430749,-0.00298841,-0.00254688,-0.00529027,-0.00041059,0.00652444
2018-02-22,0.00103072,-0.00272125,-0.00154873,-0.00119279,-0.00306128,-0.00007677,1.32534909
2018-02-23,0.00032751,-0.00399117,-0.00258897,-0.00203389,-0.00476554,0.00012278,0.00264754
2018-02-26,-0.00000391,-0.00225758,-0.00161260,-0.00124459,-0.00268481,-0.00007267,0.00100448
2018-02-27,0.00016180,-0.00293892,-0.00196636,-0.00126987,-0.00397146,-0.00011028,0.01597658
2018-02-28,0.00209263,-0.00181988,-0.00137613,-0.00101608,-0.00215369,-0.00012442,2.12202740
2018-03-01,0.00065330,-0.00424402,-0.00321645,-0.00222541,-0.00517522,0.00022572,0.00309255
2018-03-02,0.00012591,-0.00278889,-0.00164247,-0.00122179,-0.00257849,0.00018757,0.00251654
2018-03-05,-0.00322308,-0.00199165,-0.00134281,-0.00090982,-0.00248586,0.00004188,0.00279889
2018-03-06,0.00229428,-0.00728093,-0.00545456,-0.00450733,-0.00817167,-0.00126895,0.00338349
2018-03-07,-0.00088637,-0.00467021,-0.00253604,-0.00186709,-0.00551788,0.00021003,0.70000899
2018-03-08,0.00116195,-0.00615068,-0.00402472,-0.00267344,-0.00724281,-0.00037726,0.01738860
2018-03-09,-0.00021656,-0.00371883,-0.00216707,-0.00169144,-0.00362119,0.00018840,8.69108105
2018-03-12,0.00238712,-0.00272146,-0.00194244,-0.00150879,-0.00371363,-0.00003848,0.80278975
2018-03-13,-0.00097854,-0.00477015,-0.00369600,-0.00252415,-0.00515281,0.00030717,0.00350640
2018-03-14,0.00164606,-0.00455470,-0.00347200,-0.00253585,-0.00472439,-0.00029736,0.00406270
2018-03-15,-0.00246815,-0.00429724,-0.00319824,-0.00246527,-0.00431540,0.00046717,0.00502341
2018-03-16,-0.00089361,-0.00652128,-0.00531057,-0.00404865,-0.00721304,-0.00082703,0.00372455
2018-03-19,0.00038980,-0.00851794,-0.00505571,-0.00353845,-0.00933635,-0.00044065,0.03260415
2018-03-20,-0.00015748,-0.00267098,-0.00164089,-0.00119397,-0.00294931,-0.00016655,0.03385402
2018-03-21,0.00018113,-0.00283959,-0.00230961,-0.00182558,-0.00407756,-0.00037157,0.11019468
2018-03-22,-0.00096499,-0.00475473,-0.00325383,-0.00233054,-0.00533801,-0.00037987,0.01523227
2018-03-23,0.00098466,-0.00461463,-0.00338604,-0.00240347,-0.01317578,-0.00031983,0.01324453
2018-03-25,0.00082247,-0.00397641,-0.00266496,-0.00220903,-0.00475870,-0.00000970,0.00364209
2018-03-26,0.00088859,-0.00298256,-0.00200220,-0.00142398,-0.00371837,0.00045567,0.00312997
2018-03-27,0.00081313,-0.00304989,-0.00229955,-0.00154420,-0.00333015,0.00040504,0.00239484
2018-03-28,-0.00134383,-0.00463048,-0.00302621,-0.00217286,-0.00474509,0.00038183,0.00348685
2018-03-29,-0.00286276,-0.00457832,-0.00314122,-0.00254268,-0.00495612,-0.00048406,0.00326309
2018-04-01,0.00107987,-0.00668736,-0.00567311,-0.00448438,-0.00715614,-0.00122820,0.00336815
2018-04-02,-0.00121398,-0.00350293,-0.00192796,-0.00112573,-0.00343694,0.00011140,0.03655266
2018-04-03,-0.00216361,-0.00526040,-0.00366316,-0.00305198,-0.00625936,-0.00065344,0.00403008
2018-04-04,0.00009091,-0.00794166,-0.00441931,-0.00337721,-0.01149339,-0.00073067,0.00743286
2018-04-05,0.00090461,-0.00171222,-0.00124611,-0.00096077,-0.00297196,-0.00007422,0.01867956
2018-04-08,0.00188562,-0.00510991,-0.00398795,-0.00296160,-0.00623221,0.00002980,0.00337719
2018-04-09,-0.00153028,-0.00618588,-0.00421461,-0.00298257,-0.00752681,0.00044086,0.00356592
2018-04-10,-0.00174219,-0.00554501,-0.00360725,-0.00283745,-0.00662607,-0.00043746,0.00308702
2018-04-11,0.00093669,-0.00625136,-0.00445090,-0.00363155,-0.00646447,-0.00071365,0.00297179
2018-04-12,-0.00035562,-0.00394947,-0.00279365,-0.00215928,-0.00459795,0.00014292,0.00347797
2018-04-15,-0.00060083,-0.00338256,-0.00199563,-0.00150493,-0.00392890,-0.00027760,0.00181104
2018-04-16,-0.00176906,-0.00222332,-0.00181168,-0.00121421,-0.00321162,-0.00021794,0.00113955
2018-04-17,0.00116788,-0.00462512,-0.00371204,-0.00305875,-0.00536422,-0.00070823,0.00295270
2018-04-18,0.00006324,-0.00236839,-0.00153303,-0.00101911,-0.00319157,-0.00016478,0.01373365
2018-04-19,0.00133631,-0.00266868,-0.00207661,-0.00148563,-0.00350517,-0.00006678,0.00150124
2018-04-22,0.00186706,-0.00384168,-0.00271289,-0.00181242,-0.00433350,0.00017067,0.00305275
2018-04-23,0.00224535,-0.00481706,-0.00358975,-0.00261063,-0.00544022,0.00050335,0.00307908
