date,y_true,var_01,var_025,var_05,es_025,fm_median,fm_std
2018-01-01,-0.00522354,-0.02089323,-0.01431451,-0.01093848,-0.02761621,-0.00265587,0.01867892
2018-01-02,-0.00178842,-0.01826051,-0.01275472,-0.01053640,-0.01873490,-0.00307807,0.01852700
2018-01-03,-0.00538452,-0.00914901,-0.00688956,-0.00487351,-0.01047998,-0.00130634,0.00530149
2018-01-04,0.00427282,-0.02262079,-0.01734316,-0.01230730,-0.02617468,-0.00263314,20.31263924
2018-01-05,-0.00483152,-0.01569614,-0.01170674,-0.00815178,-0.01979226,-0.00043771,31.11346436
2018-01-08,0.00235676,-0.01721857,-0.01120885,-0.00854220,-0.02245685,-0.00218400,0.16606434
2018-01-09,0.00617552,-0.01901392,-0.01474205,-0.01063025,-0.02163419,-0.00087623,7.41319942
2018-01-10,0.00325766,-0.02177794,-0.01424154,-0.01049142,-0.02809691,0.00296816,0.02250006
2018-01-11,-0.00239613,-0.01600654,-0.01108287,-0.00736835,-0.01727138,0.00136564,0.01617392
2018-01-12,-0.00635591,-0.01694424,-0.01057166,-0.00767301,-0.01733383,-0.00146205,1.47923398
2018-01-15,-0.01289696,-0.02610217,-0.01916727,-0.01602128,-0.03010074,-0.00366783,0.01949887
2018-01-16,-0.00660605,-0.02890217,-0.02192557,-0.01841369,-0.02974222,-0.00832442,0.01715446
2018-01-17,0.00239584,-0.02425905,-0.01857255,-0.01515492,-0.03205608,-0.00565094,0.01944229
2018-01-18,0.00690302,-0.02426234,-0.01510211,-0.01145295,-0.02648118,-0.00123993,202.19667053
2018-01-19,-0.00413614,-0.02146146,-0.01450038,-0.01114290,-0.02304187,0.00297858,0.01766406
2018-01-22,0.00094154,-0.01773783,-0.00876264,-0.00681055,-0.01932563,-0.00203027,0.01042640
2018-01-23,-0.00509478,-0.01466642,-0.00936343,-0.00762328,-0.01634853,-0.00134214,6.41125202
2018-01-24,-0.00195679,-0.01890444,-0.01204154,-0.00933169,-0.01960601,-0.00186344,1.04305887
2018-01-25,-0.00646555,-0.00976153,-0.00765131,-0.00587590,-0.01249874,-0.00146715,0.03355662
2018-01-26,0.00006360,-0.02015515,-0.01369785,-0.01157293,-0.01962398,-0.00451098,0.01546465
2018-01-29,-0.00490835,-0.01711778,-0.01290476,-0.00858921,-0.02649517,-0.00151582,0.01936925
2018-01-30,0.00319000,-0.01933242,-0.01475802,-0.01127053,-0.01943284,-0.00256332,0.03514276
2018-01-31,-0.00197662,-0.01506890,-0.01071207,-0.00818553,-0.01829702,-0.00138324,0.04585197
2018-02-01,0.00114822,-0.01219342,-0.00924879,-0.00728327,-0.01616518,-0.00209713,0.01082913
2018-02-02,-0.00954438,-0.01769029,-0.01338165,-0.01025130,-0.01846371,0.00001173,0.01319066
2018-02-05,0.00385434,-0.02833606,-0.02014390,-0.01678331,-0.02793644,-0.00633316,0.02436343
2018-02-06,0.00957127,-0.01894339,-0.01244062,-0.00905461,-0.02114294,-0.00003539,4.18777466
2018-02-07,-0.00063527,-0.02623949,-0.01754687,-0.01163831,-0.03310144,0.00158577,0.01549233
