date,y_true,var_01,var_025,var_05,es_025,fm_median
2019-01-04,0.02564706,-0.02784294,-0.02104195,-0.01699058,-0.02583416,0.00188849
2019-01-07,0.00232991,-0.02474184,-0.01825610,-0.01399160,-0.02583416,0.00830870
2019-01-08,-0.02615827,-0.02304551,-0.01788253,-0.01470990,-0.02583416,0.00234031
2019-01-09,-0.00448182,-0.03862871,-0.02937147,-0.02486564,-0.02585577,-0.00127704
2019-01-10,-0.00813366,-0.03034738,-0.02336631,-0.02029574,-0.02585577,-0.00151094
2019-01-11,-0.02052342,-0.03190445,-0.02518440,-0.02222245,-0.02585577,-0.00322421
2019-01-14,-0.04323471,-0.03947573,-0.03215356,-0.02867490,-0.02585577,-0.00709340
2019-01-15,0.01799172,-0.06905163,-0.05526089,-0.04840749,-0.02694195,-0.01319533
2019-01-16,0.00238517,-0.04556189,-0.03236450,-0.02652532,-0.02694195,0.00081247
2019-01-17,0.01510903,-0.03683725,-0.02676180,-0.02276240,-0.02694195,-0.00034680
2019-01-18,0.00230637,-0.03758162,-0.02625077,-0.02163429,-0.02694195,0.00145239
2019-01-21,-0.00587579,-0.03666021,-0.02623082,-0.02204267,-0.02694195,0.00078896
2019-01-22,0.00474343,-0.03160626,-0.02332229,-0.02046819,-0.02694195,-0.00159647
2019-01-23,-0.00721602,-0.02894628,-0.02076926,-0.01805509,-0.02694195,-0.00007199
2019-01-25,-0.01238319,-0.03153517,-0.02229229,-0.01898267,-0.02694195,0.00007473
2019-01-28,-0.00678683,-0.03556001,-0.02569417,-0.02199017,-0.02694195,-0.00166646
2019-01-29,-0.00816921,-0.03315436,-0.02419021,-0.02103429,-0.02694195,-0.00234190
2019-01-30,0.01353307,-0.03603063,-0.02652457,-0.02300555,-0.02694195,-0.00301973
2019-01-31,-0.01326257,-0.03232270,-0.02308265,-0.01971578,-0.02694195,-0.00019758
2019-02-01,0.01139104,-0.03697838,-0.02702938,-0.02325253,-0.02694195,-0.00252465
2019-02-04,0.03682458,-0.03278337,-0.02398324,-0.02083109,-0.02694195,-0.00133242
2019-02-05,0.01542026,-0.03546912,-0.02448438,-0.01980349,-0.02694195,0.00498071
2019-02-06,0.00473932,-0.03693955,-0.02549420,-0.02069512,-0.02694195,0.00322813
2019-02-07,0.01216848,-0.03228326,-0.02249704,-0.01881498,-0.02694195,0.00138096
2019-02-08,0.00300589,-0.03123880,-0.02064717,-0.01694540,-0.02730274,0.00350436
2019-02-11,-0.02477595,-0.03074754,-0.02028997,-0.01679597,-0.02730274,0.00202813
2019-02-12,0.02043918,-0.04437213,-0.03328209,-0.02869510,-0.02714482,-0.00557962
2019-02-13,0.02040360,-0.03793602,-0.02656445,-0.02179696,-0.02714482,0.00164266
2019-02-14,-0.00480648,-0.03561390,-0.02419756,-0.01919596,-0.02714482,0.00696366
2019-02-15,0.00195828,-0.03987610,-0.02863850,-0.02379332,-0.02714482,0.00137836
2019-02-18,0.01386824,-0.03722480,-0.02682010,-0.02252731,-0.02714482,0.00083675
2019-02-19,-0.00461004,-0.03558015,-0.02534206,-0.02106498,-0.02714482,0.00298744
2019-02-20,0.00270070,-0.03392714,-0.02441865,-0.02063721,-0.02714482,0.00190479
2019-02-21,0.01368923,-0.03368349,-0.02408423,-0.02028040,-0.02714482,0.00185859
2019-02-22,-0.01141159,-0.03300821,-0.02326821,-0.01928701,-0.02714482,0.00407842
2019-02-25,0.00066929,-0.03434162,-0.02492879,-0.02119642,-0.02714482,0.00123241
2019-02-26,0.00039878,-0.03352320,-0.02444710,-0.02090732,-0.02714482,0.00121161
2019-02-27,-0.01377517,-0.03292953,-0.02376328,-0.02021512,-0.02714482,0.00129036
2019-02-28,0.00083551,-0.03639151,-0.02695090,-0.02325545,-0.02714482,-0.00134098
2019-03-01,-0.00152816,-0.03529159,-0.02587825,-0.02219651,-0.02714482,-0.00046046
2019-03-04,0.01813689,-0.03284335,-0.02364418,-0.02020594,-0.02714482,-0.00015876
2019-03-05,0.01408455,-0.03545435,-0.02520772,-0.02087716,-0.02714482,0.00364088
2019-03-06,0.00043708,-0.03367175,-0.02396184,-0.01992738,-0.02714482,0.00415341
2019-03-07,-0.00631831,-0.03436088,-0.02479401,-0.02095593,-0.02714482,0.00163344
2019-03-08,-0.00301674,-0.03435400,-0.02514796,-0.02154170,-0.02714482,0.00030810
2019-03-11,0.01156043,-0.03492108,-0.02559123,-0.02196734,-0.02714482,-0.00034106
2019-03-12,-0.00377751,-0.03155280,-0.02253826,-0.01902610,-0.02714482,0.00295496
2019-03-13,-0.00610286,-0.03325938,-0.02389459,-0.02025800,-0.02714482,0.00112807
2019-03-14,0.00008399,-0.03409781,-0.02481860,-0.02127919,-0.02714482,-0.00057586
2019-03-15,0.00046438,-0.03238651,-0.02340138,-0.02003563,-0.02714482,0.00023308
2019-03-18,0.00273861,-0.02975980,-0.02115116,-0.01811580,-0.02714482,0.00040872
2019-03-19,0.00811827,-0.02876379,-0.02034264,-0.01742982,-0.02714482,0.00099580
2019-03-20,0.00893370,-0.02854314,-0.01985110,-0.01673166,-0.02714482,0.00254095
2019-03-21,0.00359996,-0.02735773,-0.01906467,-0.01619396,-0.02714482,0.00252756
2019-03-22,-0.00203864,-0.02520205,-0.01739811,-0.01483766,-0.02714482,0.00280110
2019-03-25,-0.00965990,-0.02828014,-0.01989534,-0.01701326,-0.02714482,0.00126123
2019-03-26,0.01122998,-0.02995805,-0.02106376,-0.01831347,-0.02783222,-0.00000035
2019-03-27,0.00947989,-0.02957552,-0.02009191,-0.01700163,-0.02783222,0.00215082
2019-03-28,-0.00319076,-0.02854585,-0.01921366,-0.01620291,-0.02783222,0.00272277
2019-03-29,-0.00613251,-0.03041483,-0.02073538,-0.01757238,-0.02783222,0.00129923
2019-04-01,0.01207293,-0.03297207,-0.02357225,-0.02042325,-0.02783222,-0.00031579
2019-04-02,0.00028977,-0.03030417,-0.02081554,-0.01765428,-0.02783222,0.00213102
2019-04-03,0.00129927,-0.03047689,-0.02131346,-0.01833513,-0.02783222,0.00119339
2019-04-04,0.00166731,-0.02916173,-0.02020929,-0.01740984,-0.02783222,0.00124768
2019-04-05,0.00397634,-0.02775093,-0.01914474,-0.01657720,-0.02783222,0.00133122
2019-04-08,0.00561561,-0.02747126,-0.01883583,-0.01624651,-0.02783222,0.00184963
2019-04-09,0.00640493,-0.02676494,-0.01810808,-0.01556593,-0.02783222,0.00180889
2019-04-10,0.00042153,-0.02570744,-0.01707891,-0.01458769,-0.02783222,0.00244467
2019-04-11,0.00278003,-0.02628510,-0.01786045,-0.01548232,-0.02783222,0.00142784
2019-04-12,-0.00730808,-0.02585149,-0.01750135,-0.01515163,-0.02783222,0.00183414
2019-04-15,0.00052844,-0.02737960,-0.01884644,-0.01640628,-0.02783222,0.00070118
2019-04-16,-0.00292627,-0.02588573,-0.01774832,-0.01551041,-0.02783222,0.00136902
2019-04-17,0.00291297,-0.02553057,-0.01733704,-0.01512837,-0.02783222,0.00103093
2019-04-18,0.00098964,-0.02512470,-0.01690495,-0.01467018,-0.02783222,0.00170748
2019-04-19,0.00859478,-0.02457018,-0.01635060,-0.01419523,-0.02783222,0.00124881
2019-04-22,0.00615729,-0.02368514,-0.01587781,-0.01386250,-0.02783222,0.00226750
2019-04-23,-0.00532184,-0.02394017,-0.01595562,-0.01386834,-0.02783222,0.00214134
2019-04-24,0.00141795,-0.02457173,-0.01677589,-0.01478475,-0.02783222,0.00123897
2019-04-25,0.00546761,-0.02460650,-0.01648293,-0.01434737,-0.02783222,0.00150519
2019-04-30,0.00307510,-0.02452414,-0.01624894,-0.01378656,-0.02902525,0.00199487
2019-05-02,0.00096140,-0.02356429,-0.01572452,-0.01275589,-0.03016020,0.00178000
2019-05-03,-0.00078610,-0.02387780,-0.01593611,-0.01293723,-0.03016020,0.00140018
2019-05-06,-0.00746792,-0.02365114,-0.01589424,-0.01299323,-0.03016020,0.00125494
2019-05-07,0.00459173,-0.02594003,-0.01805891,-0.01503662,-0.03016020,0.00001646
2019-05-08,-0.00577253,-0.02357695,-0.01591074,-0.01304398,-0.03016020,0.00140094
2019-05-09,-0.00870489,-0.02455850,-0.01675141,-0.01381559,-0.03016020,0.00063704
2019-05-10,0.00077216,-0.02578960,-0.01795232,-0.01492817,-0.03016020,0.00026624
2019-05-13,-0.01700311,-0.02507349,-0.01723639,-0.01425278,-0.03016020,0.00053916
2019-05-14,-0.00352753,-0.03061531,-0.02223790,-0.01954069,-0.03016020,-0.00153475
2019-05-15,0.00470142,-0.02862014,-0.02040398,-0.01785188,-0.03016020,-0.00073824
2019-05-16,0.00465142,-0.02726279,-0.01881758,-0.01619375,-0.03016020,0.00043260
2019-05-17,0.00139328,-0.02674899,-0.01831121,-0.01567364,-0.03016020,0.00124269
2019-05-20,-0.00226919,-0.02575168,-0.01778921,-0.01547724,-0.03016020,0.00031704
2019-05-21,-0.00641290,-0.02748889,-0.01912163,-0.01657182,-0.03016020,-0.00015776
2019-05-22,-0.00446619,-0.02741547,-0.01936876,-0.01696207,-0.03016020,-0.00043353
2019-05-23,-0.00079008,-0.02774156,-0.01972806,-0.01732741,-0.03016020,-0.00135356
2019-05-24,0.00972336,-0.02718902,-0.01899327,-0.01653212,-0.03016020,-0.00078399
2019-05-27,0.00646206,-0.02714110,-0.01890262,-0.01629985,-0.03016020,0.00075903
2019-05-28,0.03089526,-0.02569188,-0.01772376,-0.01529694,-0.03016020,0.00126246
2019-05-29,-0.00288033,-0.03369630,-0.02326800,-0.01887437,-0.03016020,0.00607513
