date,y_true,var_01,var_025,var_05,es_025,fm_median
2018-12-17,-0.00121128,-0.00610604,-0.00534150,-0.00464920,-0.00722026,-0.00001308
2018-12-18,-0.00195982,-0.00610539,-0.00533982,-0.00464695,-0.00722026,-0.00001576
2018-12-19,0.00059538,-0.00610479,-0.00533297,-0.00463588,-0.00722026,0.00000913
2018-12-20,0.00106141,-0.00606362,-0.00529097,-0.00459555,-0.00722026,0.00001889
2018-12-21,-0.00158675,-0.00606301,-0.00529543,-0.00457879,-0.00722026,-0.00001146
2018-12-24,0.00055572,-0.00603637,-0.00527420,-0.00456298,-0.00722026,-0.00003655
2018-12-25,0.00068121,-0.00591706,-0.00516332,-0.00446247,-0.00722026,-0.00002226
2018-12-26,0.00111898,-0.00584333,-0.00498775,-0.00425589,-0.00722026,-0.00007260
2018-12-27,-0.00264079,-0.00591252,-0.00507484,-0.00434057,-0.00722026,-0.00002449
2018-12-28,0.00299011,-0.00597333,-0.00520868,-0.00444981,-0.00722026,-0.00008381
2018-12-31,0.00089391,-0.00598722,-0.00516653,-0.00437476,-0.00722026,0.00002110
2019-01-01,0.00013036,-0.00597748,-0.00519187,-0.00442079,-0.00722026,-0.00003759
2019-01-02,-0.00272582,-0.00594847,-0.00510220,-0.00430350,-0.00722026,0.00003542
2019-01-03,0.00270252,-0.00607071,-0.00529398,-0.00451807,-0.00722026,0.00000064
2019-01-04,-0.00210544,-0.00586435,-0.00512801,-0.00438227,-0.00722026,0.00001854
2019-01-07,0.00032169,-0.00603043,-0.00526721,-0.00449992,-0.00722026,-0.00000190
2019-01-08,0.00092714,-0.00600425,-0.00524619,-0.00448282,-0.00722026,-0.00000091
2019-01-09,0.00027478,-0.00590751,-0.00516323,-0.00441120,-0.00722026,0.00001948
2019-01-10,0.00148881,-0.00580817,-0.00506318,-0.00431972,-0.00722026,-0.00001981
2019-01-11,-0.00153533,-0.00556966,-0.00481690,-0.00408398,-0.00722026,0.00002181
2019-01-14,-0.00135359,-0.00583445,-0.00510022,-0.00435641,-0.00722026,0.00003930
2019-01-15,-0.00006525,-0.00566551,-0.00493065,-0.00420111,-0.00722026,-0.00001177
2019-01-16,0.00037068,-0.00545033,-0.00471573,-0.00400118,-0.00722026,0.00000133
2019-01-17,-0.00245705,-0.00553191,-0.00480053,-0.00407952,-0.00722026,0.00001535
2019-01-18,0.00134938,-0.00577289,-0.00498975,-0.00423615,-0.00722026,-0.00006029
2019-01-21,0.00033826,-0.00541948,-0.00465811,-0.00393495,-0.00722026,0.00000851
2019-01-22,-0.00084001,-0.00540116,-0.00466506,-0.00395446,-0.00722026,-0.00001776
2019-01-23,0.00049007,-0.00568174,-0.00483740,-0.00406810,-0.00722026,-0.00008654
