date,y_true,var_01,var_025,var_05,es_025,fm_median
2018-12-17,0.00212876,-0.00451151,-0.00304719,-0.00251356,-0.00420810,0.00013155
2018-12-18,-0.00187044,-0.00461041,-0.00325138,-0.00274425,-0.00420810,0.00006018
2018-12-19,-0.00131360,-0.00486474,-0.00331805,-0.00272758,-0.00420810,0.00013445
2018-12-20,0.00311962,-0.00470310,-0.00307663,-0.00242700,-0.00438861,0.00023636
2018-12-21,-0.00398195,-0.00416145,-0.00328209,-0.00251912,-0.00416664,0.00014473
2018-12-24,-0.00062555,-0.00477880,-0.00367631,-0.00284948,-0.00414025,0.00031285
2018-12-25,0.00023737,-0.00480092,-0.00371657,-0.00291685,-0.00414025,0.00006753
2018-12-26,0.00116431,-0.00442104,-0.00330546,-0.00252702,-0.00414025,0.00019841
2018-12-27,-0.00030174,-0.00422278,-0.00322905,-0.00249337,-0.00414025,0.00026544
2018-12-28,0.00277689,-0.00435118,-0.00332056,-0.00258480,-0.00414025,0.00006330
2018-12-31,0.00107428,-0.00402793,-0.00333867,-0.00271142,-0.00414025,0.00012405
2019-01-01,-0.00212816,-0.00416103,-0.00331545,-0.00263619,-0.00414025,0.00010860
2019-01-02,0.00729000,-0.00389115,-0.00326864,-0.00268054,-0.00414025,0.00009914
2019-01-03,-0.00582772,-0.00459684,-0.00373339,-0.00297461,-0.00414025,0.00039123
2019-01-04,0.00023635,-0.00591361,-0.00438335,-0.00358865,-0.00435119,0.00004413
2019-01-07,0.00103061,-0.00563823,-0.00393053,-0.00309966,-0.00435119,0.00014905
2019-01-08,-0.00083733,-0.00571757,-0.00406033,-0.00325618,-0.00435119,0.00001004
2019-01-09,0.00163111,-0.00524451,-0.00365367,-0.00290435,-0.00435119,0.00010064
2019-01-10,0.00040728,-0.00508504,-0.00356191,-0.00284870,-0.00435119,0.00008888
2019-01-11,0.00132815,-0.00567380,-0.00392968,-0.00311470,-0.00435119,-0.00004095
2019-01-14,0.00201016,-0.00569834,-0.00374737,-0.00285152,-0.00435119,0.00022777
2019-01-15,-0.00117575,-0.00576827,-0.00393156,-0.00307282,-0.00435119,0.00002581
2019-01-16,-0.00051344,-0.00539882,-0.00355782,-0.00266078,-0.00446027,0.00028956
