date,y_true,var_01,var_025,var_05,es_025,fm_median
2019-01-08,0.00031183,-0.01828816,-0.01449068,-0.01139382,-0.01622452,-0.00124810
2019-01-09,-0.00904779,-0.01683109,-0.01342356,-0.01057485,-0.01622452,-0.00111662
2019-01-10,-0.00166184,-0.01858585,-0.01444400,-0.01123955,-0.01622452,-0.00132158
2019-01-11,-0.00653413,-0.01736944,-0.01355850,-0.01055275,-0.01622452,-0.00116048
2019-01-14,0.00103918,-0.01844795,-0.01452444,-0.01145181,-0.01622452,-0.00197486
2019-01-15,-0.00439305,-0.01710811,-0.01317582,-0.01013118,-0.01622452,-0.00084841
2019-01-16,-0.00366680,-0.01627714,-0.01328112,-0.01066071,-0.01622452,-0.00174370
2019-01-17,0.00580399,-0.01585729,-0.01285146,-0.01025383,-0.01622452,-0.00152686
2019-01-18,0.00049391,-0.01621185,-0.01334447,-0.01075748,-0.01622452,-0.00150489
2019-01-21,0.00081089,-0.01611233,-0.01288605,-0.01015527,-0.01622452,-0.00099377
2019-01-22,-0.00070508,-0.01417187,-0.01153981,-0.00915820,-0.01622452,-0.00093944
2019-01-23,-0.00752236,-0.01500995,-0.01220695,-0.00970087,-0.01622452,-0.00093452
2019-01-24,0.01884906,-0.01541639,-0.01252649,-0.00955323,-0.01622452,-0.00099129
2019-01-25,-0.00041852,-0.01591385,-0.01305441,-0.00994222,-0.01622452,0.00000482
2019-01-28,0.00031391,-0.01566207,-0.01265169,-0.00955204,-0.01622452,-0.00044362
2019-01-29,0.00026151,-0.01541246,-0.01267456,-0.00975954,-0.01622452,-0.00130588
2019-01-30,0.00280261,-0.01521617,-0.01239954,-0.00943655,-0.01622452,-0.00080346
2019-01-31,0.01807065,-0.01453268,-0.01187079,-0.00896882,-0.01622452,-0.00023600
2019-02-01,-0.00304341,-0.01676555,-0.01365093,-0.01037415,-0.01622452,0.00005696
2019-02-04,-0.00960106,-0.01747504,-0.01393293,-0.01049317,-0.01622452,-0.00033077
2019-02-05,0.00114043,-0.01856618,-0.01494186,-0.01147218,-0.01622452,-0.00140002
2019-02-06,-0.00834126,-0.01689282,-0.01376167,-0.01055164,-0.01622452,-0.00083580
2019-02-07,-0.00572817,-0.01786650,-0.01456132,-0.01123497,-0.01622452,-0.00116265
2019-02-08,0.00732898,-0.01849439,-0.01510918,-0.01176623,-0.01622452,-0.00187245
2019-02-11,-0.00308210,-0.01874279,-0.01501146,-0.01145924,-0.01622452,-0.00114531
2019-02-12,-0.00013953,-0.01751343,-0.01398769,-0.01063298,-0.01622452,-0.00129076
2019-02-13,0.00108084,-0.01522841,-0.01272176,-0.00955844,-0.01371491,-0.00129616
2019-02-14,0.01210541,-0.01402315,-0.01193328,-0.00897558,-0.01371491,-0.00091141
2019-02-15,-0.00637214,-0.01549849,-0.01269937,-0.00930370,-0.01371491,-0.00014113
2019-02-18,0.00188652,-0.01479825,-0.01232911,-0.00915209,-0.01371491,-0.00066285
2019-02-19,-0.00039778,-0.01416556,-0.01160135,-0.00843793,-0.01371491,-0.00047228
2019-02-20,-0.00277152,-0.01343433,-0.01136036,-0.00843144,-0.01371491,-0.00061677
