date,y_true,var_01,var_025,var_05,es_025,fm_median
2018-12-17,0.00524419,-0.01054670,-0.00917752,-0.00794733,-0.01137649,-0.00008077
2018-12-18,-0.00430987,-0.01052802,-0.00917036,-0.00794628,-0.01137649,-0.00008064
2018-12-19,-0.00222043,-0.01037030,-0.00903134,-0.00781746,-0.01137649,0.00004397
2018-12-20,0.00076022,-0.01045021,-0.00908377,-0.00785063,-0.01137649,0.00007887
2018-12-21,-0.00798133,-0.01036386,-0.00900671,-0.00778762,-0.01137649,0.00001622
2018-12-24,0.00850721,-0.01034156,-0.00901574,-0.00787744,-0.01137649,-0.00002494
2018-12-25,-0.00321833,-0.01048430,-0.00911201,-0.00794055,-0.01137649,0.00002426
2018-12-26,0.00526098,-0.01045667,-0.00909501,-0.00793319,-0.01137649,-0.00002159
2018-12-27,-0.00023321,-0.01036488,-0.00900603,-0.00784573,-0.01137649,0.00006684
2018-12-28,-0.00825650,-0.01049182,-0.00912795,-0.00796596,-0.01137649,-0.00006765
2018-12-31,-0.00076474,-0.01047262,-0.00910470,-0.00802933,-0.01137649,-0.00000741
2019-01-01,-0.00164899,-0.00986401,-0.00869547,-0.00797611,-0.01099638,-0.00005301
2019-01-02,-0.00212415,-0.00982060,-0.00864749,-0.00792422,-0.01099638,0.00001093
2019-01-03,0.01471692,-0.00984919,-0.00868014,-0.00795947,-0.01099638,-0.00002354
2019-01-04,-0.00683309,-0.01004627,-0.00886396,-0.00813011,-0.01099638,-0.00010875
2019-01-07,-0.00005861,-0.01000828,-0.00883645,-0.00810722,-0.01099638,-0.00008535
2019-01-08,-0.00528857,-0.00991475,-0.00873318,-0.00799932,-0.01099638,0.00002004
2019-01-09,0.00235395,-0.00987401,-0.00870375,-0.00798165,-0.01099638,-0.00003662
2019-01-10,-0.00861873,-0.00991421,-0.00874938,-0.00803151,-0.01099638,-0.00010830
2019-01-11,0.00402347,-0.00987566,-0.00874724,-0.00807183,-0.01099638,-0.00000249
2019-01-14,0.00171097,-0.00986374,-0.00874233,-0.00807237,-0.01099638,-0.00001894
2019-01-15,-0.00088462,-0.00991937,-0.00879119,-0.00811852,-0.01099638,-0.00007825
2019-01-16,0.00740654,-0.00971604,-0.00860977,-0.00795296,-0.01099638,0.00003196
2019-01-17,0.00111216,-0.00990506,-0.00878909,-0.00812404,-0.01099638,-0.00010607
2019-01-18,-0.00128783,-0.00995986,-0.00884647,-0.00818078,-0.01099638,-0.00012383
2019-01-21,0.00234025,-0.00950326,-0.00853278,-0.00798191,-0.01148038,0.00000427
2019-01-22,-0.00046763,-0.00952708,-0.00855380,-0.00800616,-0.01148038,-0.00007692
2019-01-23,0.00040918,-0.00937849,-0.00841881,-0.00788134,-0.01148038,0.00000496
2019-01-24,-0.00187185,-0.00932068,-0.00838908,-0.00787036,-0.01148038,-0.00003303
2019-01-25,0.00682711,-0.00934522,-0.00841222,-0.00789050,-0.01148038,-0.00003258
2019-01-28,-0.00542291,-0.00936508,-0.00841654,-0.00788443,-0.01148038,0.00001059
2019-01-29,-0.00515853,-0.00947506,-0.00851023,-0.00796596,-0.01148038,-0.00002210
2019-01-30,-0.00070556,-0.00930045,-0.00835640,-0.00782615,-0.01148038,0.00007682
2019-01-31,-0.00229631,-0.00942424,-0.00846841,-0.00792841,-0.01148038,0.00001537
2019-02-01,0.00141371,-0.00928358,-0.00835284,-0.00776882,-0.01148038,0.00004954
2019-02-04,0.00147058,-0.00933729,-0.00840751,-0.00782433,-0.01148038,-0.00002642
2019-02-05,0.00140965,-0.00931431,-0.00836363,-0.00776908,-0.01148038,0.00003209
2019-02-06,0.00246225,-0.00923827,-0.00831539,-0.00774046,-0.01148038,-0.00000746
