date,y_true,var_01,var_025,var_05,es_025,fm_median
2018-01-03,0.02005487,-0.01507554,-0.01182288,-0.00941558,-0.01554056,0.00009445
2018-01-04,0.00691465,-0.01874293,-0.01368576,-0.01019663,-0.01981208,0.00193691
2018-01-05,0.00252264,-0.01684470,-0.01249333,-0.00945257,-0.01770634,0.00138751
2018-01-08,-0.00038451,-0.01709003,-0.01252250,-0.00945684,-0.01819490,0.00075375
2018-01-09,0.00649417,-0.01618839,-0.01178082,-0.00882464,-0.01725820,0.00095760
2018-01-10,0.00001120,-0.01605743,-0.01160375,-0.00860524,-0.01711901,0.00145265
2018-01-11,0.01642473,-0.01502405,-0.01082952,-0.00802763,-0.01606184,0.00120289
2018-01-12,0.01230657,-0.01614050,-0.01164737,-0.00852941,-0.01706290,0.00244285
2018-01-15,-0.00171872,-0.01595959,-0.01100314,-0.00765449,-0.01712144,0.00371523
2018-01-16,-0.00263465,-0.01735447,-0.01241552,-0.00913303,-0.01860577,0.00165728
2018-01-17,0.01008606,-0.01832924,-0.01330034,-0.00999463,-0.01966961,0.00064438
2018-01-18,0.00695936,-0.01692268,-0.01218051,-0.00893665,-0.01796909,0.00228362
2018-01-19,-0.00152002,-0.01571216,-0.01103535,-0.00784699,-0.01676145,0.00319413
2018-01-22,0.01525859,-0.01687302,-0.01208178,-0.00888745,-0.01806925,0.00173931
2018-01-23,-0.00639338,-0.01590391,-0.01127292,-0.00802820,-0.01680835,0.00366775
2018-01-25,-0.00272406,-0.01831548,-0.01340351,-0.01000793,-0.01934369,0.00201718
2018-01-26,0.00249052,-0.01811706,-0.01375033,-0.01063177,-0.01888657,0.00104075
2018-01-29,-0.00124923,-0.01797930,-0.01368975,-0.01064690,-0.01876364,0.00070866
2018-01-30,-0.00721264,-0.01694369,-0.01260974,-0.00960359,-0.01783541,0.00092931
2018-01-31,0.00084739,-0.01795153,-0.01375785,-0.01077711,-0.01871014,0.00043821
2018-02-01,-0.00621367,-0.01724766,-0.01318207,-0.01030497,-0.01800070,0.00028256
2018-02-02,-0.00910049,-0.01818419,-0.01400330,-0.01101228,-0.01891390,0.00003762
2018-02-05,-0.00749718,-0.01883987,-0.01506907,-0.01228747,-0.01939008,-0.00129263
2018-02-06,-0.02153015,-0.01938621,-0.01544401,-0.01258894,-0.02002804,-0.00180700
2018-02-07,0.00085884,-0.02575798,-0.02073759,-0.01711352,-0.02659085,-0.00309367
2018-02-08,0.00662488,-0.02086708,-0.01662043,-0.01357595,-0.02159960,-0.00185270
2018-02-09,-0.00809084,-0.01848891,-0.01464379,-0.01182835,-0.01907587,-0.00056453
2018-02-12,0.01327474,-0.01963111,-0.01578129,-0.01294544,-0.02019778,-0.00162249
2018-02-13,0.00351807,-0.01703489,-0.01350159,-0.01081454,-0.01745733,0.00037160
2018-02-14,0.00356818,-0.01689630,-0.01331442,-0.01062985,-0.01736882,0.00031223
2018-02-15,0.01117865,-0.01539550,-0.01205562,-0.00951919,-0.01579868,0.00107263
