date,y_true,var_01,var_025,var_05,es_025,fm_median
2018-01-02,0.00168128,-0.01629481,-0.01298311,-0.01038047,-0.01660374,0.00139131
2018-01-03,0.00406918,-0.01784127,-0.01418715,-0.01136855,-0.01823577,0.00097953
2018-01-04,0.00618218,-0.01718400,-0.01339469,-0.01052918,-0.01765497,0.00163973
2018-01-05,0.00363604,-0.01735480,-0.01339120,-0.01044365,-0.01790465,0.00174183
2018-01-08,0.00271838,-0.01591312,-0.01222876,-0.00949794,-0.01643503,0.00168903
2018-01-09,-0.00586370,-0.01632519,-0.01222541,-0.00932880,-0.01709122,0.00156249
2018-01-10,-0.00549116,-0.01786832,-0.01421693,-0.01144384,-0.01830900,0.00035816
2018-01-11,0.00306004,-0.01800704,-0.01435133,-0.01156021,-0.01843216,0.00041646
2018-01-12,0.00263928,-0.01731512,-0.01368035,-0.01091350,-0.01774680,0.00089123
2018-01-15,-0.00751983,-0.01581572,-0.01239481,-0.00980346,-0.01623600,0.00115686
2018-01-16,0.00265066,-0.01696052,-0.01324406,-0.01045278,-0.01744408,0.00114568
2018-01-17,-0.00355685,-0.01597486,-0.01265382,-0.01008104,-0.01632191,0.00118147
2018-01-18,0.00304670,-0.01768985,-0.01408132,-0.01131979,-0.01810256,0.00059329
2018-01-19,0.00898460,-0.01683043,-0.01351234,-0.01094452,-0.01717993,0.00032007
2018-01-22,0.02420380,-0.01680408,-0.01316807,-0.01041917,-0.01725679,0.00117726
2018-01-23,0.01245841,-0.01708705,-0.01316458,-0.01011641,-0.01748729,0.00320722
2018-01-24,-0.01301024,-0.01649186,-0.01274880,-0.00981101,-0.01684480,0.00332782
2018-01-25,-0.01346564,-0.01817481,-0.01443569,-0.01152287,-0.01854913,0.00130421
2018-01-26,0.00872280,-0.02071511,-0.01652591,-0.01330988,-0.02118345,0.00054191
2018-01-29,-0.00703076,-0.01906371,-0.01473626,-0.01150014,-0.01964296,0.00180555
2018-01-30,-0.01426668,-0.02032111,-0.01629324,-0.01321760,-0.02078911,-0.00012795
2018-01-31,0.00654287,-0.02148991,-0.01741278,-0.01424831,-0.02190989,-0.00033097
2018-02-01,0.00123740,-0.01862955,-0.01488187,-0.01194045,-0.01898293,0.00121594
2018-02-02,-0.00715332,-0.01822504,-0.01441688,-0.01149111,-0.01864840,0.00109283
2018-02-05,-0.00456619,-0.01936886,-0.01549127,-0.01249109,-0.01977795,0.00062394
2018-02-06,-0.02451926,-0.01982207,-0.01583511,-0.01278318,-0.02027722,0.00032405
2018-02-07,0.02272356,-0.02343284,-0.01925706,-0.01595247,-0.02380030,-0.00073137
2018-02-08,-0.02092803,-0.02210166,-0.01714694,-0.01334712,-0.02265971,0.00301189
2018-02-09,-0.01439499,-0.02628713,-0.02161842,-0.01796483,-0.02673793,-0.00138397
2018-02-12,-0.00086414,-0.02778223,-0.02270682,-0.01881662,-0.02835621,-0.00185393
2018-02-13,0.00261026,-0.02545977,-0.02066357,-0.01697041,-0.02598424,-0.00088152
2018-02-14,0.00174541,-0.02394523,-0.01935771,-0.01582816,-0.02444996,-0.00037269
2018-02-15,0.00177066,-0.02370490,-0.01877827,-0.01511905,-0.02439370,-0.00016636
2018-02-16,0.01587360,-0.02406210,-0.01908687,-0.01541147,-0.02478158,-0.00040733
2018-02-19,-0.00339164,-0.02321466,-0.01844520,-0.01480762,-0.02377351,0.00082211
