date,y_true,var_01,var_025,var_05,es_025,fm_median
2018-01-02,0.00507909,-0.01052465,-0.00832823,-0.00661890,-0.01074626,0.00102909
2018-01-03,0.00285662,-0.01014353,-0.00803127,-0.00637398,-0.01034323,0.00110491
2018-01-04,0.01677138,-0.00936743,-0.00735310,-0.00576890,-0.00955422,0.00142053
2018-01-05,0.00017191,-0.01035726,-0.00785388,-0.00587178,-0.01057660,0.00304096
2018-01-08,0.00325168,-0.01030259,-0.00817067,-0.00646763,-0.01047527,0.00133769
2018-01-09,-0.00401193,-0.01019812,-0.00814371,-0.00650458,-0.01036637,0.00097438
2018-01-10,-0.00249296,-0.01116164,-0.00903772,-0.00734877,-0.01134083,0.00039939
2018-01-11,0.00538607,-0.01103351,-0.00890581,-0.00723009,-0.01122853,0.00028336
2018-01-12,0.00101963,-0.01014998,-0.00809640,-0.00646821,-0.01032780,0.00088016
2018-01-15,0.00025249,-0.00931074,-0.00734866,-0.00578695,-0.00947493,0.00135135
2018-01-16,0.00524279,-0.00979296,-0.00776483,-0.00616035,-0.00997194,0.00111509
2018-01-17,0.00063661,-0.00971195,-0.00771074,-0.00611191,-0.00987387,0.00127568
2018-01-18,0.00306084,-0.00997110,-0.00800693,-0.00644287,-0.01013481,0.00074172
2018-01-19,0.00407550,-0.00986992,-0.00785596,-0.00627121,-0.01005585,0.00087253
2018-01-22,0.00813683,-0.00965145,-0.00758935,-0.00598672,-0.00986170,0.00109686
2018-01-23,0.00375354,-0.00958580,-0.00751239,-0.00588054,-0.00977690,0.00146580
2018-01-24,0.00132711,-0.00897347,-0.00691608,-0.00531787,-0.00918401,0.00167961
2018-01-25,-0.00423355,-0.00888644,-0.00694146,-0.00540715,-0.00906228,0.00152585
2018-01-26,-0.00158890,-0.00953007,-0.00755987,-0.00600092,-0.00970364,0.00105741
2018-01-29,-0.00064511,-0.01000823,-0.00808239,-0.00655376,-0.01017334,0.00042574
2018-01-30,-0.00340031,-0.00999126,-0.00809333,-0.00658070,-0.01014824,0.00037010
2018-01-31,0.00311739,-0.00933622,-0.00754432,-0.00610181,-0.00947126,0.00063578
2018-02-01,0.00801442,-0.00906351,-0.00724912,-0.00578452,-0.00919668,0.00108033
2018-02-02,-0.00961618,-0.00931078,-0.00743384,-0.00590910,-0.00944006,0.00129483
2018-02-05,-0.00604070,-0.01047562,-0.00846616,-0.00684718,-0.01062587,0.00075589
2018-02-06,-0.02134351,-0.01089792,-0.00888130,-0.00724302,-0.01103675,0.00058413
2018-02-07,0.01630545,-0.02356640,-0.01992410,-0.01705196,-0.02389677,-0.00380237
2018-02-08,0.00059087,-0.01308417,-0.01029042,-0.00807459,-0.01332532,0.00205801
2018-02-09,-0.01012881,-0.01261983,-0.00994393,-0.00786085,-0.01288921,0.00136691
2018-02-12,0.00399721,-0.01525151,-0.01227070,-0.00996929,-0.01557107,0.00009913
2018-02-13,0.00115198,-0.01250544,-0.00992170,-0.00790169,-0.01275684,0.00111892
2018-02-14,-0.00192671,-0.01214085,-0.00945839,-0.00742056,-0.01246391,0.00120735
2018-02-15,0.00201666,-0.01240762,-0.00976167,-0.00774968,-0.01272424,0.00078652
2018-02-16,0.00042262,-0.01176782,-0.00924540,-0.00733467,-0.01207773,0.00074849
2018-02-19,-0.00191672,-0.01194736,-0.00948875,-0.00760000,-0.01222089,0.00062370
2018-02-20,-0.00367271,-0.01206356,-0.00955621,-0.00766840,-0.01238450,0.00022660
2018-02-21,0.00457303,-0.01179740,-0.00926763,-0.00738019,-0.01214111,0.00037811
2018-02-22,-0.00262220,-0.01035282,-0.00799862,-0.00622445,-0.01065230,0.00115291
2018-02-23,-0.00301817,-0.01105048,-0.00858790,-0.00674677,-0.01138058,0.00081979
