date,y_true,var_01,var_025,var_05,es_025,fm_median
2018-01-01,-0.00522354,-0.01103702,-0.00879936,-0.00711854,-0.01132793,-0.00015378
2018-01-02,-0.00178842,-0.01168777,-0.00951579,-0.00784850,-0.01193072,-0.00067921
2018-01-03,-0.00538452,-0.01080114,-0.00871847,-0.00713644,-0.01105214,-0.00045442
2018-01-04,0.00427282,-0.01220707,-0.00996600,-0.00824732,-0.01245951,-0.00083766
2018-01-05,-0.00483152,-0.01156207,-0.00941129,-0.00775423,-0.01179629,-0.00054011
2018-01-08,0.00235676,-0.01182042,-0.00966398,-0.00799035,-0.01204265,-0.00066288
2018-01-09,0.00617552,-0.01190162,-0.00966566,-0.00796356,-0.01216711,-0.00070783
2018-01-10,0.00325766,-0.01187973,-0.00964315,-0.00790173,-0.01210453,-0.00017184
2018-01-11,-0.00239613,-0.01131019,-0.00911853,-0.00742866,-0.01154748,-0.00000368
2018-01-12,-0.00635591,-0.01163826,-0.00936020,-0.00761303,-0.01189474,-0.00002863
2018-01-15,-0.01289696,-0.01260337,-0.01027776,-0.00848778,-0.01285850,-0.00070300
2018-01-16,-0.00660605,-0.01499162,-0.01221662,-0.01009899,-0.01531550,-0.00100157
2018-01-17,0.00239584,-0.01580857,-0.01282641,-0.01060137,-0.01621364,-0.00140364
2018-01-18,0.00690302,-0.01262273,-0.01020867,-0.00833629,-0.01287271,-0.00001316
2018-01-19,-0.00413614,-0.01287337,-0.01038234,-0.00845938,-0.01314074,0.00003007
2018-01-22,0.00094154,-0.01285523,-0.01049626,-0.00865292,-0.01308569,-0.00036825
2018-01-23,-0.00509478,-0.01276011,-0.01044531,-0.00864962,-0.01299952,-0.00072517
2018-01-24,-0.00195679,-0.01195166,-0.00978991,-0.00808082,-0.01214347,-0.00033336
2018-01-25,-0.00646555,-0.01149756,-0.00940887,-0.00775698,-0.01168234,-0.00024197
2018-01-26,0.00006360,-0.01298723,-0.01076320,-0.00900638,-0.01318603,-0.00106207
2018-01-29,-0.00490835,-0.01157283,-0.00959503,-0.00801301,-0.01173110,-0.00064882
2018-01-30,0.00319000,-0.01224338,-0.01015477,-0.00851372,-0.01243856,-0.00116611
2018-01-31,-0.00197662,-0.01159238,-0.00960463,-0.00803450,-0.01177009,-0.00090536
2018-02-01,0.00114822,-0.01107578,-0.00913531,-0.00760588,-0.01125250,-0.00071361
2018-02-02,-0.00954438,-0.01112797,-0.00915715,-0.00762434,-0.01132777,-0.00086344
2018-02-05,0.00385434,-0.01259248,-0.01045579,-0.00876574,-0.01278132,-0.00111552
2018-02-06,0.00957127,-0.01252497,-0.01047093,-0.00883136,-0.01269252,-0.00127696
2018-02-07,-0.00063527,-0.01178849,-0.00955335,-0.00774991,-0.01195325,0.00072088
2018-02-08,0.00929772,-0.01181967,-0.00975652,-0.00810066,-0.01197970,-0.00038313
2018-02-09,0.00056647,-0.01378850,-0.01124516,-0.00922422,-0.01400453,-0.00002221
2018-02-12,0.00150891,-0.01223853,-0.00997745,-0.00818322,-0.01243288,-0.00000414
2018-02-13,-0.00763097,-0.01255673,-0.01008193,-0.00819024,-0.01284218,-0.00009476
